(-0.0006835443640247586+0.00029918779952614307j),(-8.195127783194876e-05+0.00012571950091141008j),(-0.0003019962466134996+0.0014640611435281512j),(1.0768778086314447e-05+0.0003929830488393722j),(0.00011115793477534218+0.001368850861574844j),(0.00014768479494868108+0.0006507285136678889j),(0.00038914912970015343+0.003088890591457745j),(0.0005709323050335095+0.001142805317298316j),(0.0023252077772594817+0.004864271270374946j),(0.0014324600672208797+0.0017080103879096747j),(0.004341255858298014+0.006192599102603465j),(0.002741634848263594+0.0023550973375011308j),(0.006497013704479545+0.007863422902905377j),(0.004554250832602478+0.003064773112537064j),(0.009004188377517014+0.009645085326736903j),(0.006831122209642083+0.00382004061916702j),(0.011720268056430522+0.011353807991025549j),(0.009534017553303895+0.0046488037500512875j),(0.0144445049354728+0.012900307670197115j),(0.012615820150264382+0.005549207327870189j),(0.017003157427475494+0.014303176011380847j),(0.01598454193566521+0.006507846657231086j),(0.019316517870009774+0.015619962909756j),(0.019514890215709887+0.007525372281821122j),(0.021386444975190322+0.016850301687693754j),(0.02307774734292467+0.00862260409870793j),(0.02318744316728252+0.0179217878585085j),(0.02656658804706506+0.009815194237365422j),(0.02463976960138286+0.018780903365159016j),(0.029880989744895434+0.011082087526020738j),(0.02567646534704827+0.01943234900716387j),(0.03289609475044053+0.012375438557849146j),(0.026286407308855547+0.019887065278961693j),(0.035459726122346484+0.013662650726440238j),(0.02647385499600153+0.020127862499632648j),(0.03745078167609783+0.014951825765896801j),(0.026236698243242245+0.020134377274981886j),(0.038824020178605693+0.01622726995318764j),(0.025574908738037964+0.019897272650238565j),(0.03954491694333529+0.017391045358878917j),(0.024502315872892925+0.019418752435298642j),(0.03950679178661191+0.018329881353709575j),(0.02304717645133547+0.018703379163031966j),(0.03859247780765863+0.019036745715840308j),(0.02124814440246018+0.0177589903744112j),(0.0368327574820792+0.019564959113851903j),(0.019153118842988818+0.016595236064265755j),(0.03437987191931419+0.019838293845608583j),(0.01681522737469179+0.01522724977734973j),(0.031279664999948845+0.01964979553092711j),(0.014295571950472676+0.013677613972286012j),(0.027421280352146683+0.01892945651841397j),(0.011658894625355801+0.011974947236866042j),(0.022825981873249974+0.017859396257210572j),(0.008966890803181434+0.010167143933327656j),(0.0178222888402727+0.016587345423774925j),(0.006299979000219293+0.008344516046019637j),(0.01277228386203832+0.015006803041637595j),(0.0038081582302367397+0.006616587429997205j),(0.007824004132536902+0.013019793073341102j),(0.0017032543239258453+0.005029088607557492j),(0.0031817967626080884+0.010796429280323313j),(0.00015506194058156563+0.003538172030244971j),(-0.0006121163086428286+0.00846349943880247j),(-0.0007653376659730554+0.0021123538546530245j),(-0.00302958420476795+0.005751434164133298j),(-0.0009876906765487875+0.0007864830610853719j),(-0.003996403012455584+0.0022997661492916363j),(-0.0006059373810113921-0.00012409072447677695j),(-0.0018167799394656645-0.0021155361688938172j)
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.0005295807196303593+0.004299070273958263j),(0.00038553567323785116+0.0007812512597853876j),(0.003969123836334672+0.005278808830656106j),(0.0015218595063727237+0.0012843425230159703j),(0.004250268645423937+0.005324905285281054j),(0.0029048263058814687+0.0019229893242356615j),(0.009806188993513806+0.007666214617123296j),(0.005405082813720881+0.002141637477104842j),(0.016398970135799783+0.006434149512161886j),(0.00863847677966151+0.001642371204187375j),(0.0219274188141919+0.004661524431239755j),(0.012539139227016187+0.0004505781924734826j),(0.027482763448589465+0.0030477186940044026j),(0.016947856950893132-0.0013397951790834143j),(0.03277539926942656+0.0012029839171467977j),(0.021728372084778902-0.0035393837087478396j),(0.037398697166214634-0.0006193239528794748j),(0.02668865188642962-0.005989493109122747j),(0.04106633154626517-0.0022932157806760133j),(0.031498839979307504-0.008403404272659856j),(0.04352632654968106-0.0035809483746816885j),(0.03594071343877445-0.010346814802788248j),(0.044707461079335216-0.004256647469046483j),(0.04000871548175849-0.011558289680356285j),(0.044709754895183466-0.004261816995938292j),(0.043470515190680174-0.01215506863487815j),(0.04353859013494945-0.003728469839849489j),(0.04564379117399497-0.012012065629661884j),(0.0411524468740506-0.0026999725227275177j),(0.04617905958516166-0.01049087772996013j),(0.03761986199322434-0.0012221813064807862j),(0.045517848502534215-0.007302594470474794j),(0.03308029594367783+0.0006440973038294583j),(0.04394817757566211-0.0032154267167532435j),(0.027798661590687487+0.002803309775052343j),(0.04066876382903426+0.0010547356653183753j),(0.02218296154980921+0.005028477325858667j),(0.03507894145190434+0.0060346583170111726j),(0.01659968725889533+0.006832794060881851j),(0.02830905161954094+0.012077785691664946j),(0.011138111944880237+0.00773440034692274j),(0.021682085306199254+0.01740149375474866j),(0.005885231142000054+0.0075608112143419415j),(0.01422413572104483+0.019733138157355515j),(0.0012577041287811959+0.006141249183912967j),(0.004255136994491829+0.019321530329066715j),(-0.0019097676219334296+0.0034391118008428472j),(-0.01630320912215642+0.006982671941546961j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.00014406531357376306+0.005080332772404869j),(0.0005360962586847883+0.000869802191779318j),(0.0049548335830818906+0.005693404574233237j),(0.0018702272309755472+0.001354803886148071j),(0.005284836976245367+0.005893178279688001j),(0.003524385525828213+0.0019903761503394907j),(0.011637982035158187+0.007902141951699618j),(0.006344756469478221+0.002042165196542144j),(0.01853823087815213+0.006014932051444398j),(0.009844147267257726+0.0012901117431416205j),(0.0242138338165489+0.0036988922632986195j),(0.013978986260078837-0.00017991469270256218j),(0.02980651852144449+0.001580726374557855j),(0.018634766945091526-0.0023110634387512284j),(0.03498426279568394-0.0007162808107477012j),(0.02352645613009721-0.004946009096969141j),(0.03932681989441787-0.0028632257869191003j),(0.028362843822537027-0.007688149186812739j),(0.04258784148460626-0.004687856043065953j),(0.033031722785103336-0.010085755552373081j),(0.044523145048813634-0.005972242006686614j),(0.03751366220671308-0.01190954957600752j),(0.045081905012609634-0.006440675356372704j),(0.041505124882201-0.013212039230866647j),(0.04442764275786443-0.006084108980055313j),(0.04426571512090152-0.013731162017683894j),(0.04256743833304358-0.005066178651817091j),(0.045502711689012515-0.012670584778077545j),(0.03947784512514492-0.0034830990434386007j),(0.04572806328777908-0.009761368997064099j),(0.03522422098225145-0.0013634198925654049j),(0.04511194843098746-0.005843442559842687j),(0.03010419472015362+0.0012241323187428344j),(0.04262268351165435-0.001538766520221545j),(0.024548237974234607+0.0039697901944941195j),(0.03763788800382917+0.0039274730558099755j),(0.018882144187223414+0.006303307984223001j),(0.03149142193577329+0.010872840980482206j),(0.013134796665047401+0.007701473634318435j),(0.025427199295428127+0.017149132280996057j),(0.007393070629884166+0.007986854081345416j),(0.017987253827286963+0.020371392197209213j),(0.0021221679576200413+0.006922614551751586j),(0.007290210965437766+0.021161279850464655j),(-0.0017773378073020578+0.004301537536762589j),(-0.01821301260514909+0.010421854275654266j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.00039200849562447+0.005950150342442922j),(0.0007217943185546046+0.0009575362758401883j),(0.006103209316779824+0.006090741598162794j),(0.002279351495233059+0.0014087831312800895j),(0.006529841367925069+0.00647487332375317j),(0.004240630997236603+0.002016780177307888j),(0.013707539720796367+0.008025415697927089j),(0.007390078088743624+0.0018729105526099988j),(0.020829429840215706+0.005436384176721472j),(0.011181483240152178+0.0008740274146694629j),(0.02658048176045861+0.0025744769059544426j),(0.015620741537070649-0.0009186945087720398j),(0.032143959403941436-3.98392392198596e-05j),(0.020458619006189727-0.003498344757345246j),(0.037086760595808996-0.002763911717189272j),(0.02528849650036465-0.0064587108070122325j),(0.04102110848823011-0.005130136807243401j),(0.030074244704517784-0.009222857378727335j),(0.04378117531439021-0.006978502764016041j),(0.03487411224308896-0.011598734191614423j),(0.04510032837119253-0.008092071710812835j),(0.039318687713659026-0.013609653565095914j),(0.0450043343507411-0.00818778077602611j),(0.04261787064829697-0.014865486784587526j),(0.043660901521184285-0.007329219729086442j),(0.04452099567474661-0.01440037369740611j),(0.04108739476111127-0.005706313344135331j),(0.04563097780182229-0.011944804338765097j),(0.03726086802904538-0.0034215470694558174j),(0.04598265280480243-0.008395113397069838j),(0.03241109130381329-0.0005009618545374452j),(0.04432836561698691-0.004224964552798257j),(0.02699971174910179+0.0027166306137051377j),(0.04005659277679441+0.001610369909707903j),(0.021318196458617718+0.005576992628121088j),(0.03472717575895322+0.009371469649598552j),(0.015333018810629696+0.007509440955457374j),(0.02944131345378174+0.01651986708504403j),(0.009120770876192223+0.008330837882341402j),(0.022186289358523823+0.02063021594786278j),(0.0031941010970152218+0.007728089165630153j),(0.01091693660403505+0.022786677208188666j),(-0.001504518827567918+0.005297254978901046j),(-0.01999038297995365+0.014723479580458018j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0011137783052628698+0.006907707074004498j),(0.0009497251984951406+0.0010394418680338326j),(0.007432775549703977+0.006460168914365685j),(0.0027578237264674313+0.0014372471138714067j),(0.00801262090586709+0.00705452557748931j),(0.005064313255367849+0.0019990031931172254j),(0.016017751289641693+0.008005714443976325j),(0.008576828248082036+0.0016427356720435707j),(0.023272413369019782+0.004699509987818661j),(0.012723741647824137+0.0003478442306894139j),(0.029035980310490074+0.0012933759631652358j),(0.01743298635113285-0.001876295355308255j),(0.03447398406460057-0.0018147868160195947j),(0.022299736897128077-0.004818941411193666j),(0.03903463523146758-0.004877236751536397j),(0.027172372412753814-0.007858430175322114j),(0.04246427647148832-0.007313150703964491j),(0.03218637642667058-0.010710452309914562j),(0.04463946607724326-0.009025554898662006j),(0.036979688937799834-0.013386116191896063j),(0.04530668946348546-0.0097820399547917j),(0.040753905577980705-0.015386986381420116j),(0.044529761355015844-0.009369314171819205j),(0.04328790431788803-0.015621560092206385j),(0.04245664098328085-0.007866112002924084j),(0.04526002928019048-0.013786421310568168j),(0.0391411981800065-0.005479251432029793j),(0.04656468586702679-0.010812910359895712j),(0.03469842307708605-0.002320745560120842j),(0.045755042026193044-0.0069530257130951635j),(0.029536710353561736+0.0012834573965456132j),(0.04229358599931026-0.0008823288756059754j),(0.02390839213678563+0.004634192588689827j),(0.03797670011318248+0.007571941812473016j),(0.017734339988484983+0.007130318823588138j),(0.03369208772973374+0.015462488636457935j),(0.01108235101656251+0.0085669250771019j),(0.026803091584117547+0.020419991516708553j),(0.004504046824700899+0.00854112171299428j),(0.015159804723365384+0.024084275875511582j),(-0.0010487211350682164+0.006430527345243031j),(-0.021494928154873503+0.02002084213590854j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0020634771466292146+0.007947175504191916j),(0.0012248413978560352+0.0011078413328153463j),(0.008965695877744014+0.00678968021525664j),(0.003311202752783906+0.0014315403415369515j),(0.009765707439391431+0.007622127941622587j),(0.006023183550326532+0.00192934962950502j),(0.01857641151860794+0.007826306551616235j),(0.009959390594878883+0.001308919613228697j),(0.02588710117340018+0.0037944831861256565j),(0.014453681688986851-0.00038156915097721056j),(0.03157133863159284-0.00015792991742123814j),(0.01931776495158758-0.002993708287551471j),(0.0367457492185109-0.003706527795525048j),(0.02432939022493126-0.006089575209956968j),(0.04081332467481877-0.006950850721691461j),(0.029526551352311213-0.00933624953907695j),(0.0436708175461913-0.009294814572434662j),(0.03456456175786266-0.0126165936901148j),(0.04521131458791282-0.010684982457196446j),(0.03871799526089137-0.015322472425231753j),(0.045209709744087126-0.010935990204816178j),(0.04184094593428688-0.01630457086514035j),(0.0436903712470423-0.009861823848366359j),(0.04463577216023169-0.015229914982863517j),(0.040870174714633015-0.0075261468814971245j),(0.04686302074267695-0.013028487330266828j),(0.03692672519391461-0.004205107669605649j),(0.04688004333294271-0.009664595548807692j),(0.03213756527647968-0.0003010714849603084j),(0.04431100340865108-0.003508368443442886j),(0.02665427929014045+0.0034722398269697043j),(0.04119479969381912+0.005476053942594196j),(0.02034372508002603+0.006537540363716725j),(0.03813310295346697+0.013928021983189634j),(0.013293452034341357+0.008664897582653057j),(0.031799575712826864+0.01964777022517789j),(0.006085958370503414+0.00933920544728245j),(0.020023083692102234+0.024925075001126985j),(-0.0003591792238602156+0.0077003577098690755j),(-0.022543665630665444+0.026451499507560504j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0032882906107839943+0.009055050740216711j),(0.0015501418835764218+0.001157469861174273j),(0.010726693882484789+0.007063879319225155j),(0.003949608451989232+0.0013880051576614732j),(0.011839265205651102+0.008163635054143336j),(0.007149403411914862+0.0017753612369303857j),(0.02140759155456847+0.007460480254039249j),(0.011533887056225897+0.0008003793719129363j),(0.028674644633745187+0.0026845785240989066j),(0.016308672532604263-0.0012829270998709482j),(0.03414443309025377-0.0017591860252625581j),(0.021436755845410587-0.004135108510318486j),(0.03894384345628227-0.005619199211617544j),(0.026869006455596173-0.007554871507588637j),(0.04245962473800404-0.008883700776708189j),(0.03212822440822592-0.011372244092195647j),(0.044686674590530565-0.010965365114633292j),(0.03656083856746165-0.014731851985213493j),(0.045566375625307104-0.01186312504702817j),(0.04020673682705743-0.016458864722964605j),(0.04482764693901628-0.011449803434509525j),(0.043764206254706645-0.01624539620645669j),(0.042547015629071545-0.009485433296245491j),(0.04686476869522453-0.01497030839487504j),(0.03910356584409-0.006156783597625997j),(0.04768349722478822-0.012285833685354037j),(0.034763789361954164-0.0020329272192160554j),(0.046075453326208195-0.0062118975509992255j),(0.029535706655686857+0.0021015294601437686j),(0.044336132403380475+0.0030910963068017877j),(0.023164603152077377+0.005716045045019419j),(0.04270326143300456+0.011870095195220956j),(0.01577371739480081+0.008595585363624984j),(0.03711399836652423+0.018217851274205357j),(0.007979135051806401+0.01009487451918937j),(0.025485005529613008+0.025165511291328154j),(0.0006240960821751727+0.009098801913508335j),(-0.022902846405774842+0.034152012285301014j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.004838403515426566+0.010212563413513573j),(0.0019348949075951914+0.0011855461531120647j),(0.012741346007234908+0.007266494827294866j),(0.004696609534444385+0.0012964983041552976j),(0.014292051561661101+0.00864268609883142j),(0.008452231766907127+0.0014942568493610917j),(0.024518209185184225+0.006859574110033109j),(0.013275229082243262+0.0001204198353005373j),(0.03159340181542195+0.0013630690881247165j),(0.018426357984521868-0.0022822338189410624j),(0.03675175130413526-0.003429638506241388j),(0.024064793613848105-0.005565036440083149j),(0.0411221832759678-0.00747227779574705j),(0.02962710173273091-0.009697419136611176j),(0.04402235147932492-0.010608652422631353j),(0.034315378682344785-0.01366851257338187j),(0.045564189494366414-0.012243553661531757j),(0.038409327569080096-0.016113820788035003j),(0.04571937498848403-0.01247260886103367j),(0.042651060713948113-0.01682881348607453j),(0.044211040004317914-0.011135996607354468j),(0.046538462275604056-0.016584761175458446j),(0.04131548887348099-0.008113077729229515j),(0.04813588050610665-0.014730876741022275j),(0.037424970991936604-0.003935336871573236j),(0.0475502867989735-0.00892127340049892j),(0.032514348759234854+0.000509599941044614j),(0.047355112578085314+0.00043961001741836634j),(0.026183616327500825+0.004657489406792534j),(0.04732842044447881+0.00924960585283931j),(0.01853962136730134+0.008336657873563863j),(0.042661630349593076+0.016034776517758847j),(0.010226205632911907+0.010778716040672907j),(0.031493674227620116+0.024651163331378973j),(0.0019705316152339204+0.010609252255005162j),(-0.022278731127399462+0.04325099665798354j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.006773269458890171+0.011398162975618143j),(0.002396473046302854+0.0011787848721387841j),(0.015041426992741665+0.007384397056131512j),(0.005575273944133638+0.0011252585793286374j),(0.017169015415833558+0.009011900450210377j),(0.009942728095041518+0.0010676223679717952j),(0.027883290126334913+0.0060041679070839665j),(0.01528465411238177-0.0007219074090015207j),(0.03463867238248066-0.00010911116428756994j),(0.02100896305496218-0.0036336926678291154j),(0.039470946482320864-0.005120507382495888j),(0.02688381435625457-0.007740929921962993j),(0.04332453289124472-0.009245574351279932j),(0.031933445300839775-0.012154040168461026j),(0.0455248871430428-0.012065734083380329j),(0.03644388023992536-0.01529123398260601j),(0.046319861667746993-0.013043641597800054j),(0.0413036703118631-0.01697081698798105j),(0.04570813634726021-0.01233549443864233j),(0.045858651144108434-0.017839739053554075j),(0.043582723028746696-0.009878771854530077j),(0.04819705368115117-0.01691632103756017j),(0.04020019204486254-0.005957515910908443j),(0.04869015699928558-0.011559785212228911j),(0.035595287392608185-0.0013403195018730388j),(0.05019267656869438-0.0024357791462444644j),(0.029378337605387+0.0033346425577476992j),(0.05191790491024754+0.00604472365306655j),(0.021594339166632212+0.007862499112222554j),(0.048335465783517925+0.013015156720456209j),(0.012865920965044002+0.011356329923557553j),(0.0379620511245665+0.023226725427580187j),(0.0037578986055830177+0.012203180081430173j),(-0.020308152171342138+0.053860460665691445j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.00916971492636272+0.012577013287646054j),(0.0029416441463160623+0.0011078823690222916j),(0.01767501205578689+0.007401996717589448j),(0.00658793109821549+0.0008359688323046255j),(0.020523837523746025+0.009243799202928771j),(0.011686034065929513+0.00045033340075947836j),(0.031523166185230884+0.004928097474820918j),(0.017670844476166132-0.001942851025834505j),(0.03789906539581484-0.001711249757721616j),(0.023754400479154156-0.005722469054403788j),(0.04234465729499754-0.0068770860052387636j),(0.02924744413363213-0.010288040238907805j),(0.04553187541992212-0.01089322224679108j),(0.0342314996382503-0.014000222519825488j),(0.046978576675994435-0.01315892916589202j),(0.03969061243187903-0.01662960904920369j),(0.046993675516369744-0.013213258970255111j),(0.044817725681558666-0.018688187046036954j),(0.04573901980726284-0.01134366109761323j),(0.04783278890303848-0.018766001068629086j),(0.0430880911100685-0.007918414203222996j),(0.04945268173529757-0.014055128699801061j),(0.0388463142391441-0.003412223648041045j),(0.052766416229402646-0.005486482602229618j),(0.032765903079141824+0.0017084977607160308j),(0.05635290135492244+0.0022553195035697766j),(0.02494358285067281+0.007124177480415951j),(0.05399596154792577+0.009103932568412975j),(0.01593399430667917+0.011773770201454694j),(0.044755833474873115+0.02074919360534106j),(0.006072212324899037+0.013833884219470993j),(-0.016550169001685138+0.06606388313453271j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.012111334037154347+0.013684974625428413j),(0.0035560624529912734+0.0009533425299548003j),(0.020706849295984205+0.007284883409620165j),(0.0077349345948644205+0.00040499015053995554j),(0.02447498521394568+0.009289412770357327j),(0.013705687696762503-0.0005267091106531041j),(0.03554629838131567+0.0036092740526082216j),(0.02017558295931506-0.0038040204508182954j),(0.041412879292974054-0.003544280404381448j),(0.026109778027080043-0.008213221967577776j),(0.04529434237294575-0.008696479384564434j),(0.03161399270453573-0.012326485145318323j),(0.04775841328628827-0.0122875280856715j),(0.037683054071514746-0.015757216345463967j),(0.04844117743787645-0.013761664862247633j),(0.043392262014993827-0.0190307525211375j),(0.04774844475755072-0.01266672167923046j),(0.04702133412295173-0.020189653470070994j),(0.04590014837758637-0.009733827940882563j),(0.049812275797374676-0.016325083082766857j),(0.04225664305867004-0.005546727075521756j),(0.05498671015870038-0.008670241876134953j),(0.036406818514742804-0.0001908519179523273j),(0.060483791459557554-0.0021052689241381132j),(0.028635292478390677+0.006069220113888135j),(0.059453114469786995+0.004276352396568372j),(0.019486598183878417+0.011951799305464049j),(0.05167775693816108+0.01709216275432295j),(0.009012147424493907+0.015430821801973695j),(-0.010477824173277642+0.0798980409976842j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.01566737539082853+0.014638412067453152j),(0.0042409403642417985+0.000722663168789733j),(0.024200827594023828+0.0069675136228602025j),(0.009032254506876362-0.00020918401900091142j),(0.029148482223252125+0.008972177727777642j),(0.015793357165487153-0.0020049678128123733j),(0.04000635909626982+0.0018987913586669676j),(0.022412422909554818-0.0060209685783467436j),(0.045053856885467536-0.005645895059831008j),(0.028486648620338603-0.01036018584013487j),(0.04829020990069379-0.01041831611357869j),(0.03509235766687878-0.014409719313391153j),(0.050112184248001804-0.013337888157322569j),(0.04145932933928719-0.018733095384727675j),(0.05002079161760297-0.013831525770905512j),(0.04573767593273749-0.021068242712476988j),(0.04860060009558546-0.011590227454531915j),(0.04973727972892817-0.018252001204052258j),(0.04564118855440471-0.0076806204455344765j),(0.05677839853905594-0.01192577222635919j),(0.040281945076786986-0.002243684117007052j),(0.06415096848350103-0.007005228301686328j),(0.03273996062216607+0.0047092425404590965j),(0.0644711499519353-0.0014760967638726141j),(0.023617441958604317+0.011821707624377982j),(0.058471351584153626+0.012141214014404596j),(0.012693079834439956+0.01690277080321007j),(-0.0014654841901413896+0.0953291668651603j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.019908301529609543+0.015361188921603595j),(0.005041128976864094+0.00039625563197516185j),(0.028191958402920228+0.006362427712127625j),(0.010444115901993735-0.0010794756188519372j),(0.0344977838261624+0.0080470080694686j),(0.017710662462409755-0.0037499471416206657j),(0.044802043040384446-0.0003057279386195427j),(0.024748624509682966-0.008056251928619298j),(0.048759527260699514-0.007845149941867365j),(0.03183707236638413-0.012668378698357059j),(0.05147703519025517-0.01193675970909624j),(0.03882955319417067-0.017765721383959206j),(0.052636771748323936-0.014086545032515867j),(0.04389760407707495-0.02125225510817852j),(0.051630911541576494-0.01347048072069029j),(0.04915457798039704-0.019702193878993843j),(0.048989167008160556-0.010006150392148425j),(0.058046048524249175-0.015128211036699766j),(0.04424364176547078-0.004442878433686544j),(0.06719581486109372-0.012348827191874268j),(0.03723746176955842+0.003100045542220579j),(0.06880970908235422-0.008132672585071596j),(0.028401599381291966+0.011365853885736785j),(0.06485540045038952+0.005817593340386573j),(0.0172334637316409+0.018145355288698265j),(0.01122786230697046+0.11223226846842384j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.024949426972159114+0.015757578436267534j),(0.005964102112692438-0.00011974958706680405j),(0.03267200412135749+0.0054031118055142685j),(0.011860058248091904-0.002175594654790755j),(0.0403484431845663+0.006473052289882076j),(0.01976293915673365-0.005379391754360434j),(0.04988091087197525-0.0029517118596806063j),(0.0279206696048139-0.010362771022830904j),(0.05268776415611026-0.010049596326138284j),(0.03540424009545332-0.016175574884472754j),(0.054887496918035725-0.01335693241532545j),(0.04137467010338378-0.020665676846411067j),(0.05510456561637998-0.014534468249867163j),(0.047931076135523096-0.020559261035566136j),(0.05275853959076099-0.012483645836452967j),(0.058621044420060046-0.018112733831272848j),(0.04835728418015132-0.00700190925102794j),(0.06940602094467119-0.017930574737367262j),(0.042033852991400646+0.0011389921737349376j),(0.07224466554722597-0.015566998971723135j),(0.0338027138223463+0.010534401120780364j),(0.07053413476032085-0.0018367823541085748j),(0.022722928560723173+0.01902025995390534j),(0.02846168467505611+0.13037797439888857j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.030913538143737682+0.015637984197954587j),(0.0068984968134952794-0.0008712774248849521j),(0.03763362414537546+0.0040992753953538515j),(0.01332950643893341-0.0032948934717784493j),(0.04678196828299364+0.004389060943031707j),(0.022558498765742653-0.007217981918206043j),(0.05530531161078322-0.006096928956784904j),(0.03131282231076636-0.01376195073822116j),(0.05682448347142755-0.012392626929584882j),(0.038066676257653385-0.019293652485429656j),(0.05819409961076835-0.014622305538972983j),(0.045940498494467394-0.020758345455242137j),(0.05709510858363639-0.014238976974308514j),(0.058252218589731945-0.020731097253672375j),(0.053120323806615584-0.009834550089853978j),(0.07045909551877365-0.023489762330135618j),(0.047304690899883095-0.0014425979420319855j),(0.07450049382569177-0.02348432714590381j),(0.03977824942345164+0.009056341136718956j),(0.07510670952236143-0.01059198645172528j),(0.029230203980609423+0.01928964388865909j),(0.05118508596976707+0.149398597311176j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.03781205858449193+0.014766889774869335j),(0.007796275032644974-0.0017107169205233513j),(0.043166955063933934+0.0025156872982810387j),(0.01522707115126011-0.004408734151134007j),(0.05411357513029905+0.0015804182854952328j),(0.025803412350135915-0.009986316479316868j),(0.060832147728838305-0.009874611858332605j),(0.03411382374903102-0.01696167950435894j),(0.06083550729227906-0.014680440295618812j),(0.043029816340485846-0.02021420141942585j),(0.06109642421007925-0.015095951489297082j),(0.05675614295887026-0.022839156409124334j),(0.05863060365471851-0.01211478222602912j),(0.06998399623268943-0.028794241283224425j),(0.0535959590419496-0.004529937449985084j),(0.0751788487942885-0.03146812514856743j),(0.04662658353128522+0.006541222757323795j),(0.0779774946779562-0.02013794437524689j),(0.036907538845626996+0.01860237053694293j),(0.08041589739806448+0.16868860976575292j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.04560838296416785+0.013056392803945565j),(0.008934686996189005-0.002553404985639141j),(0.04945954270755137+0.0006610883618914007j),(0.017803068395600426-0.0059431071168461885j),(0.06211418753515944-0.0024621023904447016j),(0.028863955887378286-0.013056600184497044j),(0.0660715267349789-0.01376627417395599j),(0.039160154411761745-0.018660692748725775j),(0.06478203078812113-0.016214792561875004j),(0.0539152980283927-0.024094088145051578j),(0.0639375797339544-0.013798482340038885j),(0.06779435280554255-0.033577030070645976j),(0.06082081747904525-0.007331861522888656j),(0.07383955565057516-0.03911344971811176j),(0.05493552167962693+0.003115429224189796j),(0.07855518195280885-0.03027682911276183j),(0.046048963631328196+0.01668024374346692j),(0.11732419039373389+0.187291338424354j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
