0,-1,1,-2,2,-3,3,-4,4,-5,5,-6,6,-7,7,-8,8,-9,9,-10,10,-11,11,-12,12,-13,13,-14,14,-15,15,-16,16,-17,17,-18,18,-19,19
(1+0j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(0.014789943700093502-0.0023914515119741984j),0j,(0.9852094471304713+0.002392699352896995j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(-0.0004997218930123954-0.0005997540813922285j),(-0.0004997218930123954-0.0005997540813922285j),(0.014789943700093502-0.0023914515119741984j),0j,(0.9852094471304713+0.002392699352896995j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(-0.0006471764734169604-0.0005584982392568541j),(-0.0004997218930123954-0.0005997540813922285j),(-0.0008520091361659424-0.001240692062341675j),(-0.0004997218930123954-0.0005997540813922285j),(0.013909977153285851-0.0017296191192935093j),0j,(0.9712987632141247+0.004123008011790936j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(-0.0008548583337493991-0.0012635308305088628j),(-0.0006500256710004172-0.0005813370074240418j),(-0.0004672054744725867-0.0001696586117454059j),(0.00046780102026045467-0.003080540747188808j),(-0.0008768707999705506-0.0015340462579150479j),(0.00046780102026045467-0.003080540747188808j),(0.01433289276950912-0.0030938421972389707j),0j,(0.9569649975623319+0.007217101541225056j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(-0.00047454656361190954-0.000215714433800078j),(0.0010708124799886495-0.006126273141174879j),(-0.0008837762419849215-0.001602184052989633j),(0.0003211347877351806-0.00320668899074703j),(-0.00045063840465518225-0.00013293156862931584j),(7.13283508639662e-05-0.002782051354474408j),(-0.000906534733292119-0.001679803213891887j),(7.13283508639662e-05-0.002782051354474408j),(0.014511228495473202-0.0023705144639166393j),0j,(0.9424528357507371+0.00958769599502414j),,,,,,,,,,,,,,,,,,,,,,,,,,,,
(0.0019557361936557473-0.00885316672017057j),(0.00045550951489890454-0.0029698344732750417j),(-0.0004803289060214423-0.00019360068287364206j),(0.0002582076282029388-0.005518324901657295j),(-0.0009349182932835234-0.0018067182471959526j),(-5.0816938086640895e-06-0.0029314934380649314j),(-0.0002504014615127853-9.669218383006849e-05j),(0.0002443006764296659-0.0012308416488068998j),(-0.0007394249621012783-0.0018752325763811484j),(0.0002443006764296659-0.0012308416488068998j),(0.01382886879531944-0.0028372418355938605j),0j,(0.9286229083316662+0.012424925763442103j),,,,,,,,,,,,,,,,,,,,,,,,,,
(0.0004794567386385131-0.0029492655698108204j),(0.0005961233933538786-0.008102594887701051j),(0.0027493766072855465-0.011302858907975362j),(4.477676425240101e-05-0.002882193187634232j),(-0.0002900262846140565-0.00016347113782300105j),(0.0005610159089763363-0.0024299936253691467j),(-0.000795395585721464-0.002065892487985274j),(0.000266495948755671-0.0013606278611055659j),(-0.0002357633211503463-2.3021918584845513e-05j),(0.0008786051071094619-0.00013442613943004264j),(-0.0005314502266910348-0.0019805212669734853j),(0.0008786051071094619-0.00013442613943004264j),(0.014131508026192608-0.0027996366858827936j),0j,(0.914490313557913+0.015224483100106j),,,,,,,,,,,,,,,,,,,,,,,,
(0.0008939472236901455-0.010500713895621487j),(5.467411006142572e-05-0.002894099383341613j),(0.0006077931190987576-0.0029129470100054534j),(0.0008813443280063851-0.003591073998690707j),(0.0036989071155629685-0.01372828566224883j),(0.00024251098150070936-0.0014121613780647033j),(-0.00028318336341929206-8.509349842988318e-05j),(0.0017839880182657052-0.00024062103511215087j),(-0.0006202609431369045-0.002229960724720985j),(0.0009691973267474794-0.00023734062737443718j),(-0.00018205596617876395-8.607707144772086e-05j),(0.0011985506396898931+0.00016831184379469902j),(-0.000312553334538673-0.0021418449635261182j),(0.0011985506396898931+0.00016831184379469902j),(0.013604224289543417-0.0025767998679777065j),0j,(0.9008849690108589+0.017801209011578636j),,,,,,,,,,,,,,,,,,,,,,
(9.193589383742632e-05-0.002877234589540619j),(0.001169441932595846-0.004725441396942904j),(0.0012770678152609874-0.01285127548202447j),(0.00023187025016365332-0.0014308053607587766j),(0.0006256878388433423-0.002853351708790354j),(0.0026211325405203767-0.0003441343718414621j),(0.004681457479197561-0.015947506216083637j),(0.0009327574038204157-0.0003095409754208288j),(-0.0002358109867821259-0.0001462472095103383j),(0.00238829142587069+0.0003679315232881688j),(-0.0004368449546956215-0.002446462934761581j),(0.0013024217906737108+9.61223262441834e-05j),(-0.00012320161065068738-5.193643736326067e-05j),(0.0009966867808921809+0.00016100143646693293j),(-5.146773509111024e-05-0.002278747227009446j),(0.0009966867808921809+0.00016100143646693293j),(0.01351849168988227-0.002771381798439917j),0j,(0.887365339678121+0.020572494052310857j),,,,,,,,,,,,,,,,,,,,
(0.0014760869668196653-0.005806906714556853j),(0.000206068272578817-0.0014231313651151712j),(9.836792041824076e-05-0.0028511086191013333j),(0.0034016917211096994-0.0005107775071170955j),(0.0016896119614085374-0.015055746352090225j),(0.0009210845794524852-0.00031313580505293385j),(0.0006629979744744338-0.0028746673858626197j),(0.003509790573343914+0.0005544510442020756j),(0.005643394666191753-0.01814125546737086j),(0.0012920659931598393+2.4748764042388545e-05j),(-0.0001768391672343379-0.00010947598166849876j),(0.0019597821122883732+0.00035420748215540885j),(-0.00021028282929324557-0.0026350766016966834j),(0.0010768750440623965+0.00012588136586839666j),(-0.00013928533829027942-7.366352242178396e-05j),(0.0006048269706745565+0.00020552452342676548j),(0.00018457101003462465-0.0024204294923659757j),(0.0006048269706745565+0.00020552452342676548j),(0.013348181541447493-0.0024971123814208672j),0j,(0.8740160323931794+0.023069516573955798j),,,,,,,,,,,,,,,,,,
(0.00019937309877246927-0.0014163529488234999j),(0.004157902227939844-0.0006316393822543965j),(0.0017615245756544809-0.006837206818200244j),(0.0008725181146037373-0.0003164521783789887j),(0.0001108169131598236-0.0028458872180027917j),(0.004576309937185948+0.0006709653011397979j),(0.0020970100189605873-0.01720746629758924j),(0.0012935510721104448+4.030695486281307e-05j),(0.0007077360127219386-0.002844487751793835j),(0.0028752680311788493+0.0005112594404895245j),(0.006653716672212535-0.020236227034069j),(0.0010885023584196246+5.35570188461727e-05j),(-0.00019398651934446503-0.00012719379287183763j),(0.0011607050454822715+0.00043834294071406604j),(-7.258639871865746e-06-0.0028245650341542543j),(0.0006545015394654967+0.00020313072294373422j),(-9.656403213716795e-05-9.21490065948325e-05j),(0.00033995031995601307+0.00029393696980959137j),(0.00043570623710287125-0.002566516479793829j),(0.00033995031995601307+0.00029393696980959137j),(0.013044537640564319-0.002536432465289524j),0j,(0.860970366637504+0.025605859835207766j),,,,,,,,,,,,,,,,
(0.004841392246392833-0.0007567513640045212j),(0.000863369488051646-0.00032002227192156127j),(0.0001914144818152196-0.0013976238491793045j),(0.005597279759113638+0.0008208739353461573j),(0.002050482026922935-0.007832210685930078j),(0.0012429889771470093+2.3078973242819833e-05j),(0.00012977299583768144-0.002829646100993339j),(0.003772345359046425+0.0006205041646007779j),(0.0025395205701424376-0.019277621822603605j),(0.0011019673978888086+8.294450570370662e-05j),(0.0007062414070450532-0.002842151844744352j),(0.0016804821082617464+0.0006137878511737979j),(0.0076243986885062304-0.022253007487222545j),(0.0006698017072249539+0.00013174615194947814j),(-0.00015125501598380444-0.00014534147704135556j),(0.0006233962429188654+0.0006043986432423738j),(0.00021201703898044016-0.003016479898232973j),(0.0003669789616391007+0.0003062501904647678j),(-0.00010083049773419272-7.944401041654384e-05j),(0.00025048158830270895+0.0003072386128587836j),(0.0006734149064030363-0.0026992282534320277j),(0.00025048158830270895+0.0003072386128587836j),(0.01296586542543977-0.00243440598283894j),0j,(0.8480033914015093+0.028040172940669104j),,,,,,,,,,,,,,
