0,1,2,3,4,5,6,7,8,9
1.0,,,,,,,,,
0.1767516079596838,0.6046889752484569,,,,,,,,
0.21621290080269182,0.29040642917818543,0.23767100268394895,,,,,,,
0.16237754646325442,0.23320329157960912,0.21603444384059592,0.08766877901982491,,,,,,
0.12517544710871945,0.18773453739955456,0.18983170470858401,0.11677507114724284,0.03349370799052443,,,,,
0.11038768447744075,0.15091669411061534,0.16827218856637519,0.12406031132194442,0.05849083321980247,0.01251343193870904,,,,
0.10288330536285478,0.12822234983231426,0.14479815684007924,0.1232882066646544,0.07251412834508944,0.027251942519409517,0.004740679509287173,,,
0.09786930584796924,0.11422825430183355,0.12577918426506754,0.11590651163389341,0.08046470944957956,0.03931080647936818,0.012284249146955275,0.0017806280277116856,,
0.09373942815639918,0.10508261666470084,0.11180212476633831,0.10668058588334466,0.0826990872392426,0.04837149298801398,0.02013904252679228,0.005379060059479742,0.0006723281956401247,
0.08984066120623832,0.09856411680184578,0.10184616165457469,0.09798114973376007,0.08130963350917658,0.05408045968817451,0.027339678785405462,0.00992703268537362,0.0023110761274959136,0.00025305518002632254
