0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1.0,,,,,,,,,,,,,,,,,,
0.050013311574417706,0.6937293771074414,0.3065205099505098,,,,,,,,,,,,,,,,
0.06829186358451367,0.08532075406305863,0.04831173473555671,0.05795933834821909,0.02849099308474751,,,,,,,,,,,,,,
0.02512225214618122,0.07277612984213139,0.038440500386459256,0.03174233939025898,0.015316424932849694,0.00647077552373738,0.003697766193400101,,,,,,,,,,,,
0.013209849955359832,0.03127636071740978,0.017656497296726442,0.020694841827258552,0.010602439464620025,0.005214757985900699,0.0027040731882684945,0.001000209950785065,0.0004689165548384782,,,,,,,,,,
0.006521757939316572,0.01687823722274703,0.009686169638528634,0.012916164433158314,0.006646630231236438,0.004108874948706353,0.002178205200264353,0.0005276911480887045,0.00033808776379851737,0.00015685104463883102,0.0001019210392886945,,,,,,,,
0.0034698134422972357,0.008719589837561175,0.005115663453675075,0.007524552260798184,0.003986230828404545,0.0032029213004979985,0.0016080654327356556,0.0005740406367837809,0.0003194460108211222,9.140886371512816e-06,4.610374762119681e-05,4.1153228450875056e-05,3.315994767705948e-05,,,,,,
0.0018886997511693953,0.004681423150356139,0.0027664925499047872,0.0043796462766818875,0.002354053550633035,0.0021577345498143435,0.001099874908125295,0.00048784183093747153,0.00025827538398848763,3.731961677687568e-05,4.4098074779527314e-05,1.042752678371423e-05,1.8510027477984996e-05,1.2691065948020364e-05,9.758207364553257e-06,,,,
0.0010514129770428466,0.002526675403143077,0.001499883664459705,0.0024889163180224546,0.0013574249248962296,0.0014237539048908509,0.0007269596528492338,0.0004095619400183912,0.0002091912951348692,4.297743440052773e-05,3.515641980895206e-05,1.4621523848962917e-05,1.8159281614677013e-05,2.2607106905446365e-06,6.24633709548422e-06,3.6785937986111046e-06,2.77570074733447e-06,,
0.0005925407009331802,0.0013793039026153248,0.0008195260188923299,0.0014102880488018068,0.0007775842690162891,0.0008871000606015648,0.0004594055863429314,0.0003129839215437203,0.0001570068731798316,5.0876870901476504e-05,3.162885549164719e-05,2.208318191698562e-05,1.4236273844875384e-05,6.018168535796655e-06,6.436536668603568e-06,2.477997926750831e-07,1.9036686976200535e-06,1.0490950711571914e-06,7.930989203531804e-07
