,0.0,-0.5,0.5,-1.0,1.0,-1.5,1.5,-2.0,2.0,-2.5,2.5,-3.0,3.0,-3.5,3.5,-4.0,4.0,-4.5,4.5,-5.0,5.0,-5.5,5.5,-6.0,6.0,-6.5,6.5,-7.0,7.0,-7.5,7.5,-8.0,8.0,-8.5,8.5,-9.0,9.0,-9.5,9.5
0.0,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0.5,(0.6801222376507158+0.13807363999148414j),0j,(0.3198771531830311-0.13807239215589162j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
1.0,(0.047509154403821016-0.003130349449610192j),(0.047509154403821016-0.003130349449610192j),(0.6801222376507158+0.13807363999148414j),0j,(0.3198771531830311-0.13807239215589162j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
1.5,(0.07724538528615493+0.005331976717496129j),(0.047509154403821016-0.003130349449610192j),(0.06528202420375544-0.014723190741230545j),(0.047509154403821016-0.003130349449610192j),(0.23918866899508714-0.03427396348306164j),0j,(0.08068835457918538-0.10379856151533531j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2.0,(0.0684735661554558-0.016284081319299468j),(0.0804369272378553+0.003771086139427207j),(0.08213858556620615+0.003257753141699144j),(0.019816945870777144-0.019893328654297885j),(0.05821186340140718-0.036852581775754206j),(0.019816945870777144-0.019893328654297885j),(0.08945348164983044-0.06880194000431458j),0j,(-0.008765165893797203-0.034995545151209964j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2.5,(0.09086933109556286-0.00029189906458272803j),(0.028075706328248504-0.031224626895583522j),(0.06543882162554333-0.041107383563340955j),(0.044141244357648296-0.03469877619556168j),(0.06418642964659807-0.004083959115095768j),(0.002547766156590383-0.004044960386346558j),(0.026793879962691513-0.027789704383528097j),(0.002547766156590383-0.004044960386346558j),(0.0035103575635380994-0.01933322488854969j),0j,(-0.012275753337820893-0.015662368795468375j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3.0,(0.020927659909433585-0.03721445134310554j),(0.05606631057867431-0.042752450780452096j),(0.07584706885021247-0.008564772142383797j),(0.0065065486114340345-0.010163397650370875j),(0.03394315725064423-0.03438596615473075j),(0.008397637759900866-0.009094649316718688j),(0.03712212013075001-0.016778648176105516j),(0.0005952178456990678-0.0043939744121863755j),(0.005821283911958647-0.02217427975106402j),(0.0005952178456990678-0.0043939744121863755j),(-0.005937562320671409-0.015317192053524683j),0j,(-0.006338072432351639-0.00034508497388059537j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3.5,(0.04463505517584779-0.0356587646950155j),(0.00984028573993461-0.017213384075268873j),(0.015782713770171118-0.03268759814942951j),(0.01575801493816871-0.014889932850565083j),(0.04754744236840399-0.021964917351097415j),(0.0005386835353874701-0.008392512000734206j),(0.010204647187905546-0.029572892529249654j),(0.002647832009464199-0.01051776009147863j),(0.008162877300186198-0.013233742732490146j),(-0.0004642250156339569-0.0003171980441197935j),(-0.0019656490274048317-0.008779943219014968j),(-0.0004642250156339569-0.0003171980441197935j),(-0.003621740713570327-0.0003727602675609494j),0j,(-0.0027163800103289144+2.7659157053407714e-05j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
4.0,(0.008581922226809372-0.01925628851157884j),(0.019900974060646955-0.019151114397742183j),(0.02587274846446032-0.03118466263728954j),(-0.0008325520750366202-0.011430947359137886j),(0.006862638482706915-0.025097037341405556j),(0.004440439332058582-0.01632667924274788j),(0.015305136351380649-0.019010271113444468j),(-0.0007187716942111705-0.0020761129806173505j),(-8.895038983543679e-05-0.014885969101233808j),(-0.0008027918707993853-0.0019948634963808057j),(0.0010861601371160603-0.00962875691604118j),(-0.00025291188731143134-0.0006186579832725632j),(-0.004196680414306709-0.0023637598249484737j),(-0.00025291188731143134-0.0006186579832725632j),(-0.0025496744860731683-0.0009069338263366122j),0j,(-0.00016666604641061102+0.00093458327803906j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
4.5,(0.017701986936232234-0.020210237689007128j),(0.00016710969729850643-0.013786155430319837j),(0.004259915458576635-0.01861927537328352j),(0.005381656470832994-0.01879675572554626j),(0.015013368088789008-0.021359938009461253j),(-0.0007611176954358269-0.004721341373646367j),(0.0008213287499321516-0.015985412584423805j),(-0.0003585998323923507-0.005123068878026281j),(0.004354448744517706-0.014287338024417593j),(-0.0009596137161297345-0.0012453699553511067j),(-0.004866112050739844-0.005540063561213893j),(-0.0008022040287912178-0.0017380091987240134j),(-0.002384597064864229-0.001747397701527728j),(-0.00012471741633182003+9.622334900963451e-05j),(-0.002022350729982898-0.0003153140920083244j),(-0.00012471741633182003+9.622334900963451e-05j),(-1.6264506027202446e-06+0.0006399891081380197j),0j,(-0.00016505082556136187+0.00029460026989671317j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
5.0,(-0.0004521679760229332-0.012967102083699363j),(0.005184903720296532-0.01843236019656198j),(0.011369064735951187-0.018056199733789784j),(-0.0013896440641272237-0.006711565460161265j),(0.0007664635258736736-0.014610733934476783j),(0.0007270373732488811-0.008717522182126552j),(0.004480521491555552-0.013679938418070138j),(-0.0019758110235545364-0.001908458933931948j),(-0.0031848004290781703-0.007579227945400781j),(-0.0016888892232632111-0.0032264376850527146j),(-0.001713376983100199-0.004841112950195222j),(-0.0003707624687374297-0.00010634284381863082j),(-0.003217226567529444-0.0019453932038932219j),(-0.00044486971710985584-3.8778098804311684e-05j),(-0.0017676412656337393-0.0012643891483903999j),(-6.444720250743769e-05-7.074466693829452e-05j),(-0.0008256842235058511+0.0006326839632801713j),(-6.444720250743769e-05-7.074466693829452e-05j),(-0.0003323210998779877+0.00019431269849659854j),0j,(0.00016727522909271473+0.00010028090044327377j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
5.5,(0.004645855535415532-0.015949623380006862j),(-0.002089237250537586-0.007552266157747596j),(-0.0020002370160188744-0.011010760444375713j),(0.001214363901628582-0.010614043948207239j),(0.0054644291921176315-0.013732197623442102j),(-0.00226503755035707-0.0030877027536667643j),(-0.0025786958734481157-0.008592659349796881j),(-0.0022604682619706204-0.004802976442088376j),(0.00046982583996027044-0.007753332435336059j),(-0.0007516607832253825-0.0005878287296878067j),(-0.003466610495700768-0.0035727138753105345j),(-0.0008709467353992101-0.0006260737292772186j),(-0.002470615552430433-0.0026146360710555144j),(-0.0002694542936940122-5.7929818699151266e-05j),(-0.001629549890461484+0.00042232998600930604j),(-0.00027138808808131477-0.00014575509104240294j),(-0.00048698370374027815+0.0005025134783497365j),(-9.228832084219727e-06+4.033383838791505e-05j),(-0.00021204209891393177+0.00024117336702553474j),(-9.228832084219727e-06+4.033383838791505e-05j),(0.00016418258508991035+6.2395863608799e-05j),0j,(3.091225664400064e-06+3.7888430058355654e-05j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
