,0.0,-0.5,0.5,-1.0,1.0,-1.5,1.5,-2.0,2.0,-2.5,2.5,-3.0,3.0,-3.5,3.5,-4.0,4.0,-4.5,4.5,-5.0,5.0,-5.5,5.5,-6.0,6.0,-6.5,6.5,-7.0,7.0,-7.5,7.5,-8.0,8.0,-8.5,8.5,-9.0,9.0,-9.5,9.5
5.0,(0.12469129666462177-0.050007844453873775j),(0.08227432859087702-0.008763601963665785j),(0.09432142226869134-0.01335961767203159j),(0.08445848232800801-0.024009275722267624j),(0.11846433335748399-0.05836420105675788j),(0.05145724805944395-0.005863748859384516j),(0.06786969195353008-0.015218290613019665j),(0.038773222040412184-0.00521302950779087j),(0.06083580820237852-0.03321750992778933j),(0.023710610830241015-0.0028157402105839593j),(0.022104213382779285-0.006156783934223392j),(0.011419683743346593+0.0005522850406564598j),(0.005256407878255856+0.004448181933371383j),(0.008295160417789153+4.6334248454537875e-05j),(-0.0011787610073678298+0.0018549131897727424j),(0.0018599547033033292+0.000555185988823266j),(-0.007540198662767335+0.010953092137370854j),(0.0018599547033033292+0.000555185988823266j),(-0.003695427993337598+0.004564262086627136j),0j,(-0.00295567296627193+0.0025492319439516403j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
5.5,(0.09012159189528894-0.015368300063429598j),(0.1075815284964451-0.04219091554823981j),(0.12116185433788308-0.061948169769838114j),(0.06933338058792003-0.009633964102464823j),(0.08105706306655215-0.018926577492532858j),(0.06544672998096715-0.01601202399026772j),(0.08607551466058241-0.05134081301662036j),(0.03968667677176813-0.004464070062279787j),(0.04293015034084257-0.014616035180275953j),(0.027781397584491743-0.0016169259764484993j),(0.028874434886031464-0.01611974021760031j),(0.01721548059511098-0.0012149508303708548j),(0.006467476054652465-0.0013174008605161347j),(0.007673730708019524+0.0012917808442350664j),(-0.00452727774239915+0.010626675295349147j),(0.005657886423570959+0.0006303394421197711j),(-0.0036776645140201604+0.003727019805424752j),(0.0011644893087117418+0.000559915872982198j),(-0.0056543105034489545+0.008660995437412744j),(0.0011644893087117418+0.000559915872982198j),(-0.001793941155782657+0.002359434399213232j),0j,(-0.0011617451915539455+0.00018983398966446126j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
6.0,(0.11544808440595646-0.058904691946815774j),(0.08191851825829952-0.015981331391515453j),(0.08604534206149234-0.02192073082055645j),(0.09001688359054993-0.0326826552244784j),(0.10088581106385178-0.06398909580816386j),(0.0568285163659336-0.008323838591149806j),(0.060198738713851854-0.02062026228283942j),(0.0500399196019355-0.009342745348758067j),(0.052608860484708565-0.03647800053197343j),(0.030190186469795106-0.0026947840632921246j),(0.022005836656280062-0.009937479380073841j),(0.019758159033257425+0.0006666494788911485j),(0.008589939849206201-0.0016298356373535543j),(0.012449727702712366-4.874973881517115e-07j),(-0.0012017705785623443+0.0025457918464229083j),(0.0050971956442369785+0.0015531920784119457j),(-0.006538137767642751+0.011745156624106681j),(0.0038282604581524144+0.0008996728304040606j),(-0.0033051242664542363+0.003849547222673623j),(0.0007108339736460933+0.0004951002890769063j),(-0.00326659145876666+0.005419629441324324j),(0.0007108339736460933+0.0004951002890769063j),(-0.0007296311418384961+0.0008816061482604686j),0j,(-0.000432118725776521-0.0006917446028524289j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
6.5,(0.08507391686189332-0.023311942570664143j),(0.10472522128381237-0.05137422675993827j),(0.10693078779021874-0.06864982643952783j),(0.07165389799057835-0.0147342365245152j),(0.07215137427979271-0.025954728797086334j),(0.07360726993814748-0.023403241478245206j),(0.07238260143489085-0.055388002358558j),(0.045655191746780295-0.006270637931174135j),(0.038320042796864684-0.017632604824024817j),(0.0378336314657512-0.004318657740736374j),(0.025792822117863715-0.01920324612088868j),(0.022805108778661046-0.0010458000434209463j),(0.007774932721768652-0.0039405310995773496j),(0.013908348251109372+0.0019345512256468014j),(-0.0012609017938325614+0.007387007128873197j),(0.008936099357000682+0.0007949819994023298j),(-0.00359607436073193+0.004405354355119249j),(0.003329679136917168+0.001531919351826851j),(-0.005212258238976097+0.009723716931611075j),(0.002554605975010093+0.0009611671515982695j),(-0.0021016614323859074+0.002951339448226058j),(0.0004191280006118252+0.0004054958599867294j),(-0.0015706325670664164+0.0026043680219007097j),(0.0004191280006118252+0.0004054958599867294j),(-0.00025695624348185005+0.00010090271134534055j),0j,(-0.00017516253492459187-0.0007926314355150626j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
7.0,(0.10569470393248089-0.06674971617649651j),(0.07989141142382412-0.022773343629068233j),(0.07841489925582192-0.029279446702452236j),(0.0918401132063061-0.041841848724247475j),(0.08626075071363956-0.06803670845536793j),(0.060983609971778346-0.012372630301227537j),(0.053046458759198-0.025378969011631766j),(0.05917076064040606-0.015308107763851862j),(0.04414041715292907-0.039701291755088006j),(0.03620269660249213-0.0039868012973818725j),(0.01998760731916182-0.011624097276015133j),(0.0282675311761579-0.0008333406946507124j),(0.008584568575883467-0.0043350741011428j),(0.01707988569841007+0.0002632768236864683j),(0.00014677841182766276+0.0010032800376092862j),(0.009661263448038786+0.002485036458529155j),(-0.004243761455686176+0.010846241712012166j),(0.006342655685401077+0.0012241745816288785j),(-0.003336795404438809+0.004497492719394017j),(0.0021286244186138554+0.0013654451876022242j),(-0.003210568726911253+0.006523987011640455j),(0.0016729585039993906+0.0009019039671307119j),(-0.0010522293661318872+0.001779634083910027j),(0.0002355561249102844+0.0003152147937464163j),(-0.0006734929184309044+0.0007498137566477629j),(0.0002355561249102844+0.0003152147937464163j),(-9.022798830044309e-05-0.0001983077736278287j),0j,(-8.493339238016348e-05-0.0005943166241707588j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
7.5,(0.07956243437863839-0.030465618417205905j),(0.09975125181936685-0.060335267200470465j),(0.09355761922828097-0.07393187535883226j),(0.07230453896944784-0.020649189813241233j),(0.06415885519262453-0.031384670045919355j),(0.07859574666338982-0.03192839923281183j),(0.06047539647467781-0.05775456779679971j),(0.05085998657953363-0.009408190106855499j),(0.033615170952767-0.02061170407905034j),(0.04684321932113527-0.008797733898707862j),(0.02195890107082118-0.021960803398037767j),(0.028357148746063442-0.001896080989909709j),(0.00745702056568259-0.004982242204534238j),(0.020846382513281057+0.0013607084174942947j),(-4.349061420908281e-05+0.005491420333305403j),(0.012666223849259558+0.0011532565256991995j),(-0.0026967869303182374+0.0038467473071682155j),(0.006604658107856315+0.002574706910853449j),(-0.003855722324476981+0.010277867433161138j),(0.00443903285594242+0.001382463292925061j),(-0.002226695834881639+0.0035390309311524024j),(0.00132404325652973+0.001141923953800315j),(-0.0016664665558900579+0.003521463227819441j),(0.001069633333435301+0.0007838269710176047j),(-0.00042113456101667505+0.0008043125469517433j),(0.00012324383324125896+0.00023555295347987734j),(-0.00030265183021122716-0.00018513937083421402j),(0.00012324383324125896+0.00023555295347987734j),(-4.374434353916164e-05-0.00023969373685817934j),0j,(-4.118827480397633e-05-0.00035462088732037456j),0j,0j,0j,0j,0j,0j,0j,0j
8.0,(0.09545373897543673-0.07369425934975862j),(0.07690464983749415-0.02957370508335456j),(0.0709011898230484-0.035299601592506905j),(0.0910537918234881-0.05125456052421194j),(0.07282453766966511-0.07098682141199401j),(0.06364046250542003-0.017424562586855687j),(0.046295762563765545-0.028929596875324606j),(0.0659244270719854-0.022742497093623616j),(0.03628931970375601-0.041298344553763515j),(0.04170881759306529-0.006398904625585116j),(0.017642730211005424-0.013433043400743562j),(0.036544666291145604-0.003936187397641421j),(0.00776782380791197-0.006596309676217307j),(0.021963022385714473-0.0002251789624511216j),(0.0005649839455285331+0.00039941222406254177j),(0.015155859471248938+0.002570936143303461j),(-0.0028694698905079355+0.00992669329397064j),(0.00928836380448285+0.0016658428810821199j),(-0.002872710371236372+0.004628201973214908j),(0.004430278511507208+0.0023985330265366583j),(-0.002484710169881147+0.007679611229241472j),(0.003054387786127191+0.0013633303801941512j),(-0.0011880404937195499+0.002259323153331162j),(0.000794786785077251+0.0009126954865657349j),(-0.0007893872709412755+0.0013572447569730126j),(0.000663284628936592+0.0006464232139508875j),(-0.0001374836264281132+0.0001877102777189661j),(5.69923168168896e-05+0.00017043397179629242j),(-0.0001778388682549547-0.00048697627443802316j),(5.69923168168896e-05+0.00017043397179629242j),(-2.9815355080420557e-05-0.0001809894605905268j),0j,(-1.1372816787824076e-05-0.00017363160158694282j),0j,0j,0j,0j,0j,0j
8.5,(0.07361016939325193-0.03681084155779874j),(0.09320711249003591-0.06865300612205104j),(0.08087903439865714-0.07823325143601924j),(0.07168475151825225-0.026971586270539114j),(0.056445896217275894-0.03576516939755281j),(0.08097772905382311-0.041161384210842394j),(0.049528163371769664-0.059124403803656536j),(0.05479809111932147-0.01370629864600002j),(0.028974685349580226-0.022701465090395695j),(0.05433507613215224-0.014908394470342923j),(0.017840844256136718-0.023352339614668583j),(0.033728149013106036-0.0037004888238817667j),(0.006736456199666738-0.006053472083434311j),(0.02809687109385829-0.0005570286734402454j),(0.0006536599342055572+0.003874369955828635j),(0.016820399982243914+0.000976296014355437j),(-0.002140433209972528+0.003605296389175643j),(0.010846589995495719+0.003087104169792361j),(-0.002749240804410888+0.01020787823106559j),(0.006723319285168824+0.001882743732071393j),(-0.0020258525921017937+0.004020748102669409j),(0.0029052149441741756+0.0020916756478020436j),(-0.0013031354561956457+0.004677381836198146j),(0.002059508559067718+0.0012415350961282135j),(-0.0005195265472148463+0.0011373695429075978j),(0.0004543389229395908+0.0007043626753351736j),(-0.00040021973745393705+0.00011645459760013006j),(0.00039501904217969385+0.0005125111051941814j),(-4.853406910876042e-05-0.00010486541049332577j),(1.9797277016782035e-05+0.00011989435121309526j),(-0.00013013764099006122-0.0004586752368543524j),(1.9797277016782035e-05+0.00011989435121309526j),(-1.9616058213410997e-05-0.000107255418281731j),0j,(8.242922836507227e-06-6.637692861442803e-05j),0j,0j,0j,0j
9.0,(0.08486157908822449-0.07964217550425136j),(0.07296789768170736-0.03603977776832341j),(0.06345575585876244-0.040358466764006236j),(0.08804648303995538-0.060469740546208024j),(0.06052980504959842-0.07290543257375248j),(0.06497305272273003-0.023229312683623663j),(0.03982186315670608-0.0316586619558881j),(0.0704864001631224-0.031269011606348346j),(0.028827959246191102-0.04198822767283154j),(0.04635258794798766-0.009977434872848752j),(0.015047070258256617-0.01460646988255999j),(0.04406085575464296-0.008652973312068999j),(0.006348472098042516-0.007916852057212069j),(0.026928018243531807-0.0014869702009120463j),(0.0007181643914633283-0.00019553598655030086j),(0.021279424796622336+0.0016033105199865269j),(-0.0016851727014803944+0.009043677749701736j),(0.01272898314760612+0.0017423968926271489j),(-0.0024286909456541833+0.0046945085387094234j),(0.007627840059582216+0.0031489571169710634j),(-0.001714195776951212+0.008137142685445822j),(0.00479435936631903+0.001890584521018348j),(-0.0011052935874577923+0.0028083012133211j),(0.0018531389444239896+0.0017411662263876592j),(-0.0006278785610790955+0.002216886774132373j),(0.0013553441649465012+0.001070928142092582j),(-0.00019351993947366712+0.0003719617209476716j),(0.00024129164602641263+0.0005280854658798095j),(-0.0002601025188505792-0.00040860394771258566j),(0.00022219234845216612+0.00039363365765072045j),(-3.5170383795876655e-05-0.0001845593284107799j),(3.919143968685058e-07+8.217787836197767e-05j),(-9.22264668665148e-05-0.0003165426838388226j),(3.919143968685058e-07+8.217787836197767e-05j),(-9.247253484767886e-06-5.157437100276979e-05j),0j,(1.748974618561486e-05-1.4803203684895328e-05j),0j,0j
9.5,(0.06726289012600217-0.04243897454067499j),(0.08540284335069459-0.0762058222508269j),(0.06870420137588923-0.0814182111806717j),(0.06982960452400848-0.03340389989160654j),(0.0490636621723083-0.039163609243975175j),(0.081007005558916-0.050666724100821466j),(0.039533194236194835-0.059545650379941556j),(0.0575863878608519-0.01891666467307932j),(0.024383003595631954-0.024205221609107944j),(0.06020694052182858-0.02234704683310835j),(0.013697014867056705-0.023952238163160236j),(0.03861023379912998-0.006574489299840478j),(0.005695109263446991-0.006724186523524398j),(0.035170890483914544-0.0039510412422150195j),(0.0007918344312157386+0.0027541780834554742j),(0.021234170862378932+0.00018595166096747504j),(-0.0016663503423672158+0.0033658965001617737j),(0.015864461381410445+0.0028284584539233853j),(-0.0016083692122282707+0.009976822066544268j),(0.009509357388306458+0.0021490807540295955j),(-0.0017350927771361427+0.004288175634098264j),(0.005259397763712034+0.002939556332378674j),(-0.0008076541011054435+0.005321498822607497j),(0.0033604646875633817+0.0017654697071825948j),(-0.0004789314491372308+0.0015842361687995361j),(0.0011411241613059806+0.0013985934779400149j),(-0.0003592104257348388+0.0006196786480205028j),(0.00086562778272178+0.0008870551223788175j),(-7.876459711780528e-05-3.8313029631901266e-05j),(0.00011255981250916415+0.0003860702470471648j),(-0.00020419366968794497-0.000501812383947454j),(0.00011417569348160111+0.00029424381059717887j),(-3.560695620033012e-05-0.0001598866576538824j),(-8.524865598090987e-06+5.491984639179689e-05j),(-5.273321603865346e-05-0.00017594237592414506j),(-8.524865598090987e-06+5.491984639179689e-05j),(-1.0027316120032448e-06-1.8985075282880047e-05j),0j,(1.849212431856316e-05+4.181481735464309e-06j)
