(3.0055367972080726e-06-1.6572408890342102e-06j),(2.0499832106099414e-06-9.687683887884732e-07j),(2.688044717599006e-05+1.7512707155402084e-06j),(1.9312422023894042e-05+3.051534450047697e-07j),(0.0001117719445109728+7.918302163807782e-06j),(9.233278589275015e-05+5.0502542700768065e-06j),(0.0004770009493332417+2.1429588217098986e-05j),(0.0003874711854064459+1.9586972556226917e-05j),(0.0014713791797692625+0.00012006545417269511j),(0.0012613309917819066+7.509953521181483e-05j),(0.003917026896192593+0.00015264037718985753j),(0.0034632370410950923+0.00013127591155419533j),(0.009048338678620897+0.00024009866962380349j),(0.008154140795521224+0.00016930403627304108j),(0.01788418827452616+0.0001718936503591232j),(0.016571365752131386+8.796003302836508e-05j),(0.031024797714358367-0.00014882074366081807j),(0.02934365799566408-0.00017165854398000133j),(0.0471418014276022-0.0005354042100165862j),(0.04544062636733364-0.0005092078958476772j),(0.06276590760331406-0.0007505072762019352j),(0.06158818695734598-0.0006544578653461381j),(0.07315510180153156-0.0005531794833056628j),(0.07294517577739222-0.0003801400679307847j),(0.07438822589521032+1.081363024642357e-05j),(0.07524505632352581+0.0002166614193292145j),(0.0656550024501593+0.0005610739559044467j),(0.06726959373000625+0.0007173111992640898j),(0.04996307388539298+0.0007139501332017659j),(0.0517921871636759+0.0007557099127856365j),(0.03251253481291183+0.00044395053821690364j),(0.034064457606191346+0.0003692972401881969j),(0.017901412940463667+5.211088575739346e-05j),(0.018939525990885765-8.27049187009844e-05j),(0.008225211070391753-0.00017604166173894404j),(0.008778700567088066-0.00030267367508265795j),(0.003095625944311638-0.0001929261844599175j),(0.003329161521039827-0.00027465681046204385j),(0.0009300227662596564-0.000113942110496601j),(0.0010064154885778768-0.00015212382118735232j),(0.00021476085060149732-4.396141939175591e-05j),(0.0002334508367288537-5.6874026760223484e-05j),(3.588637380629624e-05-1.1219156877010616e-05j),(3.9101986617495795e-05-1.4266669711466656e-05j),(3.882550421538141e-06-1.7600361808128935e-06j),(4.228021219297106e-06-2.2191211022522076e-06j),(2.0736907677515306e-07-1.3222950070310286e-07j),(2.250898959668349e-07-1.668776099444335e-07j)
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0008807935176366646-0.0002062256417456506j),(0.0005866822274054541-9.909958253862825e-05j),(0.003874338361989203+0.0008559374037313798j),(0.003069221591280479+0.0003566843695281977j),(0.011932484753784575-3.5764012846729504e-05j),(0.010625889977918416+0.0003196124524232301j),(0.03179872396846499+0.0005725021475706148j),(0.02791620630041108+0.000225163004712508j),(0.05855495440221861-0.00037490950057209j),(0.05554582543878417-0.0007785523053392559j),(0.08767332447432814-0.0017158190250654468j),(0.08614909200903162-0.0013745416888017886j),(0.10294548365602554-0.0010970131903673048j),(0.1039279451261719-0.00021867655398266216j),(0.09342598531805141+0.0007182192830552808j),(0.09638876128375537+0.0014689504258672925j),(0.06389413393141383+0.001285473532256392j),(0.06716685383789181+0.0012941541913009298j),(0.03177197073446452+0.00040506952748906147j),(0.03394848032300759-1.4781368514517641e-05j),(0.010814729660143293-0.00025776291225658844j),(0.011724627264235302-0.0006330920634092531j),(0.0023057012512229104-0.00023362855103517386j),(0.0025202330761010454-0.0003801178504541792j),(0.00024504006028496677-5.118229404774259e-05j),(0.00027393098450204654-7.760332191284089e-05j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0014674796883873305-0.0003053208073167165j),(0.0009783002643867778-0.00014598827148371433j),(0.005965284236660734+0.0013586244414962134j),(0.004787986627908291+0.0005223534678778505j),(0.017770511388201543-0.00023842467121840127j),(0.01595383654532744+0.0003369212660857108j),(0.04376136118188605+0.00046094205711622667j),(0.03905630223685662-0.00015183139363139476j),(0.07504505897126115-0.0010012675675603378j),(0.07217768887381416-0.001428437607357477j),(0.1016455569567651-0.0016613068894884015j),(0.10150395928834591-0.0011692025922124178j),(0.10537030333139297-0.00014570069750098114j),(0.10811009233869592+0.000967048386184057j),(0.08170521725485497+0.0012208629581551302j),(0.085489890993033+0.0018363333588090735j),(0.04557131130662904+0.0007437875464314242j),(0.04853550375319651+0.0005153697826809687j),(0.017184951480783868-0.0001248527141126839j),(0.01853817130766539-0.0005795226448646239j),(0.004001150102815215-0.00031126745152677083j),(0.0043638502196903396-0.0005319472698751107j),(0.0004620677180325914-8.178671310426523e-05j),(0.0005189679712111312-0.000128784623990021j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.002445786264914386-0.0004513016013547699j),(0.001642329928448177-0.00020699939006716002j),(0.009110980397341983+0.0020879994756865445j),(0.007539515549549832+0.0007093140273945587j),(0.026185019242818353-0.0006106929778800666j),(0.023830746855531788+0.00032597479519412944j),(0.05898729015346229-1.6588698109744788e-05j),(0.05397580357207163-0.0007348672352667108j),(0.09324768265670802-0.0016943611069099715j),(0.09105459482695036-0.001937727493579839j),(0.11209585337723975-0.0008920471971522635j),(0.1137535061697483-0.00022545701397507336j),(0.09972766829827087+0.0010476399883858224j),(0.10402803558651187+0.001928388263775451j),(0.06316745001656437+0.0011294638528823123j),(0.06733884853239676+0.001092186854875899j),(0.026768021937383864+0.00016732063885059183j),(0.02888087618280916-0.0003087585781130126j),(0.006842199897940624-0.0003955066696157826j),(0.007496320767084304-0.0007177134137568542j),(0.0008686527202884757-0.00012547824066200548j),(0.0009810299306837757-0.00021056964513871399j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0040881264463337565-0.000658288450017604j),(0.0027430513838384144-0.00024147491810174658j),(0.013907508360395148+0.0030388201762215255j),(0.011920191564092771+0.0010280025951056606j),(0.03809585211994031-0.0013125326803287661j),(0.0351046056200935+0.00044638522047276894j),(0.0778590067072742-0.0011974758826666402j),(0.07297924760113429-0.0014491117311338224j),(0.11132393664004872-0.0021823714348410566j),(0.11009381022789201-0.001744830092986284j),(0.11575652129736888+0.0006281614019023499j),(0.11934197502982051+0.001154173782504684j),(0.08441434027104738+0.0018226544165983968j),(0.08976787822643699+0.0014947840299448334j),(0.040738592671685135+0.0007273654449315997j),(0.04407881425242053+0.0002491179380090923j),(0.011570035668265482-0.00039037128407325616j),(0.012702380803323159-0.0009420765898911197j),(0.001636099401352877-0.00017110248004103263j),(0.001849671929584832-0.00033604524462271725j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.006831194557576078-0.000899742218868993j),(0.004516591961054089-0.0002296521817244525j),(0.021311215062165448+0.00429651752751462j),(0.018442616611426856+0.001710826809923708j),(0.05475825865595259-0.0025767043090022977j),(0.05076006387252599+0.0004802500005748524j),(0.10007892069522357-0.0031263561982058426j),(0.09556648462867533-0.0024317167992193075j),(0.12585231931884241-0.001494717151077159j),(0.12637812765911413-0.0004703183029254444j),(0.10872122088899124+0.002253539319893833j),(0.1133287830140216+0.0017005651761929658j),(0.0608537860739469+0.0016175087456588174j),(0.06532597750511465+0.0009404383697004296j),(0.0194914076072568+3.6334542841496697e-05j),(0.021178328870328934-0.0011310855092648772j),(0.003094028869007294-0.0002012952149130252j),(0.003485750693909523-0.000507143948462j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.01134781324696374-0.0011293575416610854j),(0.007356111365214631-0.0003759357512473567j),(0.032397906138517577+0.006383347131632954j),(0.02781165406870551+0.0021750624847770112j),(0.07770731100289562-0.004271128020352647j),(0.07236669788383664-0.001093839565226292j),(0.12327970694703526-0.004463538275852857j),(0.12103514363983238-0.0023956345313187566j),(0.13119635016103573+0.00043156463695610554j),(0.13414699705761196+0.0019401847504179172j),(0.08790354201208556+0.0020147102803286603j),(0.09343128148157827+0.0017608574607491717j),(0.032748527670134246+0.0007975355955345286j),(0.03477994575849037-0.0008391792114154111j),(0.005889689326753638-0.00025546210701405265j),(0.006579738455796571-0.0007084332978121381j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.01870396705945542-0.00150523022489555j),(0.01225279454330185-0.0006623512706670279j),(0.04795707783587036+0.009220877811181239j),(0.0427650063797126+5.569938234921065e-05j),(0.10730995650363578-0.0054200477189534375j),(0.10176199611644901-0.0032277747905670473j),(0.14255405150849879-0.003630378470188192j),(0.1465655752248879+0.0027182086320156687j),(0.11877852903003847-0.00034542366926122205j),(0.1266378247750016+0.0030907408746189686j),(0.05469719816922632+0.0006855241904902385j),(0.056469005040187474+0.00025671960936120926j),(0.011059278680548689-0.00029814841463428235j),(0.012469350039444481-0.0009638811404239612j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.030956826251749076-0.0021674824881471183j),(0.021844011278443872+4.269625306481514e-05j),(0.06887851711457922+0.00923403174457333j),(0.06977904431298018-0.005093730719146417j),(0.13929417019869947-0.003553081495494219j),(0.1413670737967419+0.0010731091377079094j),(0.14775378713255424-0.001984029563121246j),(0.15887931389870938+0.0028497211554129017j),(0.08653772632641535-0.00010342043922128208j),(0.09134619354065368+0.0008448385292754492j),(0.01981976242054394+9.793587407512524e-05j),(0.02352849576015388-0.0012619957708068462j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.05280093836489007-0.0021246189759581953j),(0.03679322714658399+0.0019788016318699917j),(0.1018650079402413+0.0021616580038143797j),(0.11168872365818015-0.00385548128976262j),(0.16897421132675952+0.0013767422592408413j),(0.18040615387232875+0.003251477314191776j),(0.1262285415282311-0.0023847862971379157j),(0.14145231471607583-0.0018454853887416198j),(0.03643152159356783+0.002588041735072291j),(0.04334804292243438-0.0011640447353986627j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.08959437898620602-0.00014550561157613152j),(0.04953594669782951+0.006648530589169642j),(0.16401947482490165-0.008342367483335472j),(0.16262459646236188+0.012313393809362246j),(0.18675804777574495-0.007684845399386407j),(0.1936672962750562-0.017589297468368355j),(0.07401414783456454+0.013360670391172539j),(0.0797791395963334+0.0014238651871228687j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.13913065515817857+0.006503493340131098j),(0.08328225205508416+0.01343965242787266j),(0.24336461466076414-0.009468985738725075j),(0.23256067243792977-0.04903403599437452j),(0.14786644830412768+0.023762135945000026j),(0.1537919992963863+0.014784324430770036j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.2224129743074781+0.01994404115375769j),(0.19557867673302004-0.03635769913160751j),(0.2803489379839376-0.02214190687613666j),(0.30165540993681167+0.03854699519410919j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.4179924259336615-0.016411751104969063j),(0.5820024414238413+0.016408583221258273j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
