(-0.000492244209563165+0.0002611789327413077j),(-0.00010118081598281931+0.00016217089088977534j),(-0.0002455892398542791+0.002151924350422985j),(0.00016842717271310526+0.00079068203679066j),(0.0019123177914766591+0.003407444771174877j),(0.0011167155912706213+0.0014432409287687745j),(0.0042888335946025405+0.004626836797180975j),(0.0028408652977155563+0.0021760570299498893j),(0.008625553720415716+0.006105824109142941j),(0.005794976128579559+0.0027211223603787744j),(0.014865994046210204+0.0062728908004288705j),(0.010075991364031976+0.0026046071279681696j),(0.021944737849081918+0.004814289927266118j),(0.015506249570691515+0.0015121257030602413j),(0.029170820054378883+0.0020305372826434696j),(0.021723920728174098-0.0006480533218658944j),(0.035894209051165575-0.001690791814654375j),(0.02823409299593043-0.003684378903457206j),(0.04141543983782962-0.0057067690680124485j),(0.03449268621200095-0.007109950299836572j),(0.045221047794159926-0.009164263044352429j),(0.04000793452695762-0.010229038296889181j),(0.04708303321511664-0.011289648246897103j),(0.044363034500563114-0.01232466739038304j),(0.046977304578543634-0.011622230108062301j),(0.04716968192642766-0.012791687537182923j),(0.04498787132279396-0.010102777150701887j),(0.04813886417548124-0.011239887093757254j),(0.04126200702485238-0.007061607810674405j),(0.047137159097629854-0.0077527686743048925j),(0.03602303747203635-0.0031200343920906315j),(0.04397361567113407-0.002959320244796234j),(0.029639564451828755+0.0009394240852549278j),(0.03847634401051684+0.002409411065136044j),(0.022635773933107006+0.00429264747671295j),(0.031134689249599824+0.007579196177666343j),(0.015602815562993854+0.006296282325876096j),(0.022901210401241552+0.011223526013946557j),(0.009204728415032386+0.006746418306841197j),(0.014271170007624194+0.01228010466616279j),(0.0041817919329645075+0.005827154943087376j),(0.006144522967332095+0.01121023372453603j),(0.0009824872769366034+0.003927649418812461j),(0.0005614241605463524+0.008558153083595256j),(-0.0005219320037643451+0.0017867932442024268j),(-0.0019040208045051567+0.004213195305862447j),(-0.0006803434892939825+0.00032774889845932587j),(-0.002290320553765178-0.000274182598016159j)
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.003912999826788354+0.010027130744062333j),(0.0028162447745234092+0.0022253871274845695j),(0.021306201443663318+0.009157078559010703j),(0.00936972194660708+0.0016014901983373527j),(0.0300853581271639+0.0060888118314607j),(0.018066806843500132-7.977504576430158e-05j),(0.04338014658812587+0.002386927921997822j),(0.029046385908571854-0.003808658291687644j),(0.056090656448718766-0.004651251660625564j),(0.04099887564829593-0.009117480179886894j),(0.06384978448894739-0.011970063678737862j),(0.05244335037622918-0.014229910319373373j),(0.06584240717178386-0.01579026836852691j),(0.06244977789218319-0.017594102069900086j),(0.06287837953777269-0.014441122135923344j),(0.06798755642421521-0.018062915934020155j),(0.05594095168677933-0.008623609280293102j),(0.06690318632737774-0.01133535431946931j),(0.045542773179863355-0.0008660370701925675j),(0.06366001913213622+0.0025156622876355344j),(0.031749834929185664+0.006249824762870895j),(0.05673863231260257+0.012511529916790259j),(0.01665001836898691+0.011259693746204714j),(0.03435126478585457+0.01844682584748311j),(0.004615451048287969+0.011323099143586285j),(-0.006722193313440984+0.03674321132468148j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.00672921406059411+0.01225257296644211j),(0.003933670859052349+0.002476298408079475j),(0.02674219586419262+0.008282526201598212j),(0.011584078031951273+0.0012230271220182514j),(0.03656814443265731+0.004786417732056477j),(0.021701108686320972-0.001279170055329775j),(0.0507257116736989-0.00014203166712127452j),(0.03417242741753839-0.005563219316255465j),(0.0629175866666395-0.008204988710843087j),(0.04787002672527575-0.01115713688867763j),(0.06842368371997021-0.015042340851059906j),(0.06070164266287169-0.016913370907534954j),(0.06759114992649012-0.016470575768932415j),(0.06885476967054317-0.02041403773832725j),(0.06201166082636726-0.012089679678587326j),(0.07055431861144754-0.015667536044454228j),(0.052290144123965265-0.004291118192090727j),(0.07100794819291432-0.0026501107919319937j),(0.03819511380726164+0.0042999789509541005j),(0.06658939966888032+0.007031264559590929j),(0.02189919900305893+0.011730091164080598j),(0.04311636445146748+0.016074361154458164j),(0.007884801227543328+0.013632109314587453j),(-0.002106488436300831+0.048066466211592676j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.010662852293473772+0.014728948643295344j),(0.005498246542667049+0.002711920421114032j),(0.032827966493932194+0.00679399564376604j),(0.01446970302510325+0.0007904720660595373j),(0.043799664292584056+0.0027173508625076134j),(0.026286568137923946-0.002309796851360501j),(0.058612002503906586-0.0033948297784097067j),(0.041420252622743896-0.007268093989477575j),(0.06936797363609605-0.012093477751689707j),(0.057213657834260224-0.014712056317289189j),(0.0719123313870508-0.017243195446162558j),(0.06835516683629032-0.021472257411953553j),(0.06809131673198532-0.015411997777527726j),(0.07322355170347143-0.019601534807487237j),(0.05934282635405318-0.00815532499451445j),(0.07785237048362685-0.008659729824142662j),(0.04544606435556186+0.0017187762411714266j),(0.0763966518737987-0.0004147322061694107j),(0.02838800076181886+0.011745975873706209j),(0.052546588338640864+0.011800709821012868j),(0.012468792743153217+0.016003725412644592j),(0.005778663717799909+0.0616987292054358j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.016161066958948627+0.017440977859897476j),(0.0077100620588274865+0.0028002284559032675j),(0.03958758040411094+0.004784766115610686j),(0.018448670843712066+0.00025963065950990205j),(0.05163784994280104+0.00014868945596990135j),(0.033182867635598766-0.003543234462478824j),(0.06685003326897493-0.007119033316323762j),(0.051387925632053216-0.011182584813545083j),(0.07519443730874323-0.01562246087741351j),(0.06605143901552638-0.020749431895285234j),(0.07421668565685302-0.017965626174815664j),(0.07465087022650294-0.022687154900304016j),(0.06666448491051709-0.01232597055735222j),(0.08371841100293045-0.015324174501849926j),(0.053477215867408-0.0014905786887131514j),(0.08552705728565493-0.009848813043843623j),(0.036315799194471615+0.011152857903399158j),(0.06219380763640022+0.00531189382452143j),(0.018740520697619816+0.018234834622448425j),(0.01824793143650942+0.0777025877296904j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.023871105719770427+0.020241360580095936j),(0.010850535295576703+0.0025372004584720787j),(0.04718581619240256+0.0025079404768861687j),(0.024341548650221336-0.0009460527811848269j),(0.0604797737920902-0.0024476366004374064j),(0.04275645348450022-0.007284362725100385j),(0.07548232814206136-0.011016718592788013j),(0.061070893377479715-0.018092670684520817j),(0.0801756710561256-0.018278807296557592j),(0.07431698676265792-0.024249462508826893j),(0.07455114607369309-0.016402850108209573j),(0.08804109316835958-0.02222778984338085j),(0.0623423434005131-0.005422028780237625j),(0.09316291708849472-0.021049128969698447j),(0.04584149343453208+0.009709739777089105j),(0.07139045148828586-0.0035376142816217464j),(0.027118810730920297+0.020002509478295072j),(0.036989084022416595+0.0959375072771641j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0347216473039606+0.02277877553807725j),(0.01535628592839751+0.0012859700029242199j),(0.056171470336161995+0.00027685643432651726j),(0.03214355138017395-0.004536101481517672j),(0.07109357480785525-0.005195191365564551j),(0.05230912427994284-0.014261227105480409j),(0.08424487112101407-0.014847752438336739j),(0.0709950125436059-0.02363581581824083j),(0.08349828986668133-0.01889191979339762j),(0.08996957508346122-0.02844014723344552j),(0.07262333408005628-0.010190125765434323j),(0.09834219319314907-0.03338546719872029j),(0.057163206898327525+0.006914321214623481j),(0.07918203754014419-0.014610152438946677j),(0.03804948833981653+0.020782587187803635j),(0.06410872146889424+0.1159400167230151j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.050078002349629676+0.024065018931485143j),(0.020911906097932195-0.002384797634590507j),(0.0674039204878591-0.001873510286547738j),(0.03986939250716374-0.011038714529128264j),(0.08353420696093077-0.008417227742358587j),(0.06250227441620015-0.021099094949016822j),(0.09273829689375046-0.017383935313302554j),(0.08792879279005404-0.032383797822035446j),(0.08553985007209772-0.014947805857401861j),(0.10004821975680299-0.04554377963466825j),(0.07091747613717188+0.0019682441612785505j),(0.08430315765870104-0.027413472381978096j),(0.05204161782471786+0.01971822112607633j),(0.1021592662603044+0.13672247244120203j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.07099005949074634+0.021680531802134403j),(0.02543221000040198-0.009005508419637855j),(0.08184217843586374-0.0039060408207649408j),(0.04773336464685654-0.018238781748500223j),(0.09830385277483158-0.01127703811458262j),(0.07868624173927782-0.03256646593808381j),(0.10198163808854029-0.017200702931017164j),(0.09696848116570937-0.054766560789705654j),(0.08861977786303847-0.005724823895025122j),(0.0853809611801108-0.04098723865476456j),(0.06983917643475518+0.015543018639946555j),(0.15420218399030128+0.15644036128484548j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.09642249924953629+0.012675364532092784j),(0.027822808812967923-0.016176052136988275j),(0.10175371577525022-0.005968348268677594j),(0.0591846137222963-0.029016177520700587j),(0.11780611989542984-0.01482675790508732j),(0.08676344084854153-0.05749219965473987j),(0.11218687602874845-0.01447457222294558j),(0.08132262486128786-0.053595996987053154j),(0.09267760159338247+0.006885548818343102j),(0.22404288726088156+0.17198270694400697j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.12424563566695225-0.0035003074544652556j),(0.031018688707448564-0.02294596408818488j),(0.12992024234143867-0.0120381010431277j),(0.06546619972649609-0.04957310155242286j),(0.1391032765910195-0.0227450794236686j),(0.07187248689722216-0.06120637265791022j),(0.12163640304208514-0.006861757150910461j),(0.3167222611046931+0.17886696657714254j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.15526474162147508-0.02644589099767495j),(0.034307798825664274-0.032874810476981944j),(0.16107846188922048-0.028735343354551038j),(0.0546317228263796-0.059084125945930696j),(0.15634337529335338-0.02486434689793497j),(0.43836093182872704+0.17200291022777653j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.18957288560485935-0.05932022298152415j),(0.032783270034194865-0.038273234126136264j),(0.182925825998466-0.049542657694798646j),(0.5947077514992225+0.14713537252067851j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.2223565491927305-0.09759233238651188j),(0.7776383181552856+0.09758916448247815j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
