(-0.00015372713970218907-7.501434846166372e-06j),(-6.043727219848827e-05+3.0178435374961084e-05j),(-0.0005048408469451897+0.000696440442808138j),(-0.00010354449853865201+0.00038089941802202517j),(0.00017225246541512256+0.0022499244121998684j),(0.0003510694498520001+0.0011182689467881448j),(0.0021888541109313197+0.004005642001710215j),(0.0017052860853659828+0.0020914436623842895j),(0.0060651043598241045+0.005723162133930007j),(0.004434769662595631+0.0029996226857171137j),(0.012096488426638132+0.006582609578687637j),(0.008847343542212708+0.0033149086402600586j),(0.019857125388003213+0.005856081768905262j),(0.01489696880590167+0.002526112415772269j),(0.028484573357767703+0.0033230685033213366j),(0.02219489963957421+0.00036866896931563297j),(0.036906200126085434-0.0006760775180617838j),(0.03007275923778347-0.0030098674887565546j),(0.044072182994108755-0.005279765966646775j),(0.03773127004080122-0.0069941979014679434j),(0.04917578342049169-0.009354169452649407j),(0.04438905350742367-0.0106312898266487j),(0.051737644141540404-0.011848173200511803j),(0.049372539343984334-0.012891320495720377j),(0.05158729482636562-0.012109556588110115j),(0.052143808848372185-0.01298739162226942j),(0.04880619025872935-0.010072536161911767j),(0.05228703147452487-0.01063200642671089j),(0.043686399028580875-0.006272299900617059j),(0.049564582694026624-0.006132542025568407j),(0.03671739798009237-0.00168674932197745j),(0.04406504576419028-0.0003961749848399414j),(0.02858938676937558+0.0025621833551508627j),(0.03621881670511284+0.005212947781663661j),(0.02018991056932949+0.005539217555368411j),(0.026788060552197308+0.009412103515585524j),(0.012495242043770798+0.006726051559295229j),(0.017114988774170205+0.011420307957281873j),(0.006318222365841963+0.006164903186457415j),(0.008760232600528075+0.010803261389483967j),(0.002137370523459865+0.004473179870799914j),(0.002540752135428762+0.007991769465427151j),(3.2934728988511e-05+0.0024863407559884885j),(-0.0009663752665672794+0.004637433482931229j),(-0.0005016844769228935+0.0008531657685952432j),(-0.0014826126166341746+0.0016997629687756069j),(-0.00032902569519712154+3.3903896577253145e-05j),(-0.0007759626996520045-0.00037620871158381824j)
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.00047779147969131676+0.006119236145851902j),(0.0015583503924033926+0.0021075247359606825j),(0.014655287695311506+0.010768294419260978j),(0.008310294492215962+0.0026615433346535494j),(0.02829512144223169+0.00861513871436697j),(0.018403667404092394+0.0010312774495115952j),(0.044271483864552055+0.0035263957410236876j),(0.031381071440396695-0.0035073409903481328j),(0.058978491248888876-0.00449311751142761j),(0.04531347110085984-0.00993753129733341j),(0.06894772067443991-0.012106411868515568j),(0.058200763318579485-0.015735723403135164j),(0.07230998230126426-0.016079664396763036j),(0.06831325630116752-0.017944444857589115j),(0.06856674987030476-0.014411358976516605j),(0.07377781043920738-0.015415292207521063j),(0.05869408880926965-0.007535073106303694j),(0.07083130657580472-0.007823515043248552j),(0.04466559970967649+0.0013574888048349398j),(0.05964039107557896+0.006056855862967918j),(0.028369438632711262+0.007882369428407454j),(0.04593343609821416+0.018151213905944756j),(0.012234483206457841+0.010121020551296867j),(0.023922287275481402+0.017918459666965574j),(0.0016083097655041532+0.008216084471037692j),(-0.007705635618462636+0.020421505854281468j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0020361177497984387+0.008226789166603536j),(0.002452679568021587+0.0024794250513803765j),(0.020512871561058705+0.010950575286343208j),(0.010550469026239412+0.0022488563989130363j),(0.036148366865800495+0.00739784933780022j),(0.022462967318843848-0.0004319358345837408j),(0.05318978659889295+0.000451496344533067j),(0.03701306327251169-0.0059533645123814784j),(0.06727936551132085-0.008476684398839305j),(0.05226540567785575-0.012358787496621618j),(0.0748836801816435-0.015482784057978566j),(0.06627897281105453-0.017032383718598044j),(0.07434487828524845-0.016991208884390357j),(0.07603802249710656-0.01810135240075209j),(0.06630707106518433-0.011724891444700182j),(0.07673574898554958-0.013020657193724675j),(0.05278997452583748-0.002337648970837894j),(0.0688234379757395+0.0011764182472025957j),(0.03548273494280989+0.006238139036121352j),(0.05730143991215358+0.014958234613669127j),(0.017001585464528804+0.011075339330317412j),(0.032365411744795194+0.017467997462364507j),(0.0037912940683018335+0.010571321970567864j),(-0.0060971326332693206+0.028637776700168937j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.00448876907777507+0.010706255966978318j),(0.0036451312588225496+0.002984591781890427j),(0.027418149142786872+0.010215056743596358j),(0.013403170801412533+0.0021532391921352265j),(0.04520816917547762+0.004813136014944192j),(0.027527843613371124-0.0016144725309910344j),(0.06267532697820315-0.0038866825211013927j),(0.044351893202214485-0.00770650853657316j),(0.07519350842195556-0.013128271402893797j),(0.062083751735900576-0.014242125669691115j),(0.07907961645551764-0.01827245319683932j),(0.07652475232425456-0.01928455547542529j),(0.07385879506687186-0.015807549530423987j),(0.0815454509894801-0.017918387728436954j),(0.0614977883495264-0.006826830184807346j),(0.07794436215103541-0.00483657654913108j),(0.04366929910399464+0.003675606865727866j),(0.06965638675448488+0.00952077263449246j),(0.02312795448692416+0.011675582586267805j),(0.042205033728599246+0.01528888456633666j),(0.007161814237735492+0.013254278473751232j),(-0.00230554469542226+0.0392093068280423j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.00813386618897593+0.013690909925790064j),(0.005490394405474441+0.003754202137713029j),(0.03533082720645677+0.008614443553157254j),(0.017790634234204877+0.002406228370613164j),(0.0549454751157603+0.0007932048256609261j),(0.035000020487574196-0.0024659310594000406j),(0.07202781173500265-0.009126374401909125j),(0.055524055630678505-0.009874044412594169j),(0.08175406053237924-0.017495674822974594j),(0.07469250217777289-0.01855457320819553j),(0.08091264664692706-0.019001951042097467j),(0.08476573800023342-0.021911460966105363j),(0.07063903278843672-0.01181410356599466j),(0.08647801171470955-0.011799075993372616j),(0.052964470826386584+0.00013597951027711187j),(0.08241024021208458+0.0014880672312109343j),(0.030915622545701012+0.011708287424837413j),(0.05315950340636612+0.01083172045032732j),(0.012173216166024643+0.01613258768929481j),(0.004856701319773164+0.05246380204200502j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.01362422021586287+0.017445208866644645j),(0.008684858393702028+0.004687838424940281j),(0.04443653378320666+0.006333437168531426j),(0.025037645237042973+0.0022958376127990383j),(0.06490831242487863-0.003967486497122518j),(0.04671629569282031-0.004852318584722097j),(0.08083658821419418-0.014147269229829989j),(0.06981930240461744-0.01596256181030151j),(0.08662821721903073-0.020087210943917203j),(0.08563051622059643-0.024313351593001j),(0.08004850187257892-0.016599669754824666j),(0.09367057279888788-0.019293152923788404j),(0.06344689925671683-0.004319667606180814j),(0.09464556050391588-0.009270142979046202j),(0.040729329718295626+0.010894166867211083j),(0.06467595655940585+0.00360056090486299j),(0.019398742450222686+0.018939352557946394j),(0.017030533928537657+0.06859659012227516j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.02230904184319547+0.02213320261658091j),(0.014246545983466882+0.004990809068878162j),(0.055227801658563135+0.0036394054892784347j),(0.03606487794739193-0.0005171461610670933j),(0.07556078894583172-0.008301583347369355j),(0.06122910173543107-0.012307171431992005j),(0.08942798900282214-0.017802194841643543j),(0.08281716567103693-0.02463978782085847j),(0.08944230946884016-0.01976042876515119j),(0.09834202281923107-0.026496875883420184j),(0.07537756690502863-0.009395540822029189j),(0.10505999454403563-0.022443720450351732j),(0.0530326356864969+0.00885391035777575j),(0.07586302920604501-0.006707308481223593j),(0.02954163343271088+0.02120208882364189j),(0.036430134253718896+0.08753608445010025j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.036555587303546855+0.027124248491331153j),(0.02261702248149726+0.0024097235326240403j),(0.06867636418959097+0.0007136611411343446j),(0.0486817995163391-0.008888243960850922j),(0.08810951843280722-0.011719916700819094j),(0.07446220908851671-0.02313121617720091j),(0.09778383113792302-0.019310556160101234j),(0.09849546657853037-0.032087715410100394j),(0.08928941966823892-0.014169148561862861j),(0.11193979257567481-0.036911441078051055j),(0.06849791492354368+0.005072254973582324j),(0.08545538507788444-0.019991397152667345j),(0.04343942930873412+0.02213832697289735j),(0.06597293271190365+0.10873818888287881j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.05917269262342994+0.029534288242163458j),(0.031320500702560455-0.005559604641620067j),(0.08603894222874003-0.002614130244118929j),(0.059274769590597326-0.020754178438710816j),(0.10329807111529077-0.014096821190934264j),(0.0906553387353741-0.03458546398313164j),(0.10562446838344114-0.01681242150751306j),(0.11298625094812714-0.05006200514951179j),(0.08824302916457569-0.001018333694644053j),(0.09187172346893248-0.03542962839187291j),(0.06208048723653593+0.02051127983626251j),(0.10941390551541083+0.1308762998360285j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0904933889231031+0.023975058195822168j),(0.03634569667214118-0.016840100850347827j),(0.1089693091514213-0.006527917642743047j),(0.0714392287330776-0.03333630763352075j),(0.12251465507150638-0.015345727337817347j),(0.104743166202805-0.05767869277219674j),(0.11386744567452375-0.009195195678353058j),(0.09343383473106208-0.05095509622572575j),(0.08667960801096479+0.014508658307267394j),(0.1714963898492618+0.1513869664752079j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.12683941744080773+0.007135378914996359j),(0.04014104930348816-0.02676784622181698j),(0.1402681339927504-0.013096176449613915j),(0.08251729831451038-0.054183952623815604j),(0.1447400297897572-0.018839646570971577j),(0.08857232493276741-0.062037663302256074j),(0.11872743316140154+0.0018899671535700553j),(0.25817854663526457+0.1658943600162269j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.1669809366640166-0.01963204773873378j),(0.04596101166441621-0.03853406431853128j),(0.17682402036830314-0.028744982450545943j),(0.07370610611661126-0.06206466060879218j),(0.1596045715881312-0.018808986980629605j),(0.3769092810784669+0.1677820856099762j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.21294235388552527-0.058165619348982976j),(0.04905233443705487-0.04265336054666198j),(0.20147620358467297-0.04815166712011526j),(0.5365182765218162+0.14896984529416596j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.261995114914123-0.1008176542412224j),(0.7379997524348647+0.10081448633801016j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
