(-2.3897351362557033e-06+5.062622181905654e-06j),(-7.206639293367062e-07+3.471129405155491e-06j),(2.6749997888260936e-05+2.8116988028713284e-05j),(1.7533953878003304e-05+1.7717964626301976e-05j),(9.603246791350587e-05+3.984578063603727e-05j),(8.114564337977819e-05+4.084365341360043e-05j),(0.0003772165479924856+0.0001354091922896466j),(0.00032566936059856896+9.816892272026516e-05j),(0.0011492321368073318+0.0001701441748372879j),(0.0010283518936410382+0.00015479937895722083j),(0.003018754739436288+0.0001868492465980397j),(0.002796241759957737+0.00015799542077376682j),(0.006950919679575935-1.3479466003131109e-05j),(0.0066423551860372585-9.143485393890474e-06j),(0.014275615246836603-0.0005244688141336851j),(0.01397868749396703-0.0004548389959731163j),(0.026150586846831792-0.0012925568015159223j),(0.02614950222938755-0.0011009092806396016j),(0.04267654730252673-0.0019143316499370725j),(0.04339060057584377-0.001512368743635807j),(0.06166815297078655-0.0016748123274307814j),(0.06344104299878314-0.0009782841054132982j),(0.07807503561380093-7.227924495276597e-05j),(0.08079888324258175+0.0008987010865136361j),(0.08524384038757624+0.002408373214687251j),(0.08807782520712332+0.0033718387905829943j),(0.07838208308942722+0.004105108982182195j),(0.07997768370562794+0.004487291385598691j),(0.05844647859427851+0.0033539106961100683j),(0.057801506529997985+0.002638114401252816j),(0.03297056374843669+0.00037807467794056816j),(0.030327631327578906-0.001267730941560357j),(0.011837802061183948-0.0023526897295962856j),(0.008688106461786768-0.00387806623635655j),(0.0007703307336926644-0.0025719795455072573j),(-0.0012623037890936854-0.00297969210412708j),(-0.001637634426033451-0.0009087043815222846j),(-0.0021270835797780733-0.0004607683768052809j),(-0.0006598168307605255+0.0002659690060108572j),(-0.00041688614198976396+0.0005874959205126476j),(5.313050704255774e-05+0.00023427702687278657j),(0.00022106949143862748+0.00021744939003196998j),(7.520191917428545e-05-1.2963565216160048e-05j),(5.0799197193576856e-05-5.594234780054415e-05j),(2.501007626655109e-06-2.0915031197815807e-05j),(-2.0473088269751167e-05-2.4512165929174526e-05j),(-3.6169068594904724e-06+3.6049576849503003e-06j),(1.7994277370792628e-06+5.702227459148978e-06j)
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.000614797093840924+0.0009693022836213478j),(0.0005219450132152686+0.0005049455237372489j),(0.004248657181177709+1.4021861060752695e-05j),(0.0030371673334794944+0.00039628811294800193j),(0.010233479973484465+0.0006519320544144851j),(0.009838172115359178+0.0003248657492420261j),(0.02598943711863975-0.0012962399106538477j),(0.025046711273583856-0.000866498976049936j),(0.05204823332802701-0.0029011070818499222j),(0.052283394425641096-0.0024367616560345305j),(0.08457789773833813-0.003206077083542369j),(0.08818976979419134-0.0019732549755345913j),(0.11044859847028865+0.00022464053770224155j),(0.11729734970494793+0.002522916321996412j),(0.11041707909444774+0.005526271154218078j),(0.11664297369174237+0.007529018396300148j),(0.07657799557702531+0.005586797396320524j),(0.07558710997467377+0.0040023692035636455j),(0.02804105765495212-0.001187809706613914j),(0.019743368839071063-0.00514896020232715j),(-0.0004928781797212989-0.004730562807761417j),(-0.006476313981184012-0.005007371003663047j),(-0.002238831803387183-0.0009500719772633434j),(-0.0031148483295785692+0.00015993346674765164j),(2.4051984925551142e-05+0.0008094443625236589j),(0.000863247211492642+0.00043428518074141133j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0011367390624714645+0.0014742563803778572j),(0.0009190394628660637+0.0007373472043459831j),(0.006366806853308192-0.0003270255993476288j),(0.004699585854982741+0.00043988907904776253j),(0.015372068604938194+0.000536967929298286j),(0.014796481647172137+4.782701563096557e-05j),(0.036239759525993065-0.002210413473724481j),(0.0357801664903838-0.001565311141007272j),(0.06855165916956062-0.003772219946963949j),(0.07003067192030547-0.002901053165146382j),(0.10273735280841559-0.002277707026374952j),(0.10840353334469331-0.0005108630438699553j),(0.1193429739221326+0.0032592046114877267j),(0.1274009747920802+0.005946404663710408j),(0.09965983339225434+0.0071097270264883685j),(0.10286496390531395+0.007420967365240958j),(0.049300949697180185+0.0021688580883445214j),(0.04163179486031239-0.001678201854428346j),(0.006153175774094701-0.004658290624009625j),(-0.003978026058106872-0.007481941544915201j),(-0.0029910863422982826-0.0022561047137415616j),(-0.004767594810497147-0.0019018621594105896j),(-0.0005861081423670526+0.0011116257569041429j),(0.0008872923898050582+0.0012437669297033222j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0020557748615010435+0.0022116178902518635j),(0.001597880221658216+0.0010546339740077147j),(0.009468545148853256-0.0009417567814011751j),(0.007259955072309321+0.0004594610391808814j),(0.022908603706524172+0.00012542721222716415j),(0.02208646633823028-0.000515892170737757j),(0.049933589716108076-0.0032596153698006567j),(0.05055770696332527-0.0024508925579354653j),(0.08802489659371081-0.004221921410527686j),(0.09169895246288555-0.002698431822666855j),(0.11944238782830027-8.942008355864802e-05j),(0.12759888603514077+0.0026069991005395806j),(0.11914574593665798+0.006599484832800094j),(0.1265764489664144+0.008658643821452901j),(0.07594920894566586+0.005872848608481305j),(0.07166096609428345+0.0030895206573116223j),(0.019272532540792794-0.002598387688869361j),(0.005281617044198154-0.008482976958949813j),(-0.0031062069820442404-0.0036572923716631555j),(-0.006044433818455113-0.005199777301388358j),(-0.0017142297711154476+0.0010416749439860968j),(0.0003011468010278818+0.0023554386900452315j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.003653651252135448+0.003266275501230344j),(0.0027462073150702174+0.0014725938534602104j),(0.013982340667820307-0.00195487490441171j),(0.011202132822800356+0.0004379596958305992j),(0.03379295925452512-0.0008282787981578414j),(0.03267313928056662-0.0014611128135211644j),(0.06781833125027911-0.004249083441676329j),(0.07049839808881246-0.0033363177147165152j),(0.10922581010530387-0.0035834232401495444j),(0.11672301095927427-0.0011181399968860583j),(0.13031884788716985+0.0036365858314606923j),(0.14126697008386035+0.006876352015610044j),(0.10445607138100557+0.008382679252025394j),(0.10689697981843212+0.007479274489817771j),(0.0407141339278233+0.0014837827168299668j),(0.0257232605087589-0.0067765033883707745j),(-0.0011685642776204834-0.004304728267597141j),(-0.005783254173841838-0.008950315010337464j),(-0.0033673000617572622+9.311338569310801e-05j),(-0.0014131703849580555+0.0033971469633037672j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.006399855860612507+0.0047389080006683465j),(0.004659999052665097+0.0019966176425005896j),(0.020524542471525-0.0035135197451798992j),(0.01728745752116286+0.00037233580936773224j),(0.04917868780240857-0.0026614995930768865j),(0.04797184760972684-0.0027932880619406077j),(0.09034510195467647-0.004791659125667068j),(0.096633036881609-0.004013818511781694j),(0.12931625324471072-0.0006869573869573522j),(0.14261683468670716+0.0022736940122354108j),(0.12896975130716443+0.008240196123678736j),(0.1407395196539837+0.009377463755348679j),(0.07061456953380099+0.006485361744669916j),(0.0607267444203228-0.0023171351208735647j),(0.005711558476563837-0.0029751965252068097j),(-0.0017338452135579941-0.010951569919009184j),(-0.0052177855808865645-0.0023035057919463206j),(-0.004780621186210228+0.0034902361469621255j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.011059856359115395+0.006735588221415024j),(0.007788671994269124+0.0025962525570491935j),(0.030023422736461497-0.005737428182200949j),(0.0268229232939136+0.000247557808641493j),(0.0703277019153427-0.005701990757138897j),(0.06978597035783643-0.004641723197143964j),(0.11719243997047553-0.004163107399226852j),(0.12824883684296917-0.00344747879595501j),(0.14368483799020848+0.00503513341747692j),(0.16334918049813107+0.007392419921933876j),(0.10636106199147644+0.010226229738113027j),(0.10904788694142717+0.0031097068490649133j),(0.0222946584018863+0.001059206744218044j),(0.010272615685944253-0.007579347270614643j),(-0.0062945655131789405-0.006347196538476121j),(-0.00999861131783304+0.001186578161634296j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.01884854064660062+0.009331941574010415j),(0.01281040574250973+0.003094225295655024j),(0.044036071878500116-0.008584094652276518j),(0.041831879966832866-0.00020474413245992126j),(0.09828194174076363-0.01013844778119457j),(0.099219482267229-0.005646924352394147j),(0.1462220768601588-0.001962797711995909j),(0.1647212855356818+0.0029215235066919164j),(0.14231340941764584+0.009507101709021049j),(0.16133760611107303+0.007040849506686424j),(0.05407268369667946+0.006296072636845792j),(0.037058218239701665+0.004462240179568472j),(-0.004490362146396508-0.010981735645638823j),(-0.016293377749850162-0.005160977687698207j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.031658983534075015+0.01242632851042771j),(0.020732625462984416+0.002847166744960166j),(0.06513549604162687-0.01163601323275381j),(0.0650248273086525-0.0006561553356842715j),(0.13247676092059688-0.015128488527916473j),(0.142204155755028+0.0008408004706083883j),(0.16873950411886357+0.00011913137139166544j),(0.20089584127253984+0.008632552398583147j),(0.10275634448771284+0.007916658343017888j),(0.08682694985561672+0.023447077678439114j),(0.004304939525865215-0.012687666106230917j),(-0.020783801027616004-0.016143310812340952j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.05239169400856381+0.015273753633554085j),(0.03330217304899476+0.00043778435254351693j),(0.09685830405496586-0.01272991626645181j),(0.10491561014114563+0.0009559848731060458j),(0.16976556036741816-0.015242631618053015j),(0.2107208305657861+0.006758847242544823j),(0.15891548385013973+0.001994161875408011j),(0.16185467669886375+0.03638987462214181j),(0.0277301070820389-0.005024927417956434j),(-0.01647853258619799-0.028831675413440484j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.08569403302079227+0.015711961328604612j),(0.055434760845980084-0.006706832359307703j),(0.14633925872613016-0.00506686472673477j),(0.1788789049030572-0.006685662483205947j),(0.2016083506695663-0.0017974122881034421j),(0.2418193958365901+0.020564701102464347j),(0.07895229945789857+0.017819864311351012j),(0.011252710718097324-0.03385691089932104j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.1411291210787198+0.009005819122099032j),(0.09773254324358017-0.02475446427541708j),(0.2274854696268619+0.013001975496093082j),(0.2670883221983126-0.028497718630008856j),(0.1763393266203458+0.04726426976893404j),(0.09020765045918562-0.016035947807934166j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.23886222614608885-0.01574771054136031j),(0.16701892522955494-0.05140406152406409j),(0.32755201733177697+0.03590768222503367j),(0.2665522707636431+0.031232245889879363j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.4058816452446674-0.06715050072049128j),(0.5941132221128618+0.0671473328219115j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
