,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0
0.0,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0.5,(0.6801222376507158+0.13807363999148414j),(0.3198771531830311-0.13807239215589162j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
1.0,(0.047509154403821016-0.003130349449610192j),(0.6801222376507158+0.13807363999148414j),(0.3198771531830311-0.13807239215589162j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
1.5,(0.07724538528615493+0.005331976717496129j),(0.06528202420375544-0.014723190741230545j),(0.23918866899508714-0.03427396348306164j),(0.08068835457918538-0.10379856151533531j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2.0,(0.0684735661554558-0.016284081319299468j),(0.08213858556620615+0.003257753141699144j),(0.05821186340140718-0.036852581775754206j),(0.08945348164983044-0.06880194000431458j),(-0.008765165893797203-0.034995545151209964j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2.5,(0.09086933109556286-0.00029189906458272803j),(0.06543882162554333-0.041107383563340955j),(0.06418642964659807-0.004083959115095768j),(0.026793879962691513-0.027789704383528097j),(0.0035103575635380994-0.01933322488854969j),(-0.012275753337820893-0.015662368795468375j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3.0,(0.020927659909433585-0.03721445134310554j),(0.07584706885021247-0.008564772142383797j),(0.03394315725064423-0.03438596615473075j),(0.03712212013075001-0.016778648176105516j),(0.005821283911958647-0.02217427975106402j),(-0.005937562320671409-0.015317192053524683j),(-0.006338072432351639-0.00034508497388059537j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3.5,0j,(0.015782713770171118-0.03268759814942951j),(0.04754744236840399-0.021964917351097415j),(0.010204647187905546-0.029572892529249654j),(0.008162877300186198-0.013233742732490146j),(-0.0019656490274048317-0.008779943219014968j),(-0.003621740713570327-0.0003727602675609494j),(-0.0027163800103289144+2.7659157053407714e-05j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
4.0,0j,0j,(0.006862638482706915-0.025097037341405556j),(0.015305136351380649-0.019010271113444468j),(-8.895038983543679e-05-0.014885969101233808j),(0.0010861601371160603-0.00962875691604118j),(-0.004196680414306709-0.0023637598249484737j),(-0.0025496744860731683-0.0009069338263366122j),(-0.00016666604641061102+0.00093458327803906j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
4.5,0j,0j,0j,(0.0008213287499321516-0.015985412584423805j),(0.004354448744517706-0.014287338024417593j),(-0.004866112050739844-0.005540063561213893j),(-0.002384597064864229-0.001747397701527728j),(-0.002022350729982898-0.0003153140920083244j),(-1.6264506027202446e-06+0.0006399891081380197j),(-0.00016505082556136187+0.00029460026989671317j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
