,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0
0.0,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0.5,(0.26704067553541255-0.15738070499826867j),(0.7329587152959893+0.1573819528396501j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
1.0,(0.04912192692898396-0.02124708732324266j),(0.26704067553541255-0.15738070499826867j),(0.7329587152959893+0.1573819528396501j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
1.5,(0.0661098914022067-0.03568670466256426j),(0.08125573631107279-0.02805432809110289j),(0.1746397118513804-0.07340882771077968j),(0.5583193871570482+0.23079052147091728j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2.0,(0.0816740123779544-0.02957647803393888j),(0.08379072860278419-0.039193775271499816j),(0.11408241842051636-0.023929022128577067j),(0.17890505004543805-0.03331681970575471j),(0.37941500622438296+0.2641080959298624j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2.5,(0.08473428988818979-0.04291576580680909j),(0.11523024275378665-0.027817778576933773j),(0.07079533770345661-0.027547883160510437j),(0.13024560094216853-0.00577432547510647j),(0.12530767008162094+0.008962168943180821j),(0.25410783810308835+0.2551462453092098j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3.0,(0.1128544559780576-0.021191669496149725j),(0.07497837973364241-0.03446459645659236j),(0.13504143211594838-0.013191336510330684j),(0.07089689161933124-0.019867810747581153j),(0.13400978325834495+0.015615258127309673j),(0.10273720189449946+0.021327319085278604j),(0.15137111512621973+0.23381949412186795j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3.5,0j,(0.1343100549998-0.011533681803059281j),(0.0775728415094438-0.028100527931482686j),(0.14334129729048753+0.006260624045667684j),(0.06179170850541509-0.0077235422318715306j),(0.12534951080862222+0.03951855208657785j),(0.07064449977992457+0.035287255488231646j),(0.08072687109380543+0.19853264241812155j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
4.0,0j,0j,(0.14476377096301601+0.0032837740348371073j),(0.0715892401396-0.016406789573822345j),(0.14030146148065728+0.02966831729617605j),(0.057062950410049613-1.8861704374133464e-05j),(0.107604584130084+0.057800389268004196j),(0.05020843293229601+0.03525916856064856j),(0.030518628736839158+0.1632738814611392j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
4.5,0j,0j,0j,(0.14656711449053952+0.02254992249235845j),(0.06855976377046107-0.007480687042332963j),(0.12757848911644812+0.049985078815923074j),(0.04796379671891761+0.008887001447988568j),(0.08603770299231485+0.07004378307910143j),(0.03184099948820862+0.03568661929477296j),(-0.001322307703914189+0.12758757605807391j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
