,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0
0.0,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0.5,(0.1449003325365514-0.14052916810903293j),(0.8550990582948685+0.1405304159505062j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
1.0,(0.014997699139451717-0.018892913867467172j),(0.1449003325365514-0.14052916810903293j),(0.8550990582948685+0.1405304159505062j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
1.5,(0.017965916566283338-0.025907017274260122j),(0.02702714873397701-0.030771477661361325j),(0.11558615376688491-0.09784174814813981j),(0.739512947573934+0.23837189119013855j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2.0,(0.02652573273551982-0.03051281857374091j),(0.026086400869680598-0.03213652744661459j),(0.044208865205067935-0.041865448220817j),(0.1366951532532899-0.08098213741354907j),(0.6028181630113314+0.31935421600641195j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2.5,(0.02498350074668086-0.03156113190520372j),(0.04280468251906523-0.0411475562480687j),(0.023569444105897987-0.023756328631267417j),(0.06131802503607016-0.04427777908977157j),(0.12026544908047761-0.04020012111712489j),(0.48255287854529344+0.35955410199761195j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3.0,(0.06517142503136222-0.04763942681357989j),(0.022073392598415516-0.024285997300158194j),(0.0589181258395788-0.04437995846465005j),(0.02560609631707327-0.02545721656989571j),(0.07636677449230313-0.04179696010690563j),(0.11519879524369792-0.027213362739964976j),(0.36735446418480633+0.3867674387791838j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3.5,0j,(0.08596296793103948-0.05078459433123993j),(0.02408623906470294-0.02649254611470073j),(0.07332322898138016-0.04282090734959388j),(0.02609933474319582-0.018947767425336555j),(0.08965935883102755-0.03306161018034592j),(0.10329583006454202-0.0003707534371881725j),(0.26405881102291007+0.38713812663154057j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
4.0,0j,0j,(0.10281990733874961-0.046814273382836044j),(0.024658486666702943-0.02113548515251631j),(0.08622432119563789-0.03591397640170987j),(0.026265734818039767-0.018666882281607677j),(0.09807625148419198-0.020058073537421j),(0.08927418836187698+0.010044870533252266j),(0.174784903337497+0.37709323866117456j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
4.5,0j,0j,0j,(0.11737054280160042-0.03741364206086759j),(0.025334345964952983-0.021167213151150763j),(0.09511038413166588-0.02479493907031972j),(0.027680260553879253-0.013442389666636757j),(0.10265954523551209-0.005264294417944251j),(0.07771373916826807+0.024318859219519352j),(0.09707133171488755+0.3527744141891672j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
5.0,0j,0j,0j,0j,(0.12687396925938313-0.023027271889621052j),(0.026982958038145127-0.016695196910714524j),(0.10061546916881856-0.011985650338787457j),(0.02677248677580985-0.011130499420959176j),(0.10276770186623055+0.011122857598314988j),(0.06275648793626486+0.03098057932524437j),(0.03431503161397456+0.32179386539215044j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
5.5,0j,0j,0j,0j,0j,(0.13214331904731733-0.0070777377241659735j),(0.02682752859490939-0.014597786028351557j),(0.10245630512519784+0.0026918770044731086j),(0.027507040899619542-0.0069277050719240025j),(0.0986902651882767+0.02665753293104231j),(0.05139206029183699+0.03665294861064468j),(-0.01707689492330642+0.28514099462965026j),0j,0j,0j,0j,0j,0j,0j,0j,0j
6.0,0j,0j,0j,0j,0j,0j,(0.13309359635308649+0.010736880571670158j),(0.027923842973881424-0.010714496407349818j),(0.10049082654304721+0.0170509429997813j),(0.025964796115423155-0.003599535730919419j),(0.09137669339210462+0.041197914264692125j),(0.03860163095509245+0.039209192115004225j),(-0.05567840970645777+0.24593186905984837j),0j,0j,0j,0j,0j,0j,0j,0j
6.5,0j,0j,0j,0j,0j,0j,0j,(0.12964807707211315+0.028008144573473035j),(0.02717871273349069-0.007465042463894738j),(0.09567349260555302+0.030971373379807973j),(0.025403420914470155-0.00020805743453636684j),(0.0809569390764148+0.053484840205879056j),(0.028552356653716932+0.03963988662349571j),(-0.08423067757995503+0.20629207238445232j),0j,0j,0j,0j,0j,0j,0j
7.0,0j,0j,0j,0j,0j,0j,0j,0j,(0.12287381167837327+0.044542926086188324j),(0.02707988881425437-0.004006587527578643j),(0.08785467723617178+0.04340280955344069j),(0.02336354537740432+0.0030847798415828452j),(0.06873357067507786+0.06324092686659456j),(0.018801251657507324+0.038830623371684414j),(-0.10303186623945121+0.16746153000379105j),0j,0j,0j,0j,0j,0j
7.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.1127755323420402+0.05925464707112137j),(0.025741743173381054-0.0005903369117107602j),(0.07813931100019043+0.053954450129071546j),(0.021625603720885796+0.00570790248629279j),(0.055034964589281754+0.0701949712767547j),(0.010959885695882784+0.036359627320225504j),(-0.11399170582846671+0.13110198850253074j),0j,0j,0j,0j,0j
8.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.10047538402782254+0.07172268908828952j),(0.02448105039309835+0.002394993804794359j),(0.06670941282276847+0.06237689103167196j),(0.019181995603469993+0.008283998247417093j),(0.04091022999597684+0.07418526762429255j),(0.004219061656678422+0.03341089898991128j),(-0.11821074281088284+0.09769116762885166j),0j,0j,0j,0j
8.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.08631443849692225+0.08166125439991466j),(0.022557209047335363+0.005319057786744044j),(0.05440865925713666+0.06836533744334193j),(0.016709739854618533+0.010071026724227546j),(0.02682737556739928+0.07547029317436922j),(-0.0011276723555250852+0.029602459295450974j),(-0.11708305760247274+0.06808878140592885j),0j,0j,0j
9.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.07114673980862658+0.08880563079868953j),(0.02046443834255537+0.007661138986551448j),(0.04164299956391009+0.0720530234957032j),(0.014044674850575686+0.011643495183721824j),(0.013450046716632441+0.07414000814062495j),(-0.005244857180728345+0.0257017300303393j),(-0.1118382017348342+0.04238711650485312j),0j,0j
9.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0554817248193315+0.09324428789336829j),(0.018092142546217986+0.009762638205507962j),(0.028967862745867184+0.07338618182529914j),(0.011322932638585147+0.012545306478510161j),(0.0012000037212480425+0.07065344746281195j),(-0.008301328806966539+0.021587948197170397j),(-0.1035368821543306+0.02079922470143189j),0j
10.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.03991177611446975+0.09498700379826674j),(0.015562360209389236+0.01131238662771542j),(0.0168046253389296+0.07264612094300132j),(0.008692632970134319+0.013111205335674647j),(-0.009590904870911073+0.06531016121552122j),(-0.010324836057592268+0.01763292323767989j),(-0.09321206307715967+0.003166349627667799j)
