,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0
0.0,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0.5,(0.07820663635759502-0.11290622240232603j),(0.9217927544736222+0.11290747024367884j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
1.0,(0.0019602747059133275-0.010482568537709312j),(0.07820663635759502-0.11290622240232603j),(0.9217927544736222+0.11290747024367884j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
1.5,(0.0022965710250645414-0.013113609140182374j),(0.003584309690891196-0.01833394479254019j),(0.06807665681734233-0.09248429481683908j),(0.8537157912478852+0.20539179257128146j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2.0,(0.003546908977316473-0.01806081144093615j),(0.004821948468057995-0.01698898761855438j),(0.007397425799711303-0.02742965892327001j),(0.08450323230288434-0.08871077960624042j),(0.7692125762005579+0.29410279051708305j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2.5,(0.004757086094500055-0.01639725530100757j),(0.007275280405886086-0.0266557258780481j),(0.00550996442353368-0.013246460050463241j),(0.013285796706653646-0.03444171587862578j),(0.08524280611271692-0.0641555818078145j),(0.6839695784942639+0.35825828501643664j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3.0,(0.02440557379917647-0.037887084899589495j),(0.00515203190939955-0.012729644553923657j),(0.012756015131717684-0.03337829819906091j),(0.005194722154881381-0.014843812434297894j),(0.019991214982163073-0.03971350765385279j),(0.08659203607849994-0.05726494728637621j),(0.5973776081584268+0.41552316964484165j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3.5,0j,(0.035154083121280696-0.046118091563056775j),(0.004783810716948969-0.014338183661069417j),(0.019093463033571345-0.038394967417168746j),(0.006931655943335408-0.012873946993822362j),(0.028069258777711097-0.04302775689138247j),(0.08963838114391655-0.038945406805365346j),(0.5077391396955286+0.45446853133269244j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
4.0,0j,0j,(0.04631920707352884-0.050542413387728614j),(0.0062564514572983005-0.01251827189548866j),(0.026534805957898026-0.04163204819546767j),(0.006141387855221567-0.013019747130133595j),(0.03644153713999004-0.043730970096395066j),(0.08519025210136079-0.02828218289415319j),(0.4225489135305867+0.48275059655265173j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
4.5,0j,0j,0j,(0.058049313506981254-0.05229650310956137j),(0.005494006717449357-0.012802082240684277j),(0.03432731310837944-0.042503459315367476j),(0.007887603028023358-0.012348689630861956j),(0.044665433905460676-0.0427022912237014j),(0.08522145864887773-0.015968473843893344j),(0.33732744648453833+0.49871903089881886j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
5.0,0j,0j,0j,0j,(0.06961535678243855-0.05044214656325508j),(0.007049360816817138-0.012225737116503847j),(0.04190946117753224-0.04177384559017734j),(0.007638664636500244-0.011468188453613902j),(0.05276599666611462-0.03951861671607342j),(0.0794597901857946-0.004724929509903957j),(0.2578676629668994+0.5034438627024758j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
5.5,0j,0j,0j,0j,0j,(0.08010955808986336-0.04622801700982638j),(0.006820358001186053-0.011565284529143785j),(0.049440267692570136-0.03915324553787888j),(0.008832562528882404-0.01124389990065483j),(0.059819272952097866-0.034638726756039705j),(0.07571275527180342+0.003946573077793273j),(0.18215493662665633+0.4994972402934551j),0j,0j,0j,0j,0j,0j,0j,0j,0j
6.0,0j,0j,0j,0j,0j,0j,(0.08977007996892533-0.03948138322821284j),(0.00793632760737804-0.011406878504344232j),(0.05604462807631957-0.03495248092781602j),(0.009239613798760492-0.00999520351569008j),(0.06609126468889602-0.028381446284762222j),(0.06966945267692248+0.013224253575967924j),(0.11248549682572202+0.4862729204630663j),0j,0j,0j,0j,0j,0j,0j,0j
6.5,0j,0j,0j,0j,0j,0j,0j,(0.09759031819407621-0.030740771850913784j),(0.00833244855788118-0.010389075388761954j),(0.06198108394185718-0.029540738114470517j),(0.009902912156370586-0.009567841427024748j),(0.07099156036112626-0.020764271553248583j),(0.06349073436095994+0.019659295401450554j),(0.04899480199778105+0.4666135740349416j),0j,0j,0j,0j,0j,0j,0j
