,-9.0,-8.5,-8.0,-7.5,-7.0,-6.5,-6.0,-5.5,-5.0,-4.5,-4.0,-3.5,-3.0,-2.5,-2.0,-1.5,-1.0,-0.5,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0
0.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.539980808724128-0.07541901742551223j),(0.46002047811663876+0.07541632789047104j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
1.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.25241564758557283+0.0311906259373759j),(0.29390916820326707-0.13897930721599588j),(0.23242228564659242+0.004090872874806431j),(0.21153813877131683+0.03282650251650317j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
1.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.09057481676887147+0.04991122451912751j),(0.17293458108697746-0.05483510368029275j),(0.20951704080566697-0.11120336244209435j),(0.2419916511198609-0.04428545518656096j),(0.11278396449332383+0.023980179967885425j),(0.11752022239292712+0.007465931851051632j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.02632658916938475+0.0009774078250580761j),(0.021890437806400875-0.008165142255962949j),(0.2451863223276409-0.02143395878111943j),(0.19997350323477925-0.027738454163340046j),(0.19732702099991978-0.008650554349418249j),(0.1657369488805466+0.007981637911761106j),(0.04805254150193941+0.008493499879125238j),(0.040578283191505825+0.010238440769801373j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0205243582198719-0.006000662457882697j),(0.034324012223558235+0.01419121634290881j),(0.16452858154615496-0.013129277969775276j),(0.16604562964884265+0.0013057385713632751j),(0.16219376458278828-0.008003645607703648j),(0.23663052859218942+0.0314540616446602j),(0.07922332370260964+0.00915234302957452j),(0.10836624231659607+0.03143190587668794j),(0.02355696388048059+0.004118415975599018j),(0.023023790614268985+0.009855415364317492j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.005591679133025313+0.004616994943049112j),(0.01739580830070057+0.009511433009997908j),(0.12044592065390515-0.03930983678857258j),(0.06008054422371905-0.015514626680450038j),(0.16680074367795028-0.028146469889833436j),(0.19979911106596338+0.01739298003200356j),(0.20563526056456768-0.007637261735161629j),(0.14176720015790223-0.017598406529567606j),(0.06796433690922847+0.0035424773850652198j),(0.04453362803899652+0.01564465264556386j),(0.012659521443129634+0.007954721337713192j),(0.009318822605441568+0.004684640654804152j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.005065683456351449+0.0024815385427603798j),(0.009403015832473634+0.004460259346316012j),(0.045752358759156744-0.007065797386158274j),(0.04981777032924065-0.0002080354443529213j),(0.1244637195694597+0.009421346491846377j),(0.15644203481167085+0.014093079788659466j),(0.15480970138408595-0.00010550316762930937j),(0.16550914700001298-0.013925076173521555j),(0.12600239202138516-0.010391576017543525j),(0.09791088250766976-0.01428544359189907j),(0.04407024754750184+0.005318566729072018j),(0.0420585668345761+0.00973601141262892j),(0.007560853725121145+0.005775977095684534j),(0.002918757962670015+0.004944537495856721j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
4.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0007844283159932356-0.0002114232810944329j),(0.000734061141382673+0.0005270667597932608j),(0.02114179104786926+0.009124233692301488j),(0.03992687462810618-0.008780395550912003j),(0.09028067686342843-0.00984949333154191j),(0.07024164507989496-0.01516927785178049j),(0.13068383257506658-0.021910364361886543j),(0.14049902418078192-0.012883818869176118j),(0.15631950221334895-0.019434539049608054j),(0.14024078707347795+0.007689785590939633j),(0.08857852410485609-0.0009911346768869999j),(0.06085833429258777+0.010658950675877923j),(0.02557418355665637+0.013791308819218674j),(0.01725950000285028+0.0021853008691711875j),(0.0015302882931076231+0.0011452238357229395j),(0.0020177014469357412+0.0010695724734054546j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
4.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(6.344787042573312e-05+0.0020459177983662815j),(0.00019979524878337016+0.0005060217718278455j),(0.014708758976715032+0.011717318534618795j),(0.008532664718037451-0.003949031909244394j),(0.0539637147163503+0.0006548347346917419j),(0.03950360096107158+0.01119339908230333j),(0.1139446993215798+0.018854394590486424j),(0.12371756236051286-0.013930766541757024j),(0.15859910434946678-0.004012397221862914j),(0.14602494113339642-0.022473990825611564j),(0.10490655067198255-0.009849970537217265j),(0.11282341302700215+0.001094988967153906j),(0.051963277994441545+0.006735419723472286j),(0.04766511621635121+0.015467862848396992j),(0.011877617831188203+0.003936135131551463j),(0.010332664340098635+0.00574770337597129j),(0.0006103456246979355+0.0005126360260669754j),(0.000983415751971961+0.0011441452335000945j),0j,0j,0j,0j,0j,0j,0j,0j,0j
