,-9.0,-8.5,-8.0,-7.5,-7.0,-6.5,-6.0,-5.5,-5.0,-4.5,-4.0,-3.5,-3.0,-2.5,-2.0,-1.5,-1.0,-0.5,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0
0.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.5057826698864467+0.19081343937410436j),(0.49421421333211746-0.19081190996660768j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
1.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.27992114314249994-0.04659273621729796j),(0.21995997241423476+0.14433555423825034j),(0.2850508002750761-0.008608413579375432j),(0.24683455291483322-0.19115000230004187j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
1.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.13407548763156177-0.05447662678715631j),(0.17733657015375057+0.01776396791198768j),(0.1785509156308215+0.091043328528747j),(0.3272297734006475+0.18816745453112235j),(0.13458648240404286-0.10225857038637651j),(0.06314158592211525-0.09919944777620254j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.04714661676904501-0.06387484935652785j),(0.08122743819224945-0.017468331456986914j),(0.11639172453914248+0.11172651367501163j),(0.2105845295586282+0.08954079859350858j),(0.19903112503356543+0.051381311954114356j),(0.2794120925743377+0.016498279691137187j),(0.03344001533320576-0.054081631884986506j),(0.028429378580741307-0.059256251747100266j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.025618964781646766-0.020305057397285862j),(0.03275427414676385-0.01770891473157024j),(0.11471393087976638+0.08486693984439224j),(0.12132509555075469+0.037638668933419786j),(0.15602701378999756+0.07695805053836725j),(0.17871894940604857+0.05010276736803529j),(0.14905657889217505-0.027007760725943637j),(0.13442234874921247-0.03983235407034656j),(0.02828071726513203-0.01294519144041114j),(-0.006985877696070477-0.021452334027742014j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.006685065532345397-0.016732930586082304j),(0.014617681477170946-0.011739236490120455j),(0.11335979061865936-0.0006068504619496252j),(0.07086708692810482+0.011140778929468078j),(0.2211909219508192-0.012359735189574993j),(0.13883307033954173+0.02511793203050105j),(0.13126395884744985+0.04830305237082244j),(0.14274348514718566+0.03885871925701423j),(0.07565544295400388-0.02203025533892306j),(0.06882310305137053-0.08791737226204138j),(-0.003932125959848676-0.010794002843011952j),(-0.00668990600348358-0.0038949018192584767j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0032092575532678986-0.008666566784832744j),(0.0015687150519795526-0.005728163863832935j),(0.07701076373445895-0.041941021061468464j),(0.04963577590828376+0.011445559588735823j),(0.11594165822170338+0.0003202515841188125j),(0.13295834633089731+0.020698615718390646j),(0.13312056703365857+0.05094805186389754j),(0.17566870628988585+0.060461659532928085j),(0.14741087607123268+0.01062215089637212j),(0.11054984494011345+0.01329223374021763j),(0.06252957957691392-0.0483691500700988j),(0.037731438016345376-0.05200258897018674j),(-0.004399902944575374-0.013356763383159932j),(-0.0062182436027363825-0.005739869572214666j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
4.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.005383153899647929-0.005214548642538251j),(-0.002131483445110291-0.004105630034805812j),(0.031995200173506065-0.03758624411979858j),(0.022508617852365728-0.007362608006895022j),(0.10553054519146791-0.012187310180014541j),(0.10664543078470401+0.016453756388174916j),(0.16229109301872913+0.04569677930564724j),(0.13298231001053146+0.029629818733555465j),(0.1316398674837218+0.013589125032460575j),(0.15743861498659442+0.044429284054259006j),(0.11476261250529286-0.01888612986752093j),(0.10460535455237498-0.05294537948959469j),(0.016206265359721785-0.03160724657145665j),(0.011423427342584943-0.03748052435052758j),(-0.0021311569358778044-0.005875840015559385j),(-0.007424579960470777-0.00802832944435981j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
4.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.0014128267718321718-0.0026298822272908333j),(-0.0020826548027224464-0.001508602485054193j),(0.016943251886178422-0.02871189421122438j),(0.01793611564850835-0.014947378597118345j),(0.05585220442914435+0.00374734560591114j),(0.06158476678934841-0.001035568326866347j),(0.11558163886126617+0.01886529683761356j),(0.1059661357846747+0.031450460943008074j),(0.1303600404549005+0.035589704480178216j),(0.12415945646123888+0.04009054278387483j),(0.11358200617869628-0.000932085588168341j),(0.1249151049735708+0.020085679495817185j),(0.07396089371576008-0.013267327456478467j),(0.052752443033025204-0.03716897368812927j),(0.015847225326905107-0.0169274452210686j),(-0.002945638077163343-0.036991327128055355j),(-0.0023541028005933736-0.0030839716960688883j),(-0.004023613452258348-0.0011406894220549074j),0j,0j,0j,0j,0j,0j,0j,0j,0j
