,-9.0,-8.5,-8.0,-7.5,-7.0,-6.5,-6.0,-5.5,-5.0,-4.5,-4.0,-3.5,-3.0,-2.5,-2.0,-1.5,-1.0,-0.5,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0
0.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0037059493902448413-0.01713272109324366j),(0.9962936232573677+0.01713284943723675j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
1.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.004380800231382493-0.017254858669619528j),(-0.0006748065577652327+0.00012206058388807566j),(0.00594945698548288-0.01681527900977351j),(0.9916620336664372+0.03421051306871784j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
1.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0043951303745320795-0.0170597077775021j),(-0.0010095961135590844-0.00035063048497501587j),(0.006541041390861767-0.01630722618584875j),(-0.0015502198513391188-1.3572488871372452e-05j),(0.005068363504239419-0.01612433279852347j),(0.9821887120158648+0.05017456872001308j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.004783202334816746-0.01712975388980263j),(-0.00026158208167757134-3.059848085675763e-05j),(0.00671687967279073-0.016230182100119776j),(-0.0006134106431442596-0.00017924023297119182j),(0.006043521832120985-0.01707321989988246j),(-0.002319354430766795+0.00035261717862050126j),(0.006234500587739689-0.015937176882133208j),(0.9765742104471085+0.06789001634865377j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.005707704862308561-0.01710106078979758j),(-0.000344465600948057-0.00026629621116521125j),(0.007622617283901578-0.01651860124466287j),(-0.00044633251790741554-0.0004973691326089534j),(0.008221171853413173-0.016746862157804222j),(-0.0011821815825949476-0.0004392963384462058j),(0.006889831197356192-0.016289125125023153j),(-0.0024916712936402866-0.0005294330889399437j),(0.008379831419112466-0.015260453024448565j),(0.9716132682875821+0.08300169405838824j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.006873323197986585-0.017185164241732928j),(-0.00024271444726144988-0.0001268717321328759j),(0.0064026979536913045-0.017186160251002718j),(-0.0003124144980406518-6.088247080797994e-05j),(0.007676702167330845-0.015187972869869918j),(-0.0005874287333064937-0.0005265879599261417j),(0.009504355347645913-0.015965178386437476j),(-0.001815612166969106-0.0010064947152865567j),(0.007306692951688935-0.01696356709986347j),(-0.0031175635611791976-0.00026482973291456737j),(0.008654341275641344-0.012007794715583312j),(0.9592200280247595+0.09577077106675702j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.006188932198934292-0.01614452661623633j),(-0.00029414060947958635-0.00018809485523753165j),(0.006330400775956169-0.015871538681665028j),(-0.000522845989191731-0.0003950457653187096j),(0.00810159600051016-0.014998414188625513j),(-0.0007366148059752823-0.0006329344964115546j),(0.010338876361042415-0.01578841366539911j),(-0.0008499338494695036-0.0009379316510180593j),(0.009013798161998874-0.01708301236401197j),(-0.0023654373356710584-0.0011698631505646197j),(0.0075968445863231785-0.015535005976557112j),(-0.004082682890683419-0.001572080268236321j),(0.009013071262250927-0.015274425288892706j),(0.9470841520809008+0.10566592537016986j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
4.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.00552835184702782-0.015966121032862674j),(-0.00040623204241363225-0.00019415357844391093j),(0.0068919998048510706-0.016269987805700797j),(-0.0004434589441745169-0.00038110716422026j),(0.007477230568241012-0.015915441593465435j),(-0.0006447031048255296-0.0007382238520253591j),(0.007610925064054136-0.015388032914523994j),(-0.0007510799054983293-0.0008294199739979327j),(0.007428978616762904-0.014701125255079382j),(-0.001433307875946563-0.001641929880472909j),(0.0066221001860202345-0.016478361950982044j),(-0.002724804355457304-0.0012025293915271208j),(0.009667585735657852-0.01649645128943072j),(-0.00444776939518645-0.001964948454484623j),(0.004968120629030547-0.01669504271069718j),(0.9404398646650646+0.12537928645927246j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
4.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.006912892824356152-0.016310852498546125j),(-0.0002127437350704537-0.00011119742509869507j),(0.007794032030377573-0.014694306194687834j),(-0.0004379764689287749-0.0003885877881799606j),(0.009188992194495229-0.01578488549605433j),(-0.0006573037286822633-0.000667914045242771j),(0.00705796380325997-0.013605444134244372j),(-0.0008319146973695562-0.0010666838895976225j),(0.007129925069147724-0.01276448049754743j),(-0.0012650013102631856-0.0012568989823436092j),(0.007497647188933994-0.013076121092098788j),(-0.002157987959903172-0.001530218252515479j),(0.006850462713358214-0.015653437459720712j),(-0.003196174986273534-0.0007425839130453623j),(0.010120281331146275-0.013812981032736349j),(-0.005591289464639227-0.0003696022570719305j),(0.009268247930586162-0.012540047565499843j),(0.9354350379189197+0.1394844594495746j),0j,0j,0j,0j,0j,0j,0j,0j,0j
