,-9.0,-8.5,-8.0,-7.5,-7.0,-6.5,-6.0,-5.5,-5.0,-4.5,-4.0,-3.5,-3.0,-2.5,-2.0,-1.5,-1.0,-0.5,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0
0.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.4180084168372222-0.016423195143438447j),(0.5819916124857863+0.0164230095527632j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
1.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.20415823229863367+0.015458854799090146j),(0.19558213808241914-0.03635865979754342j),(0.22033770530935193-0.03857817177328919j),(0.3016475708787439+0.03855723966721386j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
1.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.13597292549923476-0.009844064580714403j),(0.06940692091495584-0.0170655870208059j),(0.23289298388374366+0.026836368835789954j),(0.22683489648113833-0.053637612410061666j),(0.1478712562692043+0.023757689865604698j),(0.1930061843913838+0.025403881322168947j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.09396253768938015+0.0035934865826977667j),(0.07850767035199271+0.0016960740756368081j),(0.14990899536133342+0.013115707593697044j),(0.17462224852781316-0.018804972941329875j),(0.14153301817798414-0.020221958677237646j),(0.16477473226844214-0.0557749878809448j),(0.054427937550000055-0.01570720901948006j),(0.12288427433915909+0.028320827279065264j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.055899409206584885-0.008618778061024183j),(0.060822120924812456-0.008087770667239369j),(0.099467311908068-0.013315402011600886j),(0.06852717254061809+0.020180619236423093j),(0.1277648813717692-0.024212211946150503j),(0.12609053640767753-0.0376496866112212j),(0.11606611477121201+0.012339103952798226j),(0.13227124384100952-0.02995715118528311j),(0.08172699741198311+0.011017988092350352j),(0.08774418669584315+0.006605785547717817j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.02495417531683316+0.002419468186866419j),(0.015311589267504377-0.005062788013312484j),(0.06848921022599377+0.00029881566493909686j),(0.0763147361484643+0.005606444615585442j),(0.12014263348453906-0.008769582089840019j),(0.09497123784275639+0.014817284288200607j),(0.12862067388323797+0.008116584566870954j),(0.1664942384105857-0.0249279386963617j),(0.09480288732510889+0.00018799657272994437j),(0.12800953221872216-0.01771809205670809j),(0.031736984292243996+0.006448002307372488j),(0.0377470957078119+0.024948191761919564j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.023981771308341022-0.005232873677054962j),(0.015325361339643948+0.003414700544287465j),(0.06297664730643963+0.013624645272448579j),(0.04302032120582548+0.003836584269791609j),(0.11505689345654746-0.005520246895122763j),(0.10178232008644067+0.0035685976226921745j),(0.1352645732790683+0.003031179213631453j),(0.11394217965996502+0.005440743923488953j),(0.09579205553076395-0.007752497916017209j),(0.10503731257615227+0.007526851539448914j),(0.059786049344610466+0.010590831036948368j),(0.08271959630026139+0.005368008813299426j),(0.008768965117399255+0.00551284560969452j),(0.016569416937494565+0.005420628489762887j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
4.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.005336480907162723+0.003993589438582669j),(0.005727103590995231+0.0006715080174016506j),(0.03636284865425193+0.007445981905522982j),(0.02882743612752135+0.011253968963375114j),(0.07007760888059757+0.009566934490135714j),(0.06897270001033988+0.010912502857544235j),(0.11963930921202857-0.012810074665084872j),(0.10717098410047764-0.012232389895980555j),(0.11878711358232702-0.0023973016008628383j),(0.14239445042941037-0.000217380244606024j),(0.07992160620851396+0.002057471534145164j),(0.09541684094381381-0.004004695814084696j),(0.04462587271168686+0.0031109124824154643j),(0.06550879712961308+0.012403564448218166j),(0.008778565456314773+0.004486204261080683j),(0.011225503745214365+0.006787835088753066j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
4.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.004363799080617125+0.0005843344004871637j),(0.004186187619014981-0.001519735828952152j),(0.018704026348338624+0.008085701837364876j),(0.016621870020225044+0.0025929960189575415j),(0.03899541662634844+0.0106476390006709j),(0.05707955743639933+0.004849771200083238j),(0.10140381663112034+0.005878177238624955j),(0.08260376788876432+0.00031020642124295473j),(0.11828373227299803-0.007071924416112221j),(0.11362010783584522-0.008754127812380132j),(0.09947535537830347-0.005835532368285019j),(0.0965017698929774-0.007634649283751145j),(0.0708156587487125-0.01342399200334801j),(0.09608256525975523-0.00216815828649958j),(0.01680351622162525-0.0033414537383911025j),(0.031549560668925045+0.005441049831571147j),(0.004986949567383608+0.0008709480507332033j),(0.005453955134976601+0.0020126092819021755j),0j,0j,0j,0j,0j,0j,0j,0j,0j
5.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0025153549943716124+0.0011755192975730624j),(0.0022820655707203254-0.0005600562174894715j),(0.016861959678647006-9.306599521085733e-05j),(0.013968813844859736-0.0008864441363510527j),(0.04632392150241005-0.00823737268510762j),(0.029659574030258967+0.00032749623852306245j),(0.09875790262640928+0.007645978856685846j),(0.07223073134423748+3.93105357069451e-05j),(0.10161647290607839+0.0023324170666676083j),(0.09525126013339645-0.004683561308885731j),(0.1023170425622957-0.009812960872324333j),(0.11447824540484881-0.01526865120354375j),(0.07275833146954945+0.002344834716993795j),(0.09439647644166539-0.006105320933503591j),(0.04370527063939463+0.011749184802307912j),(0.06325715874240948+0.003786900932468954j),(0.022896548281474062+0.004703976261728561j),(0.018830214616323067+0.004320494157826236j),(0.00702026624827706+0.0011768045591227189j),(0.0061038947511989575+0.0024246886474755913j),0j,0j,0j,0j,0j,0j,0j,0j
