,-9.0,-8.5,-8.0,-7.5,-7.0,-6.5,-6.0,-5.5,-5.0,-4.5,-4.0,-3.5,-3.0,-2.5,-2.0,-1.5,-1.0,-0.5,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0
0.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.49667390720048604-0.147517548266458j),(0.5033274948302852+0.14751667154543638j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
1.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.2751291135369502-0.024974156680621598j),(0.24942324129781204-0.17709473847506849j),(0.27609434407961175-0.04876019851853613j),(0.24901393538186595+0.14210648256517527j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
1.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.15930210938286682+0.021585095879859517j),(0.12148090768126363-0.007402338771565743j),(0.2561198415343379-0.051720261906089575j),(0.19899464515254656-0.16407811995701085j),(0.13575737790154946+0.07121624129248783j),(0.069315473002561+0.12178665018041039j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.07076607904027553+0.05071101098172872j),(0.07177957600528174+0.014737899744761739j),(0.19921921876516765-0.03528014301242833j),(0.18374741749930923-0.06733766658626314j),(0.1144662666517385-0.04231255660958546j),(0.19025192076369082-0.04832788305868678j),(0.06493096957978398+0.06174964405407057j),(0.00027640185320438465+0.07152125857654573j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.020448617277568124+0.030798262548751447j),(0.04476060376771143-0.016396243614890213j),(0.1462278981396589+0.007201196662467681j),(0.10109028819413875-0.04868267958831802j),(0.16289418403814307-0.03874520962662424j),(0.18127219222378105-0.08111939540851075j),(0.14132201366722622+0.02837504287393333j),(0.15267566923347525+0.04460429666444508j),(0.011046427426362025+0.03145058608776425j),(-0.018984922170040074+0.044000648251004824j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.011888766801061037+0.023342933887344153j),(0.02232277756480425+0.006474069168283658j),(0.07862484228797315+0.022677523216292145j),(0.07314897918966512-0.019339852488537135j),(0.15173140496329-0.0361767006867027j),(0.1837234073796683-0.04813937617495553j),(0.12739132236982803-0.034879271379753j),(0.18052904991711108-0.049786985592440255j),(0.11416355677066763+0.02635242979805984j),(0.08959471779909509+0.07591874217781314j),(0.00034762460213539313+0.026251278928985954j),(-0.015329706540483547+0.016505014323386226j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0030097364031599935+0.011741069048803586j),(0.0108788821517433-0.003047285102934776j),(0.054339156315327285+0.02079677636801005j),(0.04705490266085954+0.0070878848974226j),(0.11032821051108956-0.016498763997004125j),(0.1192578345995201-0.045798445006500536j),(0.14824587413547455-0.048288794058414596j),(0.18116745859447222-0.03707578052237343j),(0.11626676628146011-0.024345208488513334j),(0.1280465734791247+0.025347752228255013j),(0.05281943543486619+0.03940063783717616j),(0.027075371569901606+0.0544076944592255j),(0.003617396544279049+0.009969715306792668j),(-0.007167056923471093+0.0053450239376960414j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
4.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.003756362940062507+0.004255125694324235j),(0.004470893791961526+0.005420388794155316j),(0.024818338173070047+0.0216973634823202j),(0.04245225979732829+0.007083023582320119j),(0.08572564685989476+0.017298590291614468j),(0.08847104770807013-0.01870720853493877j),(0.14039162779323508-0.03239032211618428j),(0.15079791148181265-0.040850374903757224j),(0.12265789346472047-0.03592026062292392j),(0.12938725882073995-0.023147838486120773j),(0.09437817525482961-0.005698164121505511j),(0.09064208680118599+0.06377455916258679j),(0.022919712590894575+0.019331055915368416j),(0.007163646231534998+0.028921847018337478j),(-0.0026273999227389+0.003897242532593731j),(-0.006023571161409305+0.0035849098126410754j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
4.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.0022123243479441486+0.003006396945250849j),(0.0010334090085367892+0.003191819464212667j),(0.008527654099640576+0.014174216451656684j),(0.015847522365870066+0.01526306475467792j),(0.06464283458003484+0.026681799167453474j),(0.05582064325284866+0.01189208385984366j),(0.10969027420000664-0.027586999949731145j),(0.1195115545931566-0.03621014773563488j),(0.12825398810339844-0.04332084460838355j),(0.13919789936658003-0.04216149377264432j),(0.1123920840876769-0.021972989031498014j),(0.1381413423503439+0.006323622408478154j),(0.07065668233366934+0.02460345598444093j),(0.04862687017848344+0.05995580751178871j),(0.005710853626630527+0.0222746008199549j),(-0.0019109952693716547+0.02264100752959699j),(-0.0016785076677145816+0.0026631667067183577j),(-0.0038497560493377884+0.0007791245102732115j),0j,0j,0j,0j,0j,0j,0j,0j,0j
