0,1,2,3,4,5,6,7,8,9
1.0,,,,,,,,,
0.17675160795968387,0.386098957911483,,,,,,,,
0.16738287883747696,0.2044947845572813,0.14351815699276468,,,,,,,
0.1307456078374436,0.16944206708281445,0.13309631542425346,0.05435487717744826,,,,,,
0.08690324368994917,0.14579828845933296,0.1321520185461241,0.06810622980492125,0.020442194312758052,,,,,
0.0799586369309037,0.10644384130728457,0.12282125232903734,0.07796463493170287,0.033907542712510674,0.007707351865971376,,,,
0.07548892991998318,0.09439777705116377,0.10144882984930352,0.08375694179537584,0.04471433528177249,0.015337543150164482,0.002904655384722307,,,
0.07499547317719317,0.0802449854579361,0.09117688732996976,0.07719616782346753,0.052927754487291714,0.023091707878153456,0.0069056525137757025,0.0010942224459057548,,
0.07074351154932638,0.07652066000857775,0.07936691926956241,0.07357563209232355,0.05370041201082463,0.030730987051163318,0.011535452076088599,0.0029820317407854673,0.00041248392908849993,
0.06606757864294031,0.07340346711011564,0.07218623586671706,0.06785764223275746,0.05401978838997831,0.03439438761523601,0.016636571926839677,0.005564052265689457,0.001277718899056808,0.00015538945127814606
