0,1,2,3,4,5,6,7,8,9
1.0,,,,,,,,,
0.11352175143383082,0.4567232368013551,,,,,,,,
0.16536830527059568,0.24534538279463267,0.22911343495780176,,,,,,,
0.10836859693486242,0.14795596489149682,0.19875252128703536,0.1103382932099359,,,,,,
0.13521378128119324,0.1341423308658566,0.07084624489741748,0.13941354641525014,0.053246671885776205,,,,,
0.09677516691070567,0.12201990629050607,0.12845078186647318,0.035525487297719226,0.08880743303674568,0.025911937505351354,,,,
0.10392261277300564,0.10367677764661606,0.08853700826065411,0.1006393444712427,0.02652338464235776,0.05287949039228824,0.012570466025446333,,,
0.08292410028180441,0.09815317529383318,0.10165702544041362,0.06433243728351802,0.06619000460278604,0.024171450986543087,0.03054263938028596,0.006092815920144133,,
0.08666938129946324,0.08991435122304678,0.08171706600535494,0.08163263006075223,0.051368564997027195,0.03937168689648524,0.019516536800584124,0.01719916478059889,0.002955913389991965,
0.07459887046790299,0.08599345418568959,0.08796094070726111,0.0661558391041483,0.0582827150919531,0.04088900292091294,0.021188345172078005,0.014215047567733473,0.00948548634619502,0.0014339198772878913
