-10.0,-9.5,-9.0,-8.5,-8.0,-7.5,-7.0,-6.5,-6.0,-5.5,-5.0,-4.5,-4.0,-3.5,-3.0,-2.5,-2.0,-1.5,-1.0,-0.5,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0
0j,(-0.000490490705028636+0.0003161361529721458j),(-0.00011688810089680762+0.00022091980052776593j),(-9.06379418878596e-05+0.0027027198898689573j),(0.00036219034916324354+0.0011615214007169143j),(0.0032716314492268086+0.0050576924819313515j),(0.0022301954975540586+0.0022733395730990978j),(0.008822689501314639+0.006842833509718143j),(0.00599237419111616+0.003133186065237939j),(0.01709005011293455+0.007240278575557225j),(0.011977149583100064+0.0030286516714743447j),(0.02724869400006068+0.005280903745907286j),(0.01998220380929298+0.001337918202395965j),(0.037719919205992276+0.0010221648848363083j),(0.02925111990363057-0.0020819735512293746j),(0.0468839545722614-0.004479581292763872j),(0.03870604529023863-0.006627883390837125j),(0.05350258333863545-0.009631987702720496j),(0.04722478386552654-0.011107416516511264j),(0.05682872690252524-0.012886093619555143j),(0.05375415855839828-0.014077949025630435j),(0.05660045055706426-0.013238926053967747j),(0.057452271421104734-0.014290510053173546j),(0.052950537752075644-0.010580355568747837j),(0.05774041419903978-0.011272106680801664j),(0.04632360581809329-0.005714332482747856j),(0.054158020906666014-0.005551967535408522j),(0.037482820092620696-0.00010169521564994614j),(0.046691401435440864+0.001712406022603509j),(0.02746701337040681+0.004597732676957743j),(0.036437235757240755+0.008638793901542813j),(0.017496654024739867+0.007188060629142656j),(0.0247448693344955+0.012717237552727316j),(0.00897915473398068+0.007374936491063922j),(0.012779220242777084+0.0132062247414764j),(0.0031069196035750104+0.00554792162586173j),(0.0036311038084447657+0.011102769829727408j),(1.7386529223100658e-05+0.002761165335023585j),(-0.0007039697094183181+0.005996925343439365j),(-0.0008144632991109174+0.0006955836418390446j),(-0.00275990556213908+0.00042479120738828004j)
0j,0j,(-0.0006073823789712993+0.0005370550156891553j),(-0.0001187121594832752+0.00032686100259759837j),(0.00039024177764693246+0.0035373891951383757j),(0.0006540967584778882+0.001473162371386405j),(0.00484768947206309+0.005857929929031106j),(0.0031199529997709193+0.0026512566047229673j),(0.011695088412097716+0.00732490916838924j),(0.0078000377735121355+0.003322856575224859j),(0.02126721298445251+0.006946314825733897j),(0.01490030681047301+0.0027114435313781633j),(0.03233074801874902+0.003907695529306622j),(0.023989322306216605+0.00023743987039205028j),(0.04298199334347246-0.0012968735287546833j),(0.034024667431097874-0.003973988636604161j),(0.051565725925393484-0.007133073556908048j),(0.043747759044215975-0.008948436361564924j),(0.056980083666346194-0.011790572029169877j),(0.05192456966608537-0.013170067526492156j),(0.05865881666176623-0.013793607563064926j),(0.05751849297620637-0.015045796814185056j),(0.056534698085194506-0.012483309663269312j),(0.059746048306775844-0.013592759954836987j),(0.050945296773383386-0.008259418151865565j),(0.05790477949653874-0.008797105379610396j),(0.042577136618978426-0.0024689624850513805j),(0.05177711900744048-0.001436429998222905j),(0.03239728822647853+0.003047321870896944j),(0.04226658084860734+0.006502378078214843j),(0.021637780655985175+0.006734272949386382j),(0.030332293573739635+0.012038858000576963j),(0.011909291303379095+0.007866500346444835j),(0.01704183627631242+0.014125987030519696j),(0.004716567233741087+0.006455202752745109j),(0.0062509503800030584+0.013125900158469947j),(0.0004871147778584017+0.0035248122021530664j),(0.0002531784145120328+0.007671229234892336j),(-0.0009397238568798615+0.0010868572418457098j),(-0.0035743774863237275+0.001120408093948442j),0j
0j,0j,0j,(-0.000726099701785639+0.0008639154102825476j),(-0.00010244891449444712+0.00047901591337804817j),(0.001146756957223947+0.004531551614819619j),(0.0010974662945536717+0.0018680135123379721j),(0.006870128865637914+0.0066412629107515464j),(0.004352113682861854+0.003078388978100924j),(0.015143007989886511+0.007569574205882518j),(0.010143393471629925+0.0034421220123126576j),(0.026024222656930437+0.006215925345876084j),(0.018518714108797102+0.0021357435253587585j),(0.037801571139915925+0.0020097510048511756j),(0.02870146494034119-0.0013004467963902465j),(0.04830554050594352-0.003970007429634799j),(0.03933917738932884-0.006319753302106872j),(0.05597476429270151-0.009761340190310237j),(0.049030660270233346-0.01148604540920271j),(0.059874506876926505-0.013474200967159535j),(0.056540316610037264-0.014990897536613555j),(0.059637498991258676-0.013848150838625761j),(0.06084548548045151-0.015359975070196008j),(0.05543570304228707-0.010715783704111735j),(0.06099403754533968-0.011923353453943108j),(0.0478563768195978-0.005132909384445234j),(0.05658430917849899-0.004912217085070611j),(0.03777017313376729+0.001007036162300294j),(0.04827929636392207+0.0037207685770912304j),(0.02638471510522542+0.005829081521932049j),(0.0364945779376979+0.010666824741476845j),(0.015475572299637875+0.00810638183035515j),(0.02212154453861976+0.014655239294803998j),(0.0068296167329552895+0.007337286519888789j),(0.009760735992997866+0.01516310217111506j),(0.0012068341515701078+0.004418021514001947j),(0.001767203888390656+0.00956498929228017j),(-0.001026866400204051+0.0016310371612694966j),(-0.004514106071427364+0.002207311164997306j),0j,0j
0j,0j,0j,0j,(-0.0008285560000753047+0.0013429315491095993j),(-4.441215354017733e-05+0.0006960535423710574j),(0.0022885956789166348+0.0057035403682931165j),(0.0017951261418468003+0.0023359891492528073j),(0.00942707275511049+0.007383796490435085j),(0.006083554499218762+0.0034678760633715133j),(0.01920288454551254+0.00754407127327126j),(0.01319880933402642+0.0033256150873260805j),(0.03134428419184798+0.005026383160961905j),(0.022939740335060955+0.0010502323612726265j),(0.04356358004533906-0.00034053334828315607j),(0.03406615880082096-0.003490239228986475j),(0.053578977201332464-0.006799093461740816j),(0.045010128676693344-0.009145036985107864j),(0.05999580640734522-0.012101931966557183j),(0.05436250853293498-0.014055606099169364j),(0.062052847918712385-0.01440910996460507j),(0.060835308650063986-0.016358813877311675j),(0.059648163375726405-0.012848973217462745j),(0.0632062088069836-0.014671365383465801j),(0.05322392074462572-0.007967479565404533j),(0.060903650880347576-0.008525055011045706j),(0.043537309287991925-0.0015198249459228825j),(0.05430214041431317+0.0003390145709980277j),(0.03174750892204295+0.0043889705692969905j),(0.043132958081542654+0.008511532142038357j),(0.01974642990941823+0.007984469697656645j),(0.028053426245693753+0.014643087442607826j),(0.00954373180321652+0.00811858615270383j),(0.014329878522087504+0.017064295531160067j),(0.0022605393530995134+0.005436112772178974j),(0.004006682059730456+0.011612676673404437j),(-0.0010325951644500628+0.002370303931632428j),(-0.005540969491886545+0.0038384100581568548j),0j,0j,0j
0j,0j,0j,0j,0j,(-0.0008729784739131068+0.002038987105077141j),(9.862127999109311e-05+0.0009901165040745671j),(0.003985053101151937+0.007049462878478503j),(0.0028652325120378545+0.0027954028680953476j),(0.012645375844735447+0.008056454320022067j),(0.008432777496410868+0.0036277994782057264j),(0.02396901650807666+0.007242176048555978j),(0.017036442238976855+0.0026857820552164914j),(0.03724780372448106+0.003391190589466686j),(0.028053405810549558-0.0008210201874828169j),(0.049576689669019944-0.003009332237867385j),(0.039842863808140706-0.0063782986021850546j),(0.058746725424585124-0.009565396925784604j),(0.05083152353895489-0.01226018941348643j),(0.0635273355107287-0.013896939581818204j),(0.05949125474557191-0.01639726267398044j),(0.06339742695713188-0.014370292323269513j),(0.06429911243036174-0.016738510768417852j),(0.058555699561602975-0.010781500053993894j),(0.06450138208920358-0.012008593157990589j),(0.049626517863179266-0.004483654683643864j),(0.06012417284089378-0.0035251233284112507j),(0.03771550303498468+0.0023445286283421125j),(0.050102168484399946+0.005524707871421562j),(0.024778418491772175+0.007375915744783405j),(0.034840050646324866+0.013928559996537936j),(0.012959858057894498+0.008699068823271669j),(0.02012203433459236+0.018621045294336634j),(0.003751655649192014+0.006561853524225508j),(0.007158249655659428+0.013696881649417502j),(-0.0008909789318216415+0.0033518574256541237j),(-0.006573548244668914+0.006208795255668875j),0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,(-0.000774371022638585+0.0030291089537513387j),(0.00038519536878842516+0.0013512566087277265j),(0.0064650415886543175+0.008493687911613342j),(0.0043714659766454006+0.0030840995469966714j),(0.01670671542784472+0.008600379038155869j),(0.011383636039381492+0.003314175216901425j),(0.029621982482686854+0.006614085138359609j),(0.02150081293479143+0.0012618341246947542j),(0.043800672491849255+0.0013087165487996842j),(0.03356778656143653-0.0035104642475030138j),(0.05585218876888946-0.005876725545414073j),(0.04582424008095534-0.009736654653938035j),(0.06375453962170415-0.012088494559494123j),(0.05657800761462315-0.015340128819554264j),(0.06644113237413642-0.014953670512359867j),(0.06400954284678617-0.017798339995075033j),(0.0636874844205449-0.013310094054977496j),(0.0671220267359209-0.015018573448655462j),(0.055935444008360063-0.007771186472016639j),(0.06549959108197603-0.007663936357765206j),(0.04425138265277263-0.00034458531556096436j),(0.05720897767876405+0.0017211459503442034j),(0.0306088470079032+0.006148242884909198j),(0.04244126751958159+0.012350928643841517j),(0.017177271307004877+0.00895364409855134j),(0.02727623581474707+0.019559340682738555j),(0.005805752558487702+0.007760786499196363j),(0.011415003000397776+0.015633675177821427j),(-0.0005050550046819973+0.004624984530834351j),(-0.007464489009051755+0.009560757141644114j),0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,(-0.00038919313396055074+0.004380376281687457j),(0.0008670054669492554+0.0017388415447956317j),(0.00996946163096956+0.009839055962911236j),(0.006244205410044857+0.00303662656245019j),(0.021846222489971163+0.00887816641498243j),(0.014759105034583511+0.002398275327842263j),(0.03636387748039988+0.005477954696747038j),(0.026311091732426545-0.0009206467052036696j),(0.05105768555046981-0.0012806795961758416j),(0.03930150593492288-0.006720276613543679j),(0.06237540224738299-0.008892635375688976j),(0.05188525560875357-0.013151815389425059j),(0.06844784707965461-0.01427636213256698j),(0.06206233088720119-0.017539505510882764j),(0.06838887498850009-0.015212086654312621j),(0.06849060141029206-0.017144166157802624j),(0.06231936595591306-0.011184114069027909j),(0.07015209805580758-0.011766604866935036j),(0.05128328920690423-0.003668215463580445j),(0.06421336261342889-0.002798044759768045j),(0.03724719477419435+0.004174795582045435j),(0.05076250327611383+0.009764261795797397j),(0.02228770636632637+0.00873503879979276j),(0.03588008049155564+0.019537196087936047j),(0.0085735404361206+0.00897579589763755j),(0.016957065372415547+0.017158882896250928j),(0.00026371520121419535+0.0062354743234183385j),(-0.007969472313036671+0.014185872501477388j),0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,(0.00047779147969131676+0.006119236145851902j),(0.0015583503924033926+0.0021075247359606825j),(0.014655287695311506+0.010768294419260978j),(0.008310294492215962+0.0026615433346535494j),(0.02829512144223169+0.00861513871436697j),(0.018403667404092394+0.0010312774495115952j),(0.044271483864552055+0.0035263957410236876j),(0.031381071440396695-0.0035073409903481328j),(0.058978491248888876-0.00449311751142761j),(0.04531347110085984-0.00993753129733341j),(0.06894772067443991-0.012106411868515568j),(0.058200763318579485-0.015735723403135164j),(0.07230998230126426-0.016079664396763036j),(0.06831325630116752-0.017944444857589115j),(0.06856674987030476-0.014411358976516605j),(0.07377781043920738-0.015415292207521063j),(0.05869408880926965-0.007535073106303694j),(0.07083130657580472-0.007823515043248552j),(0.04466559970967649+0.0013574888048349398j),(0.05964039107557896+0.006056855862967918j),(0.028369438632711262+0.007882369428407454j),(0.04593343609821416+0.018151213905944756j),(0.012234483206457841+0.010121020551296867j),(0.023922287275481402+0.017918459666965574j),(0.0016083097655041532+0.008216084471037692j),(-0.007705635618462636+0.020421505854281468j),0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0020361177497984387+0.008226789166603536j),(0.002452679568021587+0.0024794250513803765j),(0.020512871561058705+0.010950575286343208j),(0.010550469026239412+0.0022488563989130363j),(0.036148366865800495+0.00739784933780022j),(0.022462967318843848-0.0004319358345837408j),(0.05318978659889295+0.000451496344533067j),(0.03701306327251169-0.0059533645123814784j),(0.06727936551132085-0.008476684398839305j),(0.05226540567785575-0.012358787496621618j),(0.0748836801816435-0.015482784057978566j),(0.06627897281105453-0.017032383718598044j),(0.07434487828524845-0.016991208884390357j),(0.07603802249710656-0.01810135240075209j),(0.06630707106518433-0.011724891444700182j),(0.07673574898554958-0.013020657193724675j),(0.05278997452583748-0.002337648970837894j),(0.0688234379757395+0.0011764182472025957j),(0.03548273494280989+0.006238139036121352j),(0.05730143991215358+0.014958234613669127j),(0.017001585464528804+0.011075339330317412j),(0.032365411744795194+0.017467997462364507j),(0.0037912940683018335+0.010571321970567864j),(-0.0060971326332693206+0.028637776700168937j),0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.00448876907777507+0.010706255966978318j),(0.0036451312588225496+0.002984591781890427j),(0.027418149142786872+0.010215056743596358j),(0.013403170801412533+0.0021532391921352265j),(0.04520816917547762+0.004813136014944192j),(0.027527843613371124-0.0016144725309910344j),(0.06267532697820315-0.0038866825211013927j),(0.044351893202214485-0.00770650853657316j),(0.07519350842195556-0.013128271402893797j),(0.062083751735900576-0.014242125669691115j),(0.07907961645551764-0.01827245319683932j),(0.07652475232425456-0.01928455547542529j),(0.07385879506687186-0.015807549530423987j),(0.0815454509894801-0.017918387728436954j),(0.0614977883495264-0.006826830184807346j),(0.07794436215103541-0.00483657654913108j),(0.04366929910399464+0.003675606865727866j),(0.06965638675448488+0.00952077263449246j),(0.02312795448692416+0.011675582586267805j),(0.042205033728599246+0.01528888456633666j),(0.007161814237735492+0.013254278473751232j),(-0.00230554469542226+0.0392093068280423j),0j,0j,0j,0j,0j,0j,0j,0j,0j
