-10.0,-9.5,-9.0,-8.5,-8.0,-7.5,-7.0,-6.5,-6.0,-5.5,-5.0,-4.5,-4.0,-3.5,-3.0,-2.5,-2.0,-1.5,-1.0,-0.5,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0025845863516458832+0.0008305211700592477j),(0.0025845863516458832+0.0008305211700592477j),(0.005251651797406163+0.0005737013774583015j),(0.009608458467543568+0.0013763993599085846j),(0.02290818873440829+0.00108075818031518j),(0.03082946748992758-0.0009281917395190159j),(0.05926748411983015-0.0008211298807899144j),(0.07536876927638123-0.008571035808462414j),(0.1098385588940169-0.01207627027894128j),(0.12763066696953243-0.021980486456952542j),(0.12784569808920246-0.018647711391686514j),(0.14047610475091424-0.01735478758014123j),(0.09201994430381587-0.00479214350457729j),(0.09501591977503183+0.008984410911050721j),(0.03300310368706944+0.010645670770180653j),(0.02778629984509272+0.027774802190372587j),(0.001506502158598454+0.007514398766425958j),(-0.008816594936811233+0.011011595632918142j),(-0.001793941155782657+0.002359434399213232j),(-0.0011617451915539455+0.00018983398966446126j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0016114439785095+0.0008189135780902736j),(0.0016114439785095+0.0008189135780902736j),(0.003259102521085201+0.0007687171637756912j),(0.006059181228600117+0.001757314722623632j),(0.014885010667423851+0.0017120313931166065j),(0.020311742219266075+0.0010852905333579616j),(0.03978455253651695+0.0008487830231037082j),(0.052007290508756056-0.004039339299545771j),(0.08376108896999233-0.006263506156107556j),(0.10068691855066937-0.016223520404279716j),(0.1188292111082651-0.017781010976372844j),(0.13444156132279664-0.0232310089505903j),(0.11100663855348068-0.01474953969436686j),(0.11899700799830636-0.006876239892593956j),(0.06477546554637598+0.002948605556799438j),(0.06263784556326453+0.016840987949844195j),(0.016740109775441752+0.012750574272729586j),(0.012049741355005018+0.022759717986266914j),(-0.0023420221393309353+0.005610799195406108j),(-0.008204942394078586+0.007538470428529761j),(-0.0007296311418384961+0.0008816061482604686j),(-0.000432118725776521-0.0006917446028524289j),0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0009787864947616008+0.0007150971763018286j),(0.0009787864947616008+0.0007150971763018286j),(0.0020126739409420417+0.0007950629769916666j),(0.0037676476166825933+0.001749973666863222j),(0.009697625487423834+0.002042045283723479j),(0.013348447278508233+0.0021462699792537303j),(0.026632460532039073+0.0019867004647279645j),(0.035840785539298765-0.000713924806689374j),(0.060914275166162685-0.0022958560860089935j),(0.0754673195197628-0.009619581752805213j),(0.1012448647310217-0.013493321500561485j),(0.11685070474678354-0.02154587648155603j),(0.11592487267944021-0.01920404629509419j),(0.127530917081555-0.018467792413961893j),(0.08924461234075463-0.007675376168034231j),(0.09253630659034193+0.004511091768798611j),(0.04207126452116074+0.008430659075312671j),(0.036653686380671596+0.020918937619689642j),(0.00710491768825285+0.011894912234365904j),(0.002587268891640948+0.016472135599186283j),(-0.0031531120257933896+0.003890988364506462j),(-0.005774603620367483+0.004437514537116087j),(-0.00025695624348185005+0.00010090271134534055j),(-0.00017516253492459187-0.0007926314355150626j),0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,(0.0005734839790808301+0.0005808233848559414j),(0.0005734839790808301+0.0005808233848559414j),(0.0012233389984867657+0.0007219837833311275j),(0.0022897631762110867+0.00154564586950103j),(0.00630006174646826+0.002090602837587152j),(0.008708749674929088+0.002531244299434053j),(0.01776950003962448+0.002679752315947799j),(0.024545566893696136+0.0015309782932733556j),(0.04329632055827091+0.00034801878904302413j),(0.054895116312633434-0.004515961065387372j),(0.08071443205821341-0.008071011852342422j),(0.09545766498116277-0.01641926975859272j),(0.10862352556037227-0.018325920308174926j),(0.12231154586097367-0.02282199792838037j),(0.10344829488762147-0.015826247326486458j),(0.111593147316478-0.009770680403218398j),(0.06655411979365676+6.48973666443959e-05j),(0.06664595024911113+0.013563045979753318j),(0.02479510522955482+0.01124366048291436j),(0.01836772200752515+0.021239172841771358j),(0.0018621983324181499+0.009469298702578625j),(-0.0022802607734583114+0.010763380074232031j),(-0.002622263638598155+0.002437776309896072j),(-0.0034156591263524425+0.002081649000753601j),(-9.022798830044309e-05-0.0001983077736278287j),(-8.493339238016348e-05-0.0005943166241707588j),0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,(0.00031949758129684396+0.0004487292015916222j),(0.00031949758129684396+0.0004487292015916222j),(0.0007239185788388747+0.0006050752727142102j),(0.001346743211340515+0.001268549653317342j),(0.004051504611799528+0.0019441117501536622j),(0.00560345365469301+0.0024909870271599102j),(0.011777532947498465+0.0029381175283138116j),(0.016652516080366664+0.0027485268156649508j),(0.030374737601793978+0.002075867447319994j),(0.0393964422719567-0.0008321367886874561j),(0.061482662062794353-0.0035795489435442025j),(0.07461879873469142-0.010347896633765445j),(0.09443631620959998-0.014424634301590935j),(0.10846088855178392-0.021195350074115812j),(0.10648028350637685-0.019477272587302676j),(0.11744323302289193-0.019060488225792385j),(0.08605751439514105-0.009486839054581638j),(0.09067917472246628+0.0002966617315060502j),(0.04636033983706533+0.006364080811248785j),(0.04420312196610938+0.018868966461111737j),(0.012866810803517571+0.01167486322446168j),(0.006921898234816335+0.018757104989162027j),(-0.0006748455806803135+0.00665169942966545j),(-0.004078523670280163+0.006389356290709272j),(-0.0017551490199081508+0.0013178776224509546j),(-0.0017542578906181566+0.0005760923883863653j),(-4.374434353916164e-05-0.00023969373685817934j),(-4.118827480397633e-05-0.00035462088732037456j),0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,(0.00016488369484613929+0.0003336669191419938j),(0.00016488369484613929+0.0003336669191419938j),(0.0004114480480371272+0.00047944224410736524j),(0.000755981730719716+0.0009888877387793905j),(0.002560911705291628+0.0016898253496022567j),(0.00353373111928396+0.00222065210299612j),(0.007729440668393646+0.0028665472140259125j),(0.011163828453988904+0.0032083752662361385j),(0.021084405393831607+0.0030813138064946844j),(0.027937487638257565+0.0016442879252908716j),(0.04555837378220545-0.00029832295956224266j),(0.056534973154458254-0.005121787153878159j),(0.07766589701777316-0.009369477741588365j),(0.09097352326088166-0.016513657077859175j),(0.1004934820608336-0.018609334388507075j),(0.11287651867933036-0.022406857283029716j),(0.09684810805191238-0.016468540119135577j),(0.10495786603541479-0.011685889030863685j),(0.06714157211013545-0.0021493663950073673j),(0.06875992166851042+0.009173952814710328j),(0.030042538410724053+0.010316223497115359j),(0.02652652152407344+0.020370040894047717j),(0.0053816946478462855+0.010478005513668839j),(0.0006061390755940978+0.014740944113624426j),(-0.0016450948231202897+0.004180893604866901j),(-0.004089713641102962+0.003395653846605448j),(-0.0010097882475891924+0.0005524119684363393j),(-0.0007869321525431525-0.00019953861339544682j),(-2.9815355080420557e-05-0.0001809894605905268j),(-1.1372816787824076e-05-0.00017363160158694282j),0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,(7.426072713175594e-05+0.00024040043220918114j),(7.426072713175594e-05+0.00024040043220918114j),(0.0002199412216753174+0.000363998294078133j),(0.0003954048868381126+0.0007409626708153703j),(0.001578938583635388+0.0013969088500422216j),(0.002168887559414728+0.0018563492955416473j),(0.005000036200715132+0.0025904293587461205j),(0.007364849473825799+0.003178361136153215j),(0.014469061271214612+0.0035034281076454263j),(0.01954892217459393+0.003052177160618191j),(0.033125323080595716+0.0019213557988433134j),(0.04199262376226157-0.001187680617680608j),(0.0612773568928016-0.0047223926016961085j),(0.07332311768233238-0.010885709084859104j),(0.08887516813172265-0.015008299733791221j),(0.101581243335168-0.020841812979719647j),(0.0989000877391943-0.01948655581899457j),(0.10919574539498808-0.019323305151181927j),(0.08271630331212594-0.010744472746369771j),(0.08795335108922886-0.0026233299618595427j),(0.049344709845098755+0.004263654570246358j),(0.04856915615582154+0.015415167935313742j),(0.017891637059434435+0.011788964264290025j),(0.01374553010843224+0.018988761139127376j),(0.0011799769766792216+0.008409222654382124j),(-0.0023265385872916276+0.010391448120333973j),(-0.001773192435295901+0.0023423969619956317j),(-0.003275630850542039+0.0015237092387395997j),(-0.0005108423034884653+0.00010303517421877257j),(-0.00030233683845901673-0.0004707601057454414j),(-1.9616058213410997e-05-0.000107255418281731j),(8.242922836507227e-06-6.637692861442803e-05j),0j,0j,0j,0j
0j,0j,0j,0j,(2.3833343374409778e-05+0.00016846299050633713j),(2.3833343374409778e-05+0.00016846299050633713j),(0.00010607708227739308+0.0002668848557797715j),(0.00018290898953674727+0.0005373517940010539j),(0.0009401776264137833+0.001110285435293934j),(0.0012831686564119442+0.0014811832443168845j),(0.003170484961484344+0.002213645129794431j),(0.00475841833515732+0.002870362173178035j),(0.009799008922094135+0.003500574476178801j),(0.013480418252908612+0.0036450300054135893j),(0.023711556007954028+0.0032503697490688928j),(0.03069627713073769+0.0015187619263693627j),(0.046960153923659015-0.0010759715961080512j),(0.05733388796907963-0.005728345088822061j),(0.07485143722028387-0.010277428703750952j),(0.08701185797823623-0.016539072059321706j),(0.09387668971031886-0.01868253401568906j),(0.10525092859635105-0.021938210345302626j),(0.09121541481569448-0.01683349022253892j),(0.09917055708519897-0.01292212472708795j),(0.06676399607364512-0.003906372283840232j),(0.06939130823194126+0.005950708217484029j),(0.03410599334863162+0.008766274576444119j),(0.03169305409294521+0.0184852503946787j),(0.009472376206759316+0.011318916849114225j),(0.005307655456501788+0.01590062151479664j),(-0.0008434874305151833+0.006113074463874463j),(-0.0032671435626130682+0.0065426682707903135j),(-0.0015060426934855417+0.0011344661256717317j),(-0.002259886499286878+0.0004534466159104367j),(-0.00022810596528317098-0.00010791462714288179j),(-9.039502000860678e-05-0.0004626913465837239j),(-9.247253484767886e-06-5.157437100276979e-05j),(1.748974618561486e-05-1.4803203684895328e-05j),0j,0j,0j
0j,0j,0j,(-2.1092369617650255e-06+0.00011504376120202386j),(-2.1092369617650255e-06+0.00011504376120202386j),(4.1224030746832364e-05+0.00018986792591022426j),(6.361196454429998e-05+0.0003786899193229648j),(0.000532466129481655+0.0008544586218371661j),(0.0007206189986495151+0.001139568055216935j),(0.0019572144653230155+0.0018115086761310772j),(0.00299367543879205+0.002437160466265906j),(0.006530759382481646+0.0032286046327990973j),(0.009137942532321508+0.0036885958070991013j),(0.016718007338339835+0.0038719048921279273j),(0.022085412661348162+0.003140985771954634j),(0.0352123968015087+0.0015118232832748047j),(0.04383296994179256-0.00165756582264265j),(0.06068986508052565-0.005663997620431448j),(0.07182862121365524-0.011288700225753432j),(0.08419190067782406-0.01537498560772336j),(0.09582970129460851-0.02045416592259153j),(0.09265279226879855-0.019383001781898918j),(0.10236315466603393-0.01934414889109205j),(0.07950650411850572-0.011663169680126893j),(0.08510425473928286-0.004780005678187396j),(0.05108984414025404+0.0024253377406324547j),(0.051537161007964974+0.012553852701345953j),(0.022004606005870602+0.011054569972403571j),(0.018702050614057227+0.01869941311314889j),(0.004054002816997398+0.009646529266558044j),(0.00033179051623324234+0.012168004724816297j),(-0.0015720792542271303+0.004024258235561143j),(-0.003166899716127911+0.0036002598448687424j),(-0.0011101882862867122+0.00042464987117764893j),(-0.0013712893365134305-8.976938938463383e-05j),(-8.840266294095189e-05-0.00016773682955062335j),(-8.98749460039002e-06-0.0003431980956331259j),(-1.0027316120032448e-06-1.8985075282880047e-05j),(1.849212431856316e-05+4.181481735464309e-06j),0j,0j
0j,0j,(-1.3709066153519847e-05+7.660090998571423e-05j),(-1.3709066153519847e-05+7.660090998571423e-05j),(6.565519750400709e-06+0.00013140653075905062j),(1.3347544542141884e-06+0.0002598929458491605j),(0.0002788640372171067+0.0006396397904866886j),(0.00037316996885249223+0.0008506331399729021j),(0.0011649328187130978+0.001431305514941421j),(0.0018191441517905478+0.001977398400176301j),(0.004266745646798757+0.0028141725823222397j),(0.006068431449891818+0.003402325254581352j),(0.011600229058680718+0.003977454110351443j),(0.01563032926098389+0.0039069743248888j),(0.025922339577281055+0.0031457282395135817j),(0.032896977861033204+0.0012401485019175476j),(0.047795744342056995-0.0018355105638971003j),(0.05759675466645027-0.006287301436872283j),(0.07225408754394255-0.010941052995088555j),(0.08348304632873527-0.016505460386408034j),(0.08836465356369015-0.018628267670668795j),(0.09893838306215412-0.02146167655374204j),(0.08634125671698986-0.017011315363243955j),(0.09413676280166547-0.013738084912144745j),(0.06587932210075537-0.005323080641908643j),(0.06922027810988657+0.0033119791403837385j),(0.03706165411938114+0.007245695339459927j),(0.035841587467040165+0.01647074886795214j),(0.01302014668902006+0.011411283974586996j),(0.009446637699415068+0.01682806983797185j),(0.0008667743473518713+0.007475092858851372j),(-0.0021460155723984796+0.008548977422151239j),(-0.0016203654656967827+0.0023682880039648793j),(-0.002612415932225632+0.001620853150016322j),(-0.0007303958028548759+5.575588114503413e-05j),(-0.0007274154352458715-0.0003100452250785503j),(-2.731574414910037e-05-0.00015037660490817468j),(1.833600541722323e-05-0.00021076008891610643j),(3.6390299080266937e-06-3.705895348570804e-06j),(1.4852876252249265e-05+7.887195173524333e-06j),0j
0j,(-1.734196325405517e-05+4.968991270484539e-05j),(-1.734196325405517e-05+4.968991270484539e-05j),(-1.009234012547393e-05+8.85675835087368e-05j),(-2.7315020428857972e-05+0.00017381220257782831j),(0.00012651320517697721+0.00046714700848287484j),(0.00016632928320630216+0.0006184040728175341j),(0.0006580791416511318+0.0010978654516784845j),(0.0010540371688130751+0.0015476649913311101j),(0.00271857502463838+0.0023493965856601177j),(0.0039307031561893226+0.0029504315844448054j),(0.00790677999369876+0.003746172440149127j),(0.0108645047328685+0.004068317278255936j),(0.01875688342780539+0.003997422978098351j),(0.0242613887073152+0.0030665598113934094j),(0.03677938481203058+0.0010107578702359286j),(0.04511765243927453-0.0021720431559595892j),(0.059869420777204224-0.006448397454377656j),(0.07026339635589866-0.011597991689903851j),(0.08015920312766629-0.015589691892846869j),(0.09093636262320537-0.020057648724848536j),(0.08738743848767518-0.019203784554169115j),(0.09659533087070975-0.019235994615285492j),(0.07648298434039623-0.012320273909595914j),(0.08229248173320794-0.006405714036182066j),(0.0520353778633796+0.0008138115421196544j),(0.05337541013644944+0.009980972636547965j),(0.02537143838585192+0.010122649358057803j),(0.02303712015646471+0.01773999738444824j),(0.0067745268595456225+0.010386384290281474j),(0.003378185345365678+0.0137864138532159j),(-0.0007778151925566159+0.005317446647244269j),(-0.0030012464213621678+0.005480856174051569j),(-0.001370237620401989+0.001200625388339j),(-0.0019356144935125058+0.00045322272022308856j),(-0.000430300449319538-0.00010426444771541988j),(-0.0003233301954916782-0.0003487378910754041j),(-3.3580886401034117e-06-0.00010627778668970519j),(2.5512642560568622e-05-0.00010811379436366892j),(5.026631311947405e-06+1.625568794195457e-06j),(9.826144121836748e-06+6.26156321258847e-06j)
