,0
0.0,0.0
0.5,0.9999948673540054
1.0,0.9999891684293906
1.5,0.9999859274834738
2.0,0.9999842335863107
2.5,0.9999827230547719
3.0,0.9999801797704692
3.5,0.9999766730822653
4.0,1.0001534547838054
4.5,1.0005263440782544
5.0,1.0013095527912237
5.5,1.002784355083861
6.0,1.0054021298586808
6.5,1.0095637786127194
7.0,1.0152268894681007
7.5,1.021651400740702
8.0,1.0274335487471353
8.5,1.0307986264441618
9.0,1.02995432989317
9.5,1.0233514646905608
10.0,1.0098387274966942
10.5,0.9887509685705946
11.0,0.9599474942945837
11.5,0.9237946776656857
12.0,0.8810914284501308
