 (1.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.231705421034944431e-01+9.811235762367942481e-02j), (1.940508464704095853e-02-2.339872081290970962e-02j), (7.647937752580546110e-03+1.151651384854156246e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-5.157672279974366038e-03-2.124535683070253884e-03j), (-1.008674639332256826e-03-4.010073024061976219e-05j), (-1.993905492313389843e-04+2.011735705088630016e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-4.263368534204853115e-03-3.853156201095327832e-03j), (9.428130488803596401e-04+1.013266959555290340e-03j), (-6.370850016918848217e-04-1.004819406771689577e-03j)
