 (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (4.478314382628103718e+06+5.568897101713785730e-05j), (5.872770237530504353e+06-2.232942587940504309e+06j), (-1.118743836587131955e+06-5.616309688895655563e+05j), (-4.478314382647436112e+06-4.374253442402201310e-05j), (2.924004588026035890e+03-7.370359056630076841e+06j), (2.072007515293274540e+06+6.896349562520741019e+05j), (-2.143943365944885183e+06+2.794699489619373344e+06j), (1.117418588150115218e+06+3.656380559486086480e+06j), (9.376542046938097337e+05+1.674341519938559737e+06j), (-7.728279559993745759e+06-4.297775922978570685e+06j), (7.556695384214349091e+06+1.049575488134888932e+06j), (6.670325904549018014e+05+7.689866811037015868e+05j), (1.233280232764503220e+06-6.130553341328863055e+06j), (5.278143185401570052e+06-1.744758326831102371e+06j), (4.340857802619319409e+06-2.840714732445769943e+06j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (5.872770237460614182e+06+2.232942587986857630e+06j), (3.557540878973524272e+07+2.457394224114429007e-05j), (4.781850434406631626e+06-2.056110524254124844e+06j), (-5.872770237365561537e+06-2.232942588096886873e+06j), (1.574400138148980588e+07-5.718283289657409303e+06j), (9.181062588222637773e+06+7.133232362737874500e+06j), (8.504100282974064350e+06-5.894399090832004324e+06j), (1.063435468673454598e+07-2.591394307539827656e+06j), (9.678485816279545426e+06-4.015855287394131883e+05j), (1.695317997917684168e+07+5.712087027449040674e+06j), (5.927135695706671104e+06+1.031318849648415111e+07j), (1.093735685981141962e+07+4.538306103259617463e+06j), (1.828820058804829419e+07-6.170257924321592785e+06j), (1.945938948364546522e+07-2.078311137115532067e+06j), (9.634295244596518576e+06-5.941025042172513902e+06j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.118743836694261292e+06+5.616309690260082716e+05j), (4.781850434451481327e+06+2.056110524213852594e+06j), (1.819759378703755885e+07+1.343384194521546573e-05j), (1.118743836697891820e+06-5.616309689980610274e+05j), (1.917641034198934957e+07+5.487754339228682220e+06j), (1.852305975662944466e+07-1.517974656328473240e+06j), (9.146453125389987603e+06-6.122325225210969336e+06j), (1.025781940356481262e+07+1.231697537056859583e+06j), (1.004085097817897424e+07-2.286314154499373864e+06j), (9.032786257891900837e+06-2.407531458223997150e+06j), (1.253026084379302152e+07+7.224060605631119106e+05j), (4.809500615782448091e+06+3.716068344707297627e+06j), (1.025310628541846061e+06+3.549571590352751315e+06j), (8.610639935358006507e+06+7.611773529799070209e+06j), (5.152318232737896033e+06+2.871512279655012302e+06j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-4.478314382661151700e+06+1.682942608739457552e-05j), (-5.872770237167819403e+06+2.232942588214694988e+06j), (1.118743836689718999e+06+5.616309691374219256e+05j), (4.478314382702887058e+06-3.050589967490034171e-06j), (-2.924004605470084243e+03+7.370359056792827323e+06j), (-2.072007515188681195e+06-6.896349559170820285e+05j), (2.143943366243442520e+06-2.794699489433935843e+06j), (-1.117418588359586196e+06-3.656380559452659916e+06j), (-9.376542043085927144e+05-1.674341519881251967e+06j), (7.728279560211347416e+06+4.297775923044636846e+06j), (-7.556695384081898257e+06-1.049575488139912486e+06j), (-6.670325900946259499e+05-7.689866809043554822e+05j), (-1.233280232694208622e+06+6.130553341606339440e+06j), (-5.278143185039225034e+06+1.744758327009748435e+06j), (-4.340857802678138018e+06+2.840714732749540824e+06j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (2.924004566057969896e+03+7.370359056745710783e+06j), (1.574400138147179410e+07+5.718283289730230346e+06j), (1.917641034193861485e+07-5.487754339022206143e+06j), (-2.924004536183111213e+03-7.370359056774641387e+06j), (2.251015205620106682e+07+1.858322130710279223e-05j), (1.492276227449682914e+07-4.278286875462983735e+06j), (1.295115244249088690e+07-1.928196528092267225e+06j), (1.490108242898167111e+07+6.918097267057446297e+05j), (1.007788524138474837e+07+2.694854238538888283e+06j), (6.596941352055151947e+06+9.073803773079856765e+05j), (1.664228617733185552e+07-5.881313164466287009e+06j), (1.468368785507063195e+07-3.727568652000428643e+06j), (1.402982878899586946e+07+4.265402529150594026e+06j), (1.401254082760985941e+07-2.579856642657608725e+06j), (3.248438241849429905e+06+9.340303589124422520e+06j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (2.072007515171144158e+06-6.896349562003822066e+05j), (9.181062588114291430e+06-7.133232362784038298e+06j), (1.852305975661740452e+07+1.517974656263909070e+06j), (-2.072007515134109184e+06+6.896349561156254495e+05j), (1.492276227452547848e+07+4.278286875662941486e+06j), (3.429215933743427694e+07+1.714856362460659260e-04j), (1.025250082869873010e+07-9.271526539215240628e+06j), (1.201517232694545574e+07+6.815797807896363549e+06j), (-2.268041146594475955e+06-3.258652390592258424e+06j), (4.875379045849831891e+05-3.583986419741323218e+06j), (6.652278232848197222e+06-5.004513530958396383e+06j), (1.079132431264674664e+07-5.975219471796283498e+06j), (1.095623615106412396e+07-1.182779687501024920e+06j), (4.959636728585820645e+06+1.452982143940852489e+06j), (5.966661373290957883e+06+4.751615611055325717e+06j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.143943366054404061e+06-2.794699489572294056e+06j), (8.504100282989325002e+06+5.894399090881093405e+06j), (9.146453125416973606e+06+6.122325225328161381e+06j), (2.143943366072781850e+06+2.794699489523091353e+06j), (1.295115244250967167e+07+1.928196528094438603e+06j), (1.025250082861410826e+07+9.271526539254201576e+06j), (1.070535406455461495e+07+7.932009845550583933e-05j), (1.290688372799223289e+07-3.126292048086644150e+06j), (6.495092734298053198e+06-2.456761076770622167e+05j), (1.310427570293610217e+06+2.144440654878636356e+06j), (9.833073316946359351e+06-1.776716388548783958e+06j), (9.814181845576409250e+06+7.810840939842014574e+06j), (9.701786643918050453e+06+8.683796346618028358e+06j), (9.961949173571338877e+06+5.916446128432963043e+06j), (1.586231838142295927e+07+4.532435024761690758e+06j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.117418588209458627e+06-3.656380559436703101e+06j), (1.063435468666001968e+07+2.591394307529585436e+06j), (1.025781940352278948e+07-1.231697537060014438e+06j), (-1.117418588336697081e+06+3.656380559470077511e+06j), (1.490108242893408425e+07-6.918097266086834716e+05j), (1.201517232710922323e+07-6.815797807823686861e+06j), (1.290688372795224003e+07+3.126292048098557629e+06j), (2.267290194121315703e+07+9.500033199180861541e-05j), (4.040642825732060708e+06-2.132745903948160354e+06j), (1.629463359413396381e+07-1.284248631149596302e+06j), (4.676017208536327817e+06-4.654239589642966748e+05j), (8.955139531165417284e+06-7.592361889280310133e+05j), (1.050781757509328425e+07+7.012475291662947275e+06j), (1.564643163816025481e+07-1.205053800636002270e+05j), (3.942535063519282266e+06-9.481331406517136842e+06j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (9.376542045089519816e+05-1.674341519910213538e+06j), (9.678485816195446998e+06+4.015855287146742921e+05j), (1.004085097831956670e+07+2.286314154508715495e+06j), (-9.376542044192611938e+05+1.674341519950247835e+06j), (1.007788524134443328e+07-2.694854238401208539e+06j), (-2.268041146516622510e+06+3.258652390651480295e+06j), (6.495092734270924702e+06+2.456761075926951016e+05j), (4.040642825750061776e+06+2.132745904042060953e+06j), (1.280310439686044492e+07+1.124929594808210813e-05j), (1.047813088241924345e+07-1.003267341910571977e+07j), (8.150854979012137279e+06+1.393050590782787884e+06j), (8.300693732657044195e+06-1.319789803321018070e+07j), (1.227027934924113378e+07-4.423840234139754466e+04j), (1.188498264525173977e+07+3.070782929535732605e+06j), (9.544017818922664970e+06-9.949565412829341367e+06j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-7.728279560135697946e+06+4.297775922959043644e+06j), (1.695317997912092134e+07-5.712087027399932966e+06j), (9.032786257944574580e+06+2.407531458132711705e+06j), (7.728279560216244310e+06-4.297775922989583574e+06j), (6.596941351997175254e+06-9.073803772748005576e+05j), (4.875379045968707651e+05+3.583986419794419315e+06j), (1.310427570244932780e+06-2.144440654912574217e+06j), (1.629463359423702769e+07+1.284248631264643744e+06j), (1.047813088253078423e+07+1.003267341902707145e+07j), (3.565768608549014479e+07+2.444507915215560814e-05j), (8.311729616223930381e+06-2.974155688855590299e+06j), (1.527463198935960047e+07+5.099537465153079480e+06j), (6.929138578350859694e+06+4.995603075061354786e+06j), (4.154815108523075934e+06+3.429263169503898360e+06j), (3.380871062292372808e+06+1.556424348585767671e+06j)
