-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.41801059285590925-0.016426629918489467j),(0.5819916124857863+0.0164230095527632j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.20415746042979974+0.015460325999119541j),(0.213851163593726-0.03188343268604465j),(0.19109820880810555-0.014806475332866623j),(0.3908972289265399+0.031226497171741835j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.13066183849292037+0.0018750998532967018j),(0.07349543514599735+0.013586268890991352j),(0.23289179530736356+0.026837086887579867j),(0.1720571250784415-0.07352480643732236j),(0.13598798661815276-0.0010679765169289684j),(0.25491114047354047+0.03229137576655319j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.08464106470883916-0.0009572700685878046j),(0.04602053574324818+0.002832805637333977j),(0.15989004791939895+0.026486252236269756j),(0.14649591992059066+0.01393813084500178j),(0.1385037178179857-0.01367031744183828j),(0.1695418617634722-0.06092201675121814j),(0.0807780775237731+0.002320716404466467j),(0.17413426424039988+0.029968826101042824j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.05611124441942301-0.0010200628788534433j),(0.028529788873909983+6.301093601523847e-05j),(0.11176411604415656+0.0024426198352874447j),(0.0941455786808642+0.02687724110488659j),(0.15524037360749343+0.013637021269445842j),(0.12975915282110426-0.013367689695752838j),(0.1177355789905164-0.003564585213924318j),(0.13258388603928187-0.05503706355348294j),(0.05708232185211462+0.007487919947820575j),(0.11705272257487356+0.02247962049848949j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.03698409687902501-0.0003260647355186188j),(0.01912716084638106-0.0006938390176148797j),(0.0859456762124986-0.004843962911009764j),(0.054347661643782075+0.007349949166359598j),(0.13151757665518746+0.01264403698321218j),(0.11786780564086817+0.027870987845131093j),(0.1266498983685171-0.013597172808332579j),(0.12084525471266923-0.0033345003309282186j),(0.08190815330482056-0.011394013748593347j),(0.10775789578920614-0.03615534655307298j),(0.03843752967502794+0.005119514538013169j),(0.07861571478366981+0.017359323608568816j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.024197544416149148+8.599598810550617e-05j),(0.012786565213135415-0.00041194388222003965j),(0.06321222081072961-0.006045737976767921j),(0.0418602918135652+0.0005081300795734005j),(0.10357622623966234+0.009541708588791957j),(0.08228867882866502+0.01045304604203931j),(0.12610138889829586+0.007247609931021733j),(0.11841653523009193+0.00702719118730768j),(0.10195213273553491+0.0017313260111363718j),(0.10080140458527331-0.016459508154628422j),(0.0611997654422262-0.004250913520029094j),(0.08499555294868426-0.026785340105084366j),(0.025998808289755412+0.004554624430791601j),(0.052617289963961485+0.012804178727978946j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.015766975748312567+0.000223865318572938j),(0.008430573944965686-0.00013778879484745626j),(0.04546377927836985-0.006368547069994294j),(0.030534803395019752-8.897691669096158e-05j),(0.08395724551905596+0.001315227201616329j),(0.06147886538493569+0.008735115778628256j),(0.10987973920360757+0.00849156573008066j),(0.0985102559552923+0.009209712933358045j),(0.11078024654785834-0.0076926911994355165j),(0.10958878975114779+0.016451387978653798j),(0.07911374895964382-0.00936366006866949j),(0.08288757289426896-0.011346637562412422j),(0.04419846834403049-0.004179721118619653j),(0.066795852824024-0.018051313269775104j),(0.01751765578768028+0.0032471847702142216j),(0.03509989868577887+0.009556653778302008j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.010265915655864943+0.0002323761555306679j),(0.0055010614683701445-8.457959442914538e-06j),(0.03264427461837321-0.005539808579201653j),(0.021249952124537622-0.0009664146856396762j),(0.06625905730568299-0.0007416674860857083j),(0.04823264355587375+0.0019682167376113917j),(0.09249771968999865+0.0082461199304651j),(0.07886073870763043+0.008981137348048613j),(0.10816228177921267+0.0022976345762757812j),(0.10112836092122303-0.0007798977167398791j),(0.09024190994440845+0.0034572743741552955j),(0.0984609035180401+0.0036306099744280174j),(0.06026795004069689-0.002174359705609819j),(0.06681813989184691-0.013352072253789355j),(0.03307437327034096-0.0017110820604149743j),(0.05123912635469098-0.013093372093670414j),(0.011656907034857476+0.0025209212797390494j),(0.023443179260848625+0.007035507448167966j),0j,0j,0j,0j,0j,0j,0j,0j,0j
