-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.4058917204128002-0.06714244993985483j),(0.5941111562708722+0.06715112862125881j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.2274424840230454-0.01667768662289086j),(0.17844760215676972-0.05046636405977929j),(0.36505092647938076+0.008291462673601056j),(0.2290629327944478+0.0588674590693358j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.1413867955178806+0.005024962756062975j),(0.08605516995117343-0.021704627238417193j),(0.19202091171663957+0.012813495991116822j),(0.3514773994870316-0.054991599719641j),(0.20799870788189592+0.03194146209694866j),(0.021065529213292397+0.026930665430139725j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.08776411474609692+0.012131632321025789j),(0.05362205344354477-0.007107781462029117j),(0.12672473673155854-0.002690143587093725j),(0.15135009615286085-0.006201671017879065j),(0.20144742983757236-0.017193013052953898j),(0.35802953533247656-0.005857394292167345j),(0.06593911443268319+0.022777079564828332j),(-0.04487331105620624+0.004155224756313917j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.05449603304402296+0.014180186374540894j),(0.03326784679704843-0.002049189481183325j),(0.0859687584771957-0.004872567670791238j),(0.09437789084191167-0.004925773658313736j),(0.16060030790772342-0.009634243678527016j),(0.19219612945954156-0.013760870118122832j),(0.16227664383962265-0.028586912623880825j),(0.2616936086421996+0.04550792161733823j),(-0.005786073575861908+0.008883104518809963j),(-0.039087388803180495-0.004727872283594138j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.033763970802732766+0.01298185858557252j),(0.020731963709558623+0.0011978729641663219j),(0.0639201185007625-0.007246811636810484j),(0.055316209736824884+0.0003246665588882529j),(0.12203894457273703+0.002269655546032854j),(0.1329391353905559-0.01682993551569212j),(0.15650619521673031-0.00791119878700673j),(0.1979655362550637-0.03443594147984329j),(0.11954469406367901-0.013020551457389394j),(0.1363642827761152+0.06741375566480862j),(-0.022204969255170466+0.0005093754805351898j),(-0.016882608712897054-0.005237681358837707j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.02060930210972206+0.010699695857974274j),(0.013154626712871466+0.002281871941600685j),(0.04733862691892459-0.006620779935184503j),(0.03731321554517872+0.0005716300159530745j),(0.08792066606212172+0.0013825148755586122j),(0.08943434037972739+0.0012112039332711879j),(0.14218471787732723-0.0036490172865312224j),(0.14726069277072168-0.021091729000338934j),(0.14454516857224448-0.00989429598325878j),(0.1729647156566669-0.03756139299548923j),(0.07511460441293144+0.012417751214485791j),(0.03904536805573122+0.055507331767819315j),(-0.015036821659280403-0.0022484298423032017j),(-0.001845883322912096-0.002989578432097048j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.01239684423689693+0.00832851594668762j),(0.00821245513441251+0.0023709935480771376j),(0.03484647410106938-0.004680027557623229j),(0.02564655185643793+0.0003409330839575402j),(0.06311842879079795-0.00013901207716927703j),(0.062115159706032694+0.0020928014341204376j),(0.11639062216968502-0.0035228855227155257j),(0.11522821693154606+0.0010847695040333788j),(0.14299874360048934-0.002191702925906879j),(0.14880716329460048-0.028793565765331437j),(0.10937396429406676-0.009434060876905898j),(0.13870590965139235-0.01570901999610783j),(0.03455789242107174+0.024657568937286434j),(-0.010549345918701037+0.028602540379548867j),(-0.005150173699930865-0.0020464473236326683j),(0.00330427488823363-0.0009432582776826692j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.007329809262472383+0.006215804089925704j),(0.005067046547809548+0.002112591437344692j),(0.025270229335236274-0.0025560762429019755j),(0.017788515562302248+0.00024691255282968173j),(0.04437452877947347-0.0008680890754121807j),(0.04439031415751475+0.001069842347576537j),(0.09233843357214641+0.000131613444201646j),(0.08616709251616911-0.001562049190393508j),(0.12180283557937575+0.004984941671941301j),(0.13642404955575105-0.00609184779015054j),(0.12321488622403891-0.008388825064935072j),(0.1349661485132979-0.02983799147814349j),(0.07575067515405767-0.006483715011043328j),(0.09751407718291395+0.01543274839148912j),(0.006987540685505258+0.021013378245425096j),(-0.022687332383529095+0.005543187720618154j),(0.0002970922890142443-0.0010458638549166288j),(0.003007200367677963+0.00010259940862263116j),0j,0j,0j,0j,0j,0j,0j,0j,0j
