,-10.0,-9.5,-9.0,-8.5,-8.0,-7.5,-7.0,-6.5,-6.0,-5.5,-5.0,-4.5,-4.0,-3.5,-3.0,-2.5,-2.0,-1.5,-1.0,-0.5,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0
5.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0040881264463337565-0.000658288450017604j),(0.0027430513838384144-0.00024147491810174658j),(0.016723260479360215-0.0047488823324938565j),(0.01377850035807899-0.002987252073153028j),(0.04738357153554701-0.01130672582814849j),(0.04040906800885353-0.0038213432819127462j),(0.0935535538939095-0.021418960580633414j),(0.08374705701742949-0.0103401685058542j),(0.12701029743393635-0.026874143069117267j),(0.12158418646164679-0.013151284000880175j),(0.12354985568951803-0.015172006814678658j),(0.12373172109079306-0.0055408604033792795j),(0.0838987467970907-0.002610657591419317j),(0.0881956932095869-0.00013032377272009367j),(0.03921116329212471-0.0006274347859288791j),(0.042834795050715586-7.665375932498563e-05j),(0.011570035668265482-0.00039037128407325616j),(0.012702380803323159-0.0009420765898911197j),(0.001636099401352877-0.00017110248004103263j),(0.001849671929584832-0.00033604524462271725j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
5.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.002445786264914386-0.0004513016013547699j),(0.001642329928448177-0.00020699939006716002j),(0.010548229363859315-0.003209869707827698j),(0.008554950794001984-0.0021178139051777596j),(0.031936610534437054-0.007907237161579145j),(0.027041665748451526-0.0030060325872640135j),(0.07082435423610829-0.01628933307062832j),(0.06185173050291908-0.0076900767321742055j),(0.11008025069611024-0.02491511486935633j),(0.10282497812237171-0.012502912987954955j),(0.12491640460256544-0.021891524731883202j),(0.1221827932745709-0.009770496705887298j),(0.1032150386345607-0.008711674158322798j),(0.10512123403577865-0.0019391265689679162j),(0.06119175284299277-0.0012160699173390432j),(0.0654023768814782+0.00040742321170970735j),(0.02590489868967302-0.0005277785748774672j),(0.028151176066520768-0.00041586284502502594j),(0.006842199897940624-0.0003955066696157826j),(0.007496320767084304-0.0007177134137568542j),(0.0008686527202884757-0.00012547824066200548j),(0.0009810299306837757-0.00021056964513871399j),0j,0j,0j,0j,0j,0j,0j,0j,0j
6.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0014674796883873305-0.0003053208073167165j),(0.0009783002643867778-0.00014598827148371433j),(0.0065803314035470725-0.0021421106293923876j),(0.005270740259220747-0.0014272853584783997j),(0.021080311104643024-0.0055715397286949225j),(0.01784132055777445-0.0023103108150998464j),(0.05158986886606213-0.012104228549335534j),(0.04447893697946455-0.00566805211213451j),(0.09056350819251696-0.020940163896061764j),(0.08296322936899184-0.010176662602462642j),(0.11792914134438719-0.024032229481805927j),(0.11264275825015485-0.01145364257450893j),(0.11435444544878476-0.015500066256457138j),(0.11327714866590956-0.0058841014114938365j),(0.08204890014258792-0.004686745009521768j),(0.08461249447859362-0.0004936204372532841j),(0.04336903794902361-0.0008889539242445617j),(0.04674690152546318+6.659132854420035e-05j),(0.016618596236452354-0.00044355413372549734j),(0.018078224163350507-0.0005915257127685437j),(0.004001150102815215-0.00031126745152677083j),(0.0043638502196903396-0.0005319472698751107j),(0.0004620677180325914-8.178671310426523e-05j),(0.0005189679712111312-0.000128784623990021j),0j,0j,0j,0j,0j,0j,0j,0j
6.5,0j,0j,0j,0j,0j,0j,0j,0j,(0.0008807935176366646-0.0002062256417456506j),(0.0005866822274054541-9.909958253862825e-05j),(0.004072615190402089-0.0014212008976862893j),(0.0032413012813509758-0.0009434049938589062j),(0.013798573772931986-0.0038642348673316j),(0.011647649757849609-0.0016571229274733826j),(0.036444143950130736-0.008706132962384943j),(0.031101356557056054-0.004091143559074194j),(0.07100667849542328-0.016342480400933126j),(0.06408560840744536-0.007640651120684246j),(0.10438716834500926-0.0226183394798062j),(0.09769379181053478-0.010678107865366649j),(0.11613747693970826-0.01971931484090192j),(0.11252963606303615-0.008617538672984615j),(0.09811328344252007-0.009625207333445126j),(0.09853992538570963-0.002982488232524303j),(0.0625510822810102-0.002386782374788732j),(0.06553079139963053-0.00012380231588181344j),(0.030066258611787258-0.0007713668272913152j),(0.03261502195552776-0.0003248042206128364j),(0.010430627360899492-0.000424327306986576j),(0.011429176629702591-0.0006270201062022745j),(0.0023057012512229104-0.00023362855103517386j),(0.0025202330761010454-0.0003801178504541792j),(0.00024504006028496677-5.118229404774259e-05j),(0.00027393098450204654-7.760332191284089e-05j),0j,0j,0j,0j,0j,0j,0j
7.0,0j,0j,0j,0j,0j,0j,0j,(0.0005274240233654805-0.00013795174043584237j),(0.0003533670417396597-6.827649481337642e-05j),(0.0025071405124697504-0.0009380127818384213j),(0.0019899920834472768-0.0006258044789877237j),(0.00896536478664643-0.002644094605431052j),(0.007545059328378279-0.0011719814881771852j),(0.025170933438702112-0.0062064978165754445j),(0.021310980566899843-0.0029841905484324985j),(0.05364250293954522-0.012316274058537793j),(0.04787250072829642-0.00573285001019699j),(0.08778794974907086-0.019592705955207085j),(0.08077687181692766-0.009128845369016193j),(0.11013892917143944-0.021306179215962638j),(0.10470347606622063-0.009861876557756572j),(0.10678555860231878-0.014633356412238965j),(0.10501962652163269-0.005920579170148798j),(0.07993324283061867-0.0057140365551715516j),(0.0817174185279105-0.0014038765044367873j),(0.04613706841984508-0.0014159227298922703j),(0.049149402321088324-0.0001347170497522729j),(0.020430369026749082-0.0006733032023909655j),(0.022278959087936843-0.000506582345105965j),(0.006476377096668063-0.0003966854757449948j),(0.007131613505496019-0.0005586799268855782j),(0.001318471416156609-0.0001697246029987118j),(0.001446811316497303-0.0002615824813971735j),(0.00012944339221950137-3.143829970393975e-05j),(0.00014448921148284147-4.616558866604695e-05j),0j,0j,0j,0j,0j,0j
7.5,0j,0j,0j,0j,0j,0j,(0.0003153356612619235-9.103130721447356e-05j),(0.00021208685013685512-4.692195435951867e-05j),(0.001536732603390685-0.0006151531843541444j),(0.0012165455744061779-0.00041460142088969133j),(0.005760409065312184-0.0017998641549943517j),(0.004843291928927601-0.0008328280736172526j),(0.017096880430215268-0.004436349196860004j),(0.014416095110335337-0.002182894037465353j),(0.03939425359959639-0.00917413011083138j),(0.034873118690136436-0.004314562402518484j),(0.070912442075137-0.016030204714702574j),(0.06436890395891517-0.007367078204917957j),(0.09904486521552255-0.020531021143312476j),(0.09262651522167742-0.00968145843970008j),(0.10833350761664683-0.01808871398429774j),(0.104625357546038-0.00813323096911306j),(0.09309814593777996-0.010186094252053498j),(0.09310404832356978-0.0037104549797523216j),(0.06278873026260479-0.0035113164123374762j),(0.06529408986063015-0.0006615359434722463j),(0.03324370434407051-0.0010688163516610451j),(0.03584347824219265-0.0002562686121694595j),(0.013610783634069173-0.0005713000560889244j),(0.01490555923933506-0.000545106574138548j),(0.0039857228838043775-0.00033315999344642525j),(0.00439487710509746-0.00044851534051214314j),(0.0007510882344085629-0.00011899843876094106j),(0.0008251720458208479-0.00017402638005108056j),(6.833019115076522e-05-1.9024123328035504e-05j),(7.615986883763138e-05-2.7141793805230603e-05j),0j,0j,0j,0j,0j
8.0,0j,0j,0j,0j,0j,(0.00018851555240233914-5.944907250705874e-05j),(0.00012681917767352508-3.1583128766826594e-05j),(0.0009378514633724238-0.0004009611777697158j),(0.0007397034015972988-0.0002723646468810007j),(0.0036611145677773226-0.0012186159746779487j),(0.003081583643353856-0.0005880712445317797j),(0.011457476161154403-0.0031565949747775035j),(0.009643991536475556-0.0015749033586431596j),(0.028255993973210148-0.0067725100744838165j),(0.02486677524205805-0.0032200864951429597j),(0.05530033391814975-0.012610457759765182j),(0.04965737020941388-0.005707872684406318j),(0.08509041697598432-0.018234189004079412j),(0.07846549342009829-0.008569692755860489j),(0.10364705474537778-0.019342004914801984j),(0.09850612297080731-0.009024476966386176j),(0.10057037284600207-0.01413201636254249j),(0.09867685949018105-0.005925861483147039j),(0.07779192532139168-0.0067640367242325404j),(0.07903711062273461-0.002065470917021206j),(0.047969885138371623-0.0022581603488266372j),(0.05055889941092781-0.0003750047419483879j),(0.023514202633152688-0.0008758742274318061j),(0.02552270312708508-0.00038505139495457883j),(0.008910916131640434-0.0004789794581562911j),(0.009792348312501484-0.0005195502888757205j),(0.002428107739817722-0.000255254098330914j),(0.002677408246965098-0.00033955539086690087j),(0.0004258625023193037-8.013091361643173e-05j),(0.00046764298304036324-0.00011292194490220602j),(3.6065569576303874e-05-1.1352734061320798e-05j),(4.009474426140332e-05-1.5789250899370562e-05j),0j,0j,0j,0j
8.5,0j,0j,0j,0j,(0.00011268656349565973-3.8594502023503826e-05j),(7.582841447558626e-05-2.0855096039218668e-05j),(0.0006103816011457495-0.00027139464695275265j),(0.0004079304729897079-0.0001657348235586608j),(0.002309008422722428-0.0008184854956597811j),(0.0019479758726135893-0.00040951106783150364j),(0.007587063372692674-0.0022166653942311057j),(0.0063806625566077855-0.0011190654818635565j),(0.01986081570111199-0.004943810677948688j),(0.017415684787651375-0.00238775769897417j),(0.041831250561534854-0.009684263570281165j),(0.03727125569786725-0.004356645016882791j),(0.07025808731597764-0.01535845398254346j),(0.06404662008851199-0.007169688390730525j),(0.09433961158500807-0.018834796867389127j),(0.08840083547925559-0.00889233165666325j),(0.10198847870040748-0.01679023148814088j),(0.09838736965114045-0.00751781511041933j),(0.08900410010096191-0.010385104257495843j),(0.08859931629899517-0.0039075541975407534j),(0.0627439735947443-0.004390431978794746j),(0.06465287959918113-0.001091771072509057j),(0.03575258995616716-0.0015262825066709325j),(0.03809942620619193-0.00033099570473574697j),(0.01633014580984326-0.0007115118820397488j),(0.017807403364266377-0.0004623668317801232j),(0.005750316394788083-0.00039701077967297006j),(0.006338873199650119-0.00045905572398492164j),(0.0014640835577441082-0.00018653388466392993j),(0.0016149878948627102-0.00024730000969034097j),(0.00024018048927077642-5.227634238816499e-05j),(0.0002635299484787271-7.19996973323899e-05j),(1.9015993811073766e-05-6.680863616294431e-06j),(2.1078984365306888e-05-9.10849731212791e-06j),0j,0j,0j
9.0,0j,0j,0j,(6.730656751629863e-05-2.4940902730829916e-05j),(4.537964177211359e-05-1.3653907298232405e-05j),(0.0003564782903206161-0.00017149892204826168j),(0.000270535643064596-0.00010468637184568568j),(0.001425577547938466-0.0005448884778808749j),(0.001197739741535819-0.00029714785504507445j),(0.004969911811497833-0.0015364660206343087j),(0.0041801454333612814-0.0007868449438636966j),(0.013730460819829805-0.003572601975759574j),(0.012023717655651061-0.0017600778451407958j),(0.030866786953713747-0.007320624277602187j),(0.027371609278789236-0.00330539514641876j),(0.05609616797497223-0.012468059485784638j),(0.05069269936153964-0.0057922217918246295j),(0.08231754743035252-0.01714073802477923j),(0.07622875220936677-0.008094406525763974j),(0.0981353618360634-0.017903867449397537j),(0.09327003113306272-0.00827569063105051j),(0.09538559767828761-0.013603681384266614j),(0.09325742345623343-0.005723738075372743j),(0.07571241014002598-0.00731062022302001j),(0.07640345605317299-0.0024424994131121685j),(0.04914268386481128-0.0028907825452614204j),(0.051308750332454786-0.000650527595186682j),(0.026071281740676012-0.0011128096283985983j),(0.028052872619495267-0.0003799781233829465j),(0.011139618251297683-0.0005762982018573786j),(0.012205248759342752-0.000476813693316615j),(0.0036667666451158463-0.0003187951482833349j),(0.004052903400141942-0.0003794036271199013j),(0.000874867417726002-0.00013276261347387855j),(0.0009659915999906043-0.00017451387550772982j),(0.00013476563560570678-3.344275259971862e-05j),(0.0001477813862440137-4.523859132006223e-05j),(1.0012480202886588e-05-3.8887077020596675e-06j),(1.106662701986771e-05-5.219852281837583e-06j),0j,0j
9.5,0j,0j,(4.0161557947420854e-05-1.6034927610508746e-05j),(2.7144791582155824e-05-8.906155160881606e-06j),(0.00021402997625777638-0.00011151363984793596j),(0.0001693294257948314-7.387542665067587e-05j),(0.0008873171548388423-0.00035438982518921675j),(0.0007757064131103869-0.00018616735817534406j),(0.003204607802278972-0.0010606613676231215j),(0.0027087873074466517-0.0005594105107068516j),(0.00936550346564258-0.002559069315532661j),(0.008201956761946353-0.001285580718234646j),(0.02232109940237187-0.005462948500358167j),(0.019742536336964638-0.002487200715266818j),(0.043530805132053985-0.009845206598743j),(0.03908634772398355-0.004562186075473438j),(0.0692442151103933-0.014806244176647913j),(0.06351153937963323-0.00694891957555566j),(0.09025234929493688-0.017574595224581345j),(0.08469083912232393-0.008211691613497368j),(0.09671421741985826-0.015774892644834032j),(0.09308653777458499-0.007027271360476513j),(0.08542717716475219-0.010403180414678581j),(0.08462277890870534-0.004068268082495599j),(0.062300705884573246-0.005029179147152325j),(0.06373589044828935-0.0015036833874095803j),(0.037569707263264536-0.0019865617359340433j),(0.03970529693115486-0.0004893800136343113j),(0.018664553727839286-0.0008686522159882468j),(0.020245214928232582-0.00042930676227983746j),(0.007480186476535219-0.0004696050095532313j),(0.008233639015618492-0.00044561492192386065j),(0.0023139504677747043-0.00024608672876956495j),(0.0025624082802267636-0.0002969191827209135j),(0.0005190034351176959-9.225232960792187e-05j),(0.0005734805301616073-0.00011988164857229996j),(7.528004101564875e-05-2.1078126487166963e-05j),(8.251443699670934e-05-2.804962408392224e-05j),(5.2642470999740415e-06-2.2458111196916045e-06j),(5.802444264833627e-06-2.9740766347914923e-06j),0j
10.0,0j,(2.3945836455203633e-05-1.0257303213823433e-05j),(1.621558756742249e-05-5.7777295374657365e-06j),(0.0001276327175116926-7.056308671101463e-05j),(0.0001019631966345834-4.959115042430918e-05j),(0.0005682684105043502-0.00022938965413451178j),(0.0004935039590637833-0.00012870177424491368j),(0.0020708699586961758-0.000725525508444132j),(0.0017545969189420125-0.00037178576150036767j),(0.006309807711682687-0.001822018171172666j),(0.005530721200969923-0.0009331533837918755j),(0.015865292718627074-0.004029361186547825j),(0.014018378821450614-0.0018550041363675932j),(0.032962355047961384-0.007619066480736508j),(0.02946549372160264-0.003536987444643003j),(0.05641333327755688-0.012308325203120968j),(0.051355960637428-0.005740673695039249j),(0.0797836855174432-0.016211515764619183j),(0.07407156545864775-0.007582620328748955j),(0.09346149332808153-0.016695578954439228j),(0.08874869617661875-0.007651236952750293j),(0.09096566732646737-0.013063189889246367j),(0.08865710883524877-0.005558323814252147j),(0.07372372700963109-0.00764864339128499j),(0.07401984051660174-0.0027483284236138367j),(0.049849674432690824-0.003460581331552765j),(0.05167828253526504-0.0009493178114716798j),(0.02813627181854756-0.0014316568094240995j),(0.03004969030752144-0.0004414169106326027j),(0.013147728279310815-0.0006963208142810244j),(0.014350783966899084-0.00044520862225044496j),(0.004956560920803128-0.0003794761685236097j),(0.005476299691395668-0.0003890520523390246j),(0.0014459852767999086-0.00018344918223483464j),(0.0016032305754461766-0.00022308967364343549j),(0.0003059589111341668-6.263370525912098e-05j),(0.0003380811385181517-8.05283774735451e-05j),(4.189452083911615e-05-1.310535970619233e-05j),(4.588450761202779e-05-1.7190336761128118e-05j),(2.764116973266318e-06-1.288400751169505e-06j),(3.038360922152143e-06-1.6856958906010196e-06j)
