,-10.0,-9.5,-9.0,-8.5,-8.0,-7.5,-7.0,-6.5,-6.0,-5.5,-5.0,-4.5,-4.0,-3.5,-3.0,-2.5,-2.0,-1.5,-1.0,-0.5,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0
0.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.26198879832480704-0.10083050369719339j),(0.7380126470085521+0.1008310385538031j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
1.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.06382116057742653-0.0456931300802197j),(0.06382116057742653-0.0456931300802197j),(0.21734973755385495-0.034279822419163906j),(0.5206598621060247+0.13511397451109117j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
1.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.04450040522334564-0.030327458483316607j),(0.04450040522334564-0.030327458483316607j),(0.05526956366990791-0.054494480472741066j),(0.118020537674946-0.05479814630865354j),(0.15528027000084513+0.0009012565624582289j),(0.36537620216634054+0.1342151484748123j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.038004266881837986-0.02130801513061606j),(0.038004266881837986-0.02130801513061606j),(0.0344069313563226-0.027032751769500252j),(0.09387557425329049-0.050168351471825134j),(0.05220815959497407-0.037324229452501134j),(0.1459062931959713-0.05233762167409221j),(0.112420889331+0.012189260361078263j),(0.2529524318479465+0.1220273416654249j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.025211639899026476-0.01634428363901191j),(0.025211639899026476-0.01634428363901191j),(0.029713370970803652-0.03294949034490886j),(0.06979235508978816-0.02485161183455206j),(0.04717144014029794-0.04556308563617571j),(0.10774567029826479-0.03477486377715493j),(0.06356506967655698-0.03190152682829623j),(0.14322422663421722-0.04029611857641889j),(0.091269485323955+0.05804164989688146j),(0.16168285305258345+0.06398587614768156j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.021237793138515343-0.00683649087248729j),(0.021237793138515343-0.00683649087248729j),(0.02249958977693557-0.01781478316587297j),(0.04476319300630707-0.014232548031477412j),(0.044740259755154464-0.03345442572019694j),(0.08529894879950956-0.021661617871425037j),(0.05690235434378892-0.03656150344446402j),(0.10984395690431062-0.014153188455189456j),(0.0780055508793142-0.01238724892864361j),(0.1261658479077244+0.002075646570707349j),(0.05774937246562799-0.005324613336012184j),(0.10393326024544379+0.06931012180251922j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.018765311053273528-0.0020937034131697932j),(0.018765311053273528-0.0020937034131697932j),(0.01733005243924695-0.013891433159148103j),(0.03446608518711978-0.007765014588730668j),(0.03441026245930508-0.026450648949914765j),(0.05788626493828989-0.022427925881639398j),(0.05256887929931901-0.031616015383483576j),(0.09193847477970979-0.01761176970127664j),(0.06519725452786367-0.01537479116081946j),(0.10967872985852721-0.010642996516329706j),(0.054383385930713665-0.01195373061311758j),(0.10207819463964939+0.007347360114746971j),(0.04440347968795214+0.011145853254988937j),(0.059529171499056587+0.05816458084836617j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
4.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.015998856770381965-0.000969844061014228j),(0.015998856770381965-0.000969844061014228j),(0.016173865765770373-0.01611343734312024j),(0.027940390502716517-0.001270548454333679j),(0.0309017861153846-0.017197186979633107j),(0.04418049628448838-0.013368579807148947j),(0.039260221894396645-0.03138801431034081j),(0.06891053193395348-0.027716813901849834j),(0.0508344469691174-0.0224921712998772j),(0.09882162166546846-0.011802160994512262j),(0.06060229318673899-0.023234533217448713j),(0.09317071190029327-0.009345855386996886j),(0.044695231333681265-0.006942039492211113j),(0.08132333270830394+0.009705681507215519j),(0.028548323159400826+0.02377642045354386j),(0.030980798832623592+0.03438823235072389j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
4.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.01117279800756838+0.0016242792171946038j),(0.01117279800756838+0.0016242792171946038j),(0.015413456916043254-0.008306515672494926j),(0.0199357473548685-0.0030421205614597664j),(0.02466266258973834-0.011622334913013833j),(0.0386625801319149-0.008921338952590355j),(0.031474511987967906-0.02424720201486629j),(0.05767056400580103-0.020597015301602104j),(0.043419298088359835-0.024507312332883228j),(0.0833375156435383-0.02208064958685356j),(0.052656657937604816-0.026376672092743757j),(0.10056091055509879-0.011840195538425902j),(0.046552851475096454-0.015056844544021501j),(0.08093538844487884-0.004622549683146429j),(0.037355591631299576+0.0012262464441709607j),(0.06487187703319332+0.015345066424425194j),(0.011580825747708115+0.010233442873672163j),(0.01940011590065263+0.024155157772434772j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
