,-10.0,-9.5,-9.0,-8.5,-8.0,-7.5,-7.0,-6.5,-6.0,-5.5,-5.0,-4.5,-4.0,-3.5,-3.0,-2.5,-2.0,-1.5,-1.0,-0.5,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0
0.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.26198879832480704-0.10083050369719339j),(0.7380126470085521+0.1008310385538031j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
1.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.07430581896177267-0.03228009389740415j),(0.07430581896177267-0.03228009389740415j),(0.21734973755385495-0.034279822419163906j),(0.5206598621060247+0.13511397451109117j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
1.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.04557280435333305-0.04189785316407707j),(0.04557280435333305-0.04189785316407707j),(0.07267530431734794-0.042747196698360995j),(0.1073002011591633-0.04949522825550311j),(0.1950185536897448+0.0606034908334971j),(0.32564120791851+0.07451082293120137j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.026019551322768845-0.029628752098066365j),(0.026019551322768845-0.029628752098066365j),(0.04475537745152342-0.035188823576694415j),(0.08150382458721922-0.045277087898063714j),(0.09617531160318184-0.0018146401070694602j),(0.15651177068703157-0.02862232258378617j),(0.10520651501158793-0.028163877910912127j),(0.22043412181375877+0.10267414182735407j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.023245876891167014-0.012979966311910658j),(0.023245876891167014-0.012979966311910658j),(0.037453175275375984-0.025030452693061013j),(0.0590654828325971-0.033458232896534774j),(0.05637279129108017-0.025583542389128012j),(0.11527385510834386-0.03183834288172808j),(0.0641747887537447-0.04401206242161572j),(0.14576297433419538-0.005640128469899829j),(0.08784438179468564+0.0062333493411335j),(0.13258867988188985+0.09644154092502016j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.023851227755804446-0.004487478221956562j),(0.023851227755804446-0.004487478221956562j),(0.03157254555275805-0.02187990198253725j),(0.04780121545411065-0.020513203584041514j),(0.049703062140025935-0.028013987809413155j),(0.08410447643618221-0.0255009604626821j),(0.06135392698151819-0.05578061067682224j),(0.10623746372351116-0.02865605324474415j),(0.06596077090398023-0.01662352974327367j),(0.13513612027475122+0.005770440832427608j),(0.03816950644657984+0.02033154204073729j),(0.09441780857986747+0.0761106033592232j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.019461722916083106-0.0025661512703329618j),(0.019461722916083106-0.0025661512703329618j),(0.02606282502334399-0.017450466324200116j),(0.04071041005083267-0.011289488635030086j),(0.0351806500965553-0.02899009391699898j),(0.06902605447822134-0.009853981574448884j),(0.04526580364747662-0.04610889111388318j),(0.09178776928008436-0.036847811803866364j),(0.056054740873713635-0.03215421258115331j),(0.10724251119132971-0.020648698821891735j),(0.0490835386004371-0.006442340100975438j),(0.11128285924872598+0.02636030563577696j),(0.034690600746270166+0.014060662749992493j),(0.059726222128759804+0.062050030900030737j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
4.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.014795051776035842-0.0011666734167034298j),(0.014795051776035842-0.0011666734167034298j),(0.022190747297637307-0.011658523295263743j),(0.03212828240960994-0.005939043237877468j),(0.02609821651261436-0.014768267030914578j),(0.048206450301872726-0.009758574473434362j),(0.042397644022495955-0.03566512047386065j),(0.07560509988350761-0.02133130011919015j),(0.04463312487753804-0.03504762158543489j),(0.09670064288711633-0.03490826338220953j),(0.043755996184388045-0.021802515031707114j),(0.09754730643073499-0.010029532608228397j),(0.04410058917175523+0.0004597079870417866j),(0.0897602908193032+0.03312367620646214j),(0.019709302593854495+0.013841896244996422j),(0.040016159466757656+0.048208167901331374j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
4.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.01016360686117625+0.0009916099431706024j),(0.01016360686117625+0.0009916099431706024j),(0.01866832131719324-0.006818914484277282j),(0.026607753311677033-0.0030007930031474735j),(0.022572092233659153-0.01715940708281569j),(0.04019023815321121-0.00018289916619523578j),(0.035601063070700524-0.027197634547918657j),(0.0598172041179382-0.020896400368614874j),(0.03762015612412742-0.03390819374531252j),(0.0831875740537696-0.017648160479687477j),(0.042638043746402364-0.027800547427506463j),(0.0898406611277938-0.025539580217670298j),(0.044795445906702716-0.012405832782143564j),(0.08985356078228127-0.0009954373335332015j),(0.03384900081785613+0.0051485763732180305j),(0.0689384530385796+0.0369274031467474j),(0.01495857392415281+0.010632914936455504j),(0.02505705660261507+0.03757518863068458j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
