,-10.0,-9.5,-9.0,-8.5,-8.0,-7.5,-7.0,-6.5,-6.0,-5.5,-5.0,-4.5,-4.0,-3.5,-3.0,-2.5,-2.0,-1.5,-1.0,-0.5,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0
0.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.4058892347867309-0.06714578337608375j),(0.5941103203378558+0.06714602586766857j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
1.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.16922678802226823-0.04175682070364928j),(0.16922678802226823-0.04175682070364928j),(0.3650510171694742+0.008280440241048844j),(0.22906093581808848+0.05886386634905384j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
1.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.09171743779465893-0.03139685276808394j),(0.09171743779465893-0.03139685276808394j),(0.17761259035332883-0.06764846864329423j),(0.32755553736729215-0.011438264011381278j),(0.20799847955435663+0.03193205797366646j),(0.02106406457043332+0.02692895982072896j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.05510085533964938-0.008045639991129533j),(0.05510085533964938-0.008045639991129533j),(0.07774193909331768-0.05010245727659389j),(0.16090284586762-0.03258694864065703j),(0.1898956777577946-0.040606313849862304j),(0.32866406609342147+0.04508245254884059j),(0.021110656639651046+0.022465148577602397j),(-4.670931968156489e-05+0.004463689517425706j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.03456762974874526-0.0010993146949177287j),(0.03456762974874526-0.0010993146949177287j),(0.05426340744863149-0.026441087325798578j),(0.10186644466143813-0.014259368278004631j),(0.14309725684899238-0.06287003677320738j),(0.18419877037305113-0.01719650966341886j),(0.1366042311761189-0.006559410805538721j),(0.19467653237816998+0.07592890441209305j),(0.01598315412792426+0.00643267926786917j),(-0.016029922538331902-0.0019689240689604853j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.02546028282227697-0.00024680614461918774j),(0.02546028282227697-0.00024680614461918774j),(0.051989720324201065-0.01818645119185506j),(0.05018965767993416-0.01008856476178252j),(0.10218470387487633-0.053473706097487396j),(0.15106335212505184-0.01731456334832053j),(0.13213593143882343-0.03602591878002846j),(0.1763056609682736-0.0016454049448904927j),(0.12666932050991123+0.01886233363540902j),(0.08418976057158814+0.06583795232933187j),(-0.010771626092265677-0.0005590006535216431j),(-0.005258386313389821-0.0014098522209843932j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.011996751569035105+0.003108628814526268j),(0.011996751569035105+0.003108628814526268j),(0.036308753030110975-0.011749997627159548j),(0.05074751265385137-0.005419432017056183j),(0.06729524991172826-0.02825993643123912j),(0.08734057680504952-0.034968518565558326j),(0.11196082550795543-0.029936048469860314j),(0.16635495874969025-0.028975055761578918j),(0.13837872758940722-0.015286429254060787j),(0.1574190098544016+0.015990971327358154j),(0.06201731511790947+0.0318850309339815j),(0.012670044389031538+0.03497851156404077j),(-0.005611527116750913-0.0006372881369866892j),(0.0003530966190757371-0.0007724645169793516j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
4.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.007826691478929422+0.0030795123412094053j),(0.007826691478929422+0.0030795123412094053j),(0.021185191674232974-0.006241801294289395j),(0.029796082224701665+0.00018501909537721895j),(0.04967460299480909-0.016385025672957954j),(0.07474170997708782-0.013997258866978043j),(0.08149129471473131-0.027507838132063964j),(0.12367303870678288-0.034402139043728415j),(0.12136488148060876-0.02917423737243151j),(0.1680561766912644-0.02200708076478419j),(0.10495468789248233+0.0049489644725697075j),(0.11326680018261348+0.035846577202098016j),(0.021764649306117195+0.026202651597403048j),(-0.01412959957072488+0.00843480523162508j),(-0.0005043913098559674-0.0005778808396472309j),(0.0008574906644716471-0.00019458129801678333j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
4.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.004680495909248002+0.0026212692130462008j),(0.004680495909248002+0.0026212692130462008j),(0.013757679709912872-0.001919664868850323j),(0.0187400292991359+0.0014206553996180442j),(0.034452465863503264-0.009610055405729973j),(0.05121757171474788-0.0045446135281921j),(0.07186257233687764-0.025827206923868376j),(0.09280957153942246-0.01539547438092835j),(0.1072253759207984-0.03423180291482239j),(0.13234169106239335-0.026649576877072038j),(0.1151979519059239-0.02260682136032866j),(0.1450336939600272+0.0002402053400569358j),(0.06215865266287859+0.02326555545343053j),(0.07207008714182549+0.035634113197121446j),(0.00046326432596965547+0.012055048854261625j),(-0.01460058477782435-0.004296156290871525j),(-0.00023044062291538805-0.00018812338218996143j),(0.0010879322452742911-6.4601881850691605e-06j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
