,-10.0,-9.5,-9.0,-8.5,-8.0,-7.5,-7.0,-6.5,-6.0,-5.5,-5.0,-4.5,-4.0,-3.5,-3.0,-2.5,-2.0,-1.5,-1.0,-0.5,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0
0.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.41800777835946895-0.016421761684338586j),(0.5819916124857863+0.0164230095527632j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
1.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.17672365015553967+0.03773838264280282j),(0.17672365015553967+0.03773838264280282j),(0.19109233466821154-0.014801861907524382j),(0.39089722892653994+0.03122649717174184j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
1.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.08598907751183818-0.006131126361411408j),(0.08598907751183818-0.006131126361411408j),(0.19377103263934725+0.014995130385410248j),(0.18921226847833256+0.02028482722413332j),(0.13598495026654261-0.0010642660096441044j),(0.25491114047354047+0.03229137576655319j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.07035295244362176-0.04274011716160733j),(0.07035295244362176-0.04274011716160733j),(0.112284588708249-0.012696896426671274j),(0.12239556089894166+0.0011337828814918468j),(0.16099744395025284+0.01503702787741689j),(0.1765719996116591+0.005238590533419166j),(0.10506280150013426+0.017181436918670644j),(0.14984838245667548+0.015110162008973022j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.03737091108083561-0.009017983734790975j),(0.03737091108083561-0.009017983734790975j),(0.09304516810096651-0.021824802221546084j),(0.08179934956286934-0.026788602910062534j),(0.11064644574007464-0.0038040368309485333j),(0.13350399213416425+0.012832508721953743j),(0.12314899793726723-0.006352854594823086j),(0.1543559933315953+0.011407134346165075j),(0.07585301429165049+0.0032012204795697744j),(0.07399522425508706+0.011908968463711493j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.02211271263754499-0.0004957471043998014j),(0.02211271263754499-0.0004957471043998014j),(0.07131228948261546-0.01939280424879749j),(0.06637101389315117-0.020550512103458304j),(0.08462386298838488-0.013814464180937788j),(0.10048496321609214-0.014217630297011476j),(0.11637464656140928-0.006550305238597946j),(0.1285504032759666+0.009370466299984087j),(0.10639516745867716+0.0022023435823602727j),(0.13263935090154622+0.007367284668394182j),(0.029183319336681838+0.014989493061931123j),(0.04481222166425703-0.003080064534382372j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.011541753439965326-0.0014207824562332814j),(0.011541753439965326-0.0014207824562332814j),(0.05128648807900076-0.005187730164845332j),(0.04831609972473711-0.006926794298063586j),(0.07915860686019131-0.01864922748341309j),(0.07994360358152314-0.015208746965609888j),(0.10007264916863653-0.0016119394962260001j),(0.11058365001178959-0.005603350162268346j),(0.09934232026713292+0.004806864480640855j),(0.12004767997786431+0.0066965246280147155j),(0.075041739373014+0.0089554089350679j),(0.09759176552195459+0.009470454299303778j),(0.015383896842062384-0.008062869327382566j),(0.029428022272921732+0.004982703939665947j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
4.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.006279322285781865+0.0005530279712497516j),(0.006279322285781865+0.0005530279712497516j),(0.03831992009078314-0.007216408427481495j),(0.04008966758818754-0.005673644261665068j),(0.0641211745949489-0.015571420598239143j),(0.06461760330644928-0.011372544404632035j),(0.08557104437835025-0.008903321512594159j),(0.09963691859539354-0.00818491903222727j),(0.08773309732080853-0.0004638189851569337j),(0.1044110346457338+0.0030005949105493916j),(0.08210047768714675+0.004983068568694956j),(0.10280287413703822+0.008345147582478687j),(0.04283846913043301-0.001925861814372258j),(0.06759063596503675+0.004242542907194955j),(0.013143747873622217+0.0029036858381969524j),(0.016284298406301016+0.002079040027823875j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
4.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0026442270596228313+0.001738443123259536j),(0.0026442270596228313+0.001738443123259536j),(0.020991887579431306+0.0005553986494527515j),(0.02044196271403825-0.00013147347522297253j),(0.05524134012179495-0.008860378256445846j),(0.052662050818631886-0.009822042144078471j),(0.07097210766883441-0.008234189821425892j),(0.0757855211741269-0.0067993147215133515j),(0.0910794917944682-0.0045389450843002594j),(0.10141323657874551-0.004616876370822758j),(0.08175122003144303+0.0028310141908890044j),(0.0970075515875551+0.006338114007883867j),(0.06438987775240575+0.0018684121422558543j),(0.08462371692509789+0.0045027940923156335j),(0.030682242056419746-0.0016747561985245053j),(0.04992829687415725+0.007427685776336663j),(0.007795386160471407+0.0019149549695957457j),(0.00848893246206149+0.00016410455532922465j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
5.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0017204506630267523+0.0012295160026940025j),(0.0017204506630267523+0.0012295160026940025j),(0.013553070348056865+0.001507038350819441j),(0.013250666290341788+0.0017566592136098041j),(0.03998226912168928-0.005960922366582976j),(0.0404127410922586-0.004282034823110464j),(0.06042494253713-0.009061481560797488j),(0.07069902598022204-0.010537056954159315j),(0.07863913699121186-0.007773106685701504j),(0.08859646470981618-0.007581454809909526j),(0.08008690754463746-0.002437924133801441j),(0.09789378238201302+0.00010473610164339495j),(0.0693902312760391+0.002906773685160559j),(0.0874763143819188+0.0032392002789622234j),(0.047501334277521366-0.00020384546142232377j),(0.06668473449109555+0.004546063649669978j),(0.024990390455686677+0.004209032516179188j),(0.030499791881124068+0.006098006349722366j),(0.0041299461198817475+0.0007798779847807412j),(0.004359000197510994-0.0006157633349998725j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
5.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0012185015050710732+0.000885404920891287j),(0.0012185015050710732+0.000885404920891287j),(0.011152907543060139-0.0007208264984479823j),(0.011555984837794537-0.00022886438617664167j),(0.027995090696301808-0.00030392242408836673j),(0.0299872711298406-7.635084189826528e-06j),(0.049859399655957544-0.006108548560844604j),(0.05063042317428037-0.005442649604546497j),(0.06975480687060118-0.007399614817654502j),(0.07965418465593792-0.007737373062241553j),(0.07863561128817768-0.004552064307663765j),(0.0879113397201598-0.004187033484042262j),(0.07017705631496746+0.0003627557322171521j),(0.08448622637449707+0.0035885600336663017j),(0.05851943893808602-0.00014649390728374155j),(0.07473490763212454+0.0024719514176990733j),(0.03936432597709392+0.005976440546172168j),(0.049692052675507324+0.0072889544810937216j),(0.013291645690231155+0.0032362494044746834j),(0.021738941421039097+0.003757470401109455j),(0.0023705140530467135-0.0006864790329046454j),(0.0019884762292431426+7.072000536325484e-05j),0j,0j,0j,0j,0j,0j,0j,0j,0j
6.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0011150816557468752+0.00042785727446618656j),(0.0011150816557468752+0.00042785727446618656j),(0.005062865385370909+0.001721798033660702j),(0.005205720720984091+0.0014471072709813819j),(0.020624881316040147-0.005288525735071478j),(0.022270546173756834-0.0035257895820082668j),(0.03783990280670818-0.001928482158654072j),(0.04091148558746134-0.004192204322832183j),(0.05817209059740051-0.006392750718479941j),(0.0639811378570813-0.006241083804949319j),(0.07374819427881482-0.006632869835071413j),(0.08484768505765687-0.006817884045816152j),(0.07364193404432452-0.002822741568102242j),(0.08766567373736979-0.0006716732722007075j),(0.061903331278749925-0.0002810880308954156j),(0.0779627106258694+0.0026144667793190834j),(0.04982540947536086-0.0012570351757923055j),(0.0652817272005952+0.0016924466255362999j),(0.02388949170031566+0.004302197170144819j),(0.039782375920940125+0.005901884958702018j),(0.009575845950084306+0.0001911276373300012j),(0.014862540499448901+0.0025632509120961633j),(0.0010449057608664983-0.0001988987719997334j),(0.0009435716975065285+0.00026961489120168786j),0j,0j,0j,0j,0j,0j,0j,0j
6.5,0j,0j,0j,0j,0j,0j,0j,0j,(0.00031020548626905587+0.0002411523221321495j),(0.00031020548626905587+0.0002411523221321495j),(0.0037113138260474183+0.0015264525869016505j),(0.0035426816100231633+0.0014301660078518163j),(0.013214704856207767+0.0009742550990109835j),(0.012833133490354741+0.0013158459291616816j),(0.032435239699881345-0.002595222753398092j),(0.03107019434446577-0.0017558088865941791j),(0.047619379713343166-0.005787091703365057j),(0.0570271890176889-0.005230087600735667j),(0.06479875340815129-0.004563036937832978j),(0.07061186896026718-0.003521116012518633j),(0.07116308089439163-0.006736015768711811j),(0.0860597365838345-0.0044032468674074j),(0.06617767871172438-0.0014045033411345864j),(0.08065463504250206+0.0004018324396402366j),(0.054691937663910124-0.0002654229558693139j),(0.06673049274622929+0.0036417697555007796j),(0.037802753187679304+0.0018532989690020337j),(0.050391283641311874+0.0049235108410381236j),(0.020851145556891295+0.0022486647789906537j),(0.02836483178444697+0.004067447142122661j),(0.005849367219891346+0.00013980654140670356j),(0.010194065329182787+0.0019181674484094024j),(0.0004547716647299598+4.6989665958917454e-05j),(0.0004887997294933048+0.0002226244016617788j),0j,0j,0j,0j,0j,0j,0j
7.0,0j,0j,0j,0j,0j,0j,0j,(0.00033628286628460967+0.00019745067157446005j),(0.00033628286628460967+0.00019745067157446005j),(0.002376760033363849+0.0008280820805043863j),(0.002289925881604846+0.000852556664065554j),(0.00958666151945555+0.001120612054537745j),(0.009673003383902227+0.0016739869486380914j),(0.022800994724610116-0.001944541117992482j),(0.02304352658477465-0.000699581695930442j),(0.03730295894470114-0.003955054312474781j),(0.04105107382474074-0.0027571992341950576j),(0.05774616973669338-0.007322183404570971j),(0.06475978236102038-0.005070769078947676j),(0.06559487447077675-0.0059572387005974855j),(0.07570766702000621-0.005028999235732197j),(0.06843101755883009-0.00487813180091737j),(0.08221092426283527-0.0022521798975670775j),(0.06011919178382559-0.0011563954321854853j),(0.07540411624947088+0.0005055374239013938j),(0.04454913830966019-0.000314961589739894j),(0.05733464782943298+0.0030827010713606194j),(0.02862674689645492+0.0020110651460456485j),(0.04237569550308676+0.004189410015696241j),(0.013272616575641915+0.0006840915534086275j),(0.021074337418955803+0.003958363761956994j),(0.003806121691521852+0.00028236118574532035j),(0.0069369051044600675+0.0015846263509463933j),(0.00021650915041252468+6.176197586253479e-05j),(0.0002722898203094971+0.00016086193301436265j),0j,0j,0j,0j,0j,0j
7.5,0j,0j,0j,0j,0j,0j,(0.00010997564005116862+0.00012474807571905304j),(0.00010997564005116862+0.00012474807571905304j),(0.002207384015078997+0.0004551923111718747j),(0.0022184254405489033+0.0005324886432250294j),(0.006726695831314517+0.0009267166538507195j),(0.006571838462935023+0.0012296664141905618j),(0.018496171333839944-0.0012655402548155169j),(0.020575938828205353-0.00020042326432281442j),(0.03082179055057664-0.004523991238185628j),(0.035289568415781604-0.0027005447678365747j),(0.04851128966192141-0.006276657962459588j),(0.05561367687315365-0.0045981533215263245j),(0.06069950754729377-0.007168965871070929j),(0.07174754434740248-0.004999857976192751j),(0.06601334912603378-0.005678267768892725j),(0.0761778435600527-0.004152693749888464j),(0.06420883587359898-0.002591511831571727j),(0.07875486400492451-0.0016507178163270879j),(0.052156723497154986-0.001120080098316136j),(0.06529743787776736+0.001810361699477499j),(0.036397653658661135+0.0022958813005181282j),(0.04818779155309476+0.0038002750408816697j),(0.022986130491159384+0.0015379475249745502j),(0.03208954802559392+0.00341742047399011j),(0.009588139123446261+0.0013299488436536474j),(0.015435941755460845+0.003104688952675205j),(0.0024095209445953924+0.00038441215712415905j),(0.00474309919545405+0.001242563086788819j),(8.94022710250529e-05+4.3304518253221226e-05j),(0.00018288608653553823+0.00011755776198446736j),0j,0j,0j,0j,0j
8.0,0j,0j,0j,0j,0j,(6.175814984074879e-05+8.852391247779321e-05j),(6.175814984074879e-05+8.852391247779321e-05j),(0.000891321003602265+0.00047298274208681056j),(0.0008705316761651104+0.00047506536962718844j),(0.005137173522616755+0.0008598612247661174j),(0.005007219295894999+0.0006335925036171913j),(0.011746184922072704+0.0010919313263837225j),(0.011858449609029563+0.0018458519659980757j),(0.024065828187854913-0.003081188017806959j),(0.02755287031783714-0.0007051708295170058j),(0.04084936610376616-0.0033386606877939457j),(0.04177473238840611-0.002073208600269671j),(0.05590782407674114-0.005565366348619612j),(0.05992881925463111-0.00442330028576238j),(0.06397851867043798-0.006217659865214805j),(0.07282407319626351-0.004356711703936083j),(0.06339978797729792-0.004136568621304974j),(0.07582528959578871-0.0022877306722995593j),(0.05763972787175204-0.0027162590554803256j),(0.07140466896813052-0.0008340356977358842j),(0.04314706229513829+0.0004765663450870719j),(0.05681751533995491+0.0023233864747247636j),(0.029934924012686038+0.0011246624498126594j),(0.04076519845212234+0.0032236234060448224j),(0.016521532997399817+0.001138868179730116j),(0.025142206246691626+0.003577036168913969j),(0.007261717257935584+0.0017861574553190431j),(0.00975755395301411+0.0022104100445324297j),(0.001997000777505588+0.0005895926064324871j),(0.0027957563009928204+0.0007053369119898838j),(7.541925734726678e-05+4.8681579077604834e-05j),(0.00010746677106303707+6.887632584456519e-05j),0j,0j,0j,0j
8.5,0j,0j,0j,0j,(4.20420543743074e-05+5.345964251941417e-05j),(4.20420543743074e-05+5.345964251941417e-05j),(0.0005156872968431881+0.00037936419140020903j),(0.0005017806756044439+0.00039043037161391335j),(0.0035508244484316353+0.0006870666597173561j),(0.0034873137133307887+0.0007117774128115111j),(0.008699211323328189+0.0004474333181299761j),(0.008793512620210407+0.0012142365059707014j),(0.017233713639219793+0.00044633155797159716j),(0.018174104790688057+0.0007385004566964362j),(0.03400562188033731-0.0035259535459112538j),(0.034890278160675116-0.0022456138753809j),(0.045429879785675434-0.005208480188977531j),(0.052268123933879654-0.0038310860949896937j),(0.056983782916841676-0.006124210023831754j),(0.0667580099067165-0.004660402372122469j),(0.061194255679862426-0.005594643887451533j),(0.07325119135913814-0.004068459713971557j),(0.059522506744290646-0.003212397919732132j),(0.07235159888604285-0.001768373397682012j),(0.049684362652769876-0.0010278888777794431j),(0.063234644024619+0.000622009286815597j),(0.03669596278433735+0.0008344666321370927j),(0.04840001819053598+0.002777588762123756j),(0.023799347901345348+0.0012812788478471576j),(0.029658608099660443+0.0031504516958151016j),(0.013947413276401881+0.0024811974258563685j),(0.017610859111089762+0.003131994599790646j),(0.0038447842346080916+0.0009059400450883192j),(0.00785522763412694+0.001605066739590019j),(0.0012588609523664365+0.0004811283372459425j),(0.0015906720563353346+0.0002756599519302589j),(2.730204235584905e-05+1.9744586809815975e-05j),(8.016384807393862e-05+4.91322498832172e-05j),0j,0j,0j
