-10.0,-9.5,-9.0,-8.5,-8.0,-7.5,-7.0,-6.5,-6.0,-5.5,-5.0,-4.5,-4.0,-3.5,-3.0,-2.5,-2.0,-1.5,-1.0,-0.5,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.26704067553541255-0.15738070499826867j),(0.7329587152959893+0.1573819528396501j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.04912192692898396-0.02124708732324266j),(0.04912192692898396-0.02124708732324266j),(0.26704067553541255-0.15738070499826867j),(0.7329587152959893+0.1573819528396501j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.04912192692898396-0.02124708732324266j),(0.04912192692898396-0.02124708732324266j),(0.0661098914022067-0.03568670466256426j),(0.08125573631107279-0.02805432809110289j),(0.1746397118513804-0.07340882771077968j),(0.5583193871570482+0.23079052147091728j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.04786634274681818-0.012057358206186607j),(0.04786634274681818-0.012057358206186607j),(0.06652816746908831-0.03720885460540025j),(0.0816740123779544-0.02957647803393888j),(0.08379072860278419-0.039193775271499816j),(0.11408241842051636-0.023929022128577067j),(0.17890505004543805-0.03331681970575471j),(0.37941500622438296+0.2641080959298624j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.027980955351013338-0.002498167190866437j),(0.027980955351013338-0.002498167190866437j),(0.0634416183261696-0.022460498302292277j),(0.08183038072650098-0.01979992185630519j),(0.08473428988818979-0.04291576580680909j),(0.11523024275378665-0.027817778576933773j),(0.07079533770345661-0.027547883160510437j),(0.13024560094216853-0.00577432547510647j),(0.12530767008162094+0.008962168943180821j),(0.25410783810308835+0.2551462453092098j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.014555469447442935+0.007167257686622476j),(0.014555469447442935+0.007167257686622476j),(0.03991749907777651-0.008461042842751152j),(0.04848586715276063-0.007987179548830714j),(0.07566840508166545-0.026179290562029046j),(0.1128544559780576-0.021191669496149725j),(0.07497837973364241-0.03446459645659236j),(0.13504143211594838-0.013191336510330684j),(0.07089689161933124-0.019867810747581153j),(0.13400978325834495+0.015615258127309673j),(0.10273720189449946+0.021327319085278604j),(0.15137111512621973+0.23381949412186795j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.00846984626984085+0.009071854536848193j),(0.00846984626984085+0.009071854536848193j),(0.023531050816309212+0.004386050435962573j),(0.026057981221128852+0.007925829362367853j),(0.04900058458640941-0.01222599780075788j),(0.06722813400170058-0.011824758748666217j),(0.071787061857836-0.027050122297057014j),(0.13432914361825032-0.011515510347856835j),(0.0775728415094438-0.028100527931482686j),(0.14334129729048753+0.006260624045667684j),(0.06179170850541509-0.0077235422318715306j),(0.12534951080862222+0.03951855208657785j),(0.07064449977992457+0.035287255488231646j),(0.08072687109380543+0.19853264241812155j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.004104327187451452+0.00612903520279065j),(0.004104327187451452+0.00612903520279065j),(0.015214897243764071+0.008137350136623365j),(0.016831858145018846+0.012457175466668196j),(0.030616357003579342+0.000363082106010802j),(0.03703836823884422+0.006749163204581748j),(0.05119419755750966-0.01942204989811567j),(0.08509018892823195-0.011209196742212506j),(0.07489219767233186-0.0246173254381637j),(0.1448401254368173+0.003356459855646895j),(0.0715892401396-0.016406789573822345j),(0.14030146148065728+0.02966831729617605j),(0.057062950410049613-1.8861704374133464e-05j),(0.107604584130084+0.057800389268004196j),(0.05020843293229601+0.03525916856064856j),(0.030518628736839158+0.1632738814611392j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0009124181322185019+0.0032865539533002337j),(0.0009124181322185019+0.0032865539533002337j),(0.008809559302402731+0.0062650474306553535j),(0.009954348748106641+0.008905167566406521j),(0.021110744466184647+0.004828946293387912j),(0.02561538052620346+0.012912186624060202j),(0.035712678301386046-0.00787156604163447j),(0.049584618844422335+0.005221020979505611j),(0.056332813349936374-0.020504646035660972j),(0.09809855277920641-0.006367014657106006j),(0.07310256041404486-0.018452336572519237j),(0.14668053895609925+0.022825864729531943j),(0.06855976377046107-0.007480687042332963j),(0.12757848911644812+0.049985078815923074j),(0.04796379671891761+0.008887001447988568j),(0.08603770299231485+0.07004378307910143j),(0.03184099948820862+0.03568661929477296j),(-0.001322307703914189+0.12758757605807391j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
