-12.0,-11.5,-11.0,-10.5,-10.0,-9.5,-9.0,-8.5,-8.0,-7.5,-7.0,-6.5,-6.0,-5.5,-5.0,-4.5,-4.0,-3.5,-3.0,-2.5,-2.0,-1.5,-1.0,-0.5,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0
0j,(3.0055367972080726e-06-1.6572408890342102e-06j),(2.0499832106099414e-06-9.687683887884732e-07j),(2.688044717599006e-05+1.7512707155402084e-06j),(1.9312422023894042e-05+3.051534450047697e-07j),(0.0001117719445109728+7.918302163807782e-06j),(9.233278589275015e-05+5.0502542700768065e-06j),(0.00041458976293697237-2.4664888905893537e-05j),(0.0003368789733971003-1.1295083961707034e-05j),(0.0008587745156794869-0.00011902814290379283j),(0.0007821044559823125-7.722053721503938e-05j),(0.0015012734262687857-0.00019854449870944583j),(0.0014426100006712558-0.00012060018927394892j),(0.0022805269566632588-0.00021244796761526165j),(0.002275818823068075-9.086595101089127e-05j),(0.003056707468753257-0.00011192444843631375j),(0.003134442547555755+5.4075884063551965e-05j),(0.00370632400052251+7.822816599041679e-05j),(0.0038687380264433384+0.00030203933373382523j),(0.004155481264869663+0.00029904146288857415j),(0.004375840440173764+0.0005725000963414029j),(0.004375128303062913+0.000501651235674368j),(0.004622870933088842+0.0007903752375937802j),(0.004365912628465623+0.0006532446474436643j),(0.0046314672944797065+0.0009217402369315835j),(0.004154070857669541+0.0007345131815116934j),(0.00443514931739669+0.0009655078443589365j),(0.0037783882345372504+0.000741692683699252j),(0.004062517481213416+0.0009339325517150897j),(0.00328062873744897+0.0006886382999640459j),(0.0035483597268736564+0.0008436356188057859j),(0.0027091892264905484+0.0005894043635568709j),(0.0029447420682016407+0.0007045220287271685j),(0.002104543136591339+0.00045038503482509006j),(0.0022957453710804663+0.0005238925900718477j),(0.0015059140626262255+0.0003011513091022197j),(0.0016483922545029216+0.00034144989263156775j),(0.0009828440763490227+0.00016385586910812533j),(0.001083598843177911+0.00017770548047619462j),(0.0005574214242095539+2.65923491036915e-05j),(0.0006161040362410424+1.6923154154562003e-05j),(0.00021476085060149732-4.396141939175591e-05j),(0.0002334508367288537-5.6874026760223484e-05j),(3.588637380629624e-05-1.1219156877010616e-05j),(3.9101986617495795e-05-1.4266669711466656e-05j),(3.882550421538141e-06-1.7600361808128935e-06j),(4.228021219297106e-06-2.2191211022522076e-06j),(2.0736907677515306e-07-1.3222950070310286e-07j),(2.250898959668349e-07-1.668776099444335e-07j)
0j,0j,(5.055538939011374e-06-2.6259972372515285e-06j),(3.44117808844419e-06-1.5228237745236645e-06j),(4.275181694801032e-05+3.5793512325945465e-06j),(3.087602502218437e-05+9.458031558323272e-07j),(0.00017322960093268816+1.202334642610204e-05j),(0.0001440211477140555+8.099225264818251e-06j),(0.0006287802536575109-2.906887933706903e-05j),(0.0005129212871926548-1.2073993592571459e-05j),(0.0012910507988814434-0.0001550452253877334j),(0.001177599562676604-9.715092420014091e-05j),(0.0022330643904442476-0.0002493976905376217j),(0.002148113371729566-0.00013891745867665537j),(0.003353973385241065-0.00024146079848408775j),(0.003347538830608476-6.632530719466864e-05j),(0.004441083884171597-6.843601385055777e-05j),(0.004551118860510624+0.00017147378466094343j),(0.0053141774175289435+0.00022410243180873143j),(0.005541144827255964+0.0005438406453662116j),(0.0058720463918469+0.0005433914285363051j),(0.006176831764019264+0.0009272894344747338j),(0.0060828796708693325+0.0008178603384436516j),(0.0064226946320166374+0.0012164318414091388j),(0.005960012964494317+0.001003886310645797j),(0.00632048138664604+0.001367461219855477j),(0.005547397498287641+0.0010774355823500819j),(0.005921046539366227+0.0013827427750939777j),(0.004907201962146867+0.001043386176543471j),(0.005274624852657322+0.0012903300707586337j),(0.004117914328292307+0.0009210231580923964j),(0.004454827834612226+0.0011087910366197997j),(0.0032470263506582317+0.0007229301903938359j),(0.0035287666006047027+0.0008477664206882101j),(0.002356666731587952+0.000496335038411007j),(0.0025710893252774763+0.0005682152980672937j),(0.0015586081064963956+0.00028040057245151706j),(0.0017138547343349617+0.0003084433161633536j),(0.0008979927894790337+5.8758193653102054e-05j),(0.000991105596382409+4.6708064104713726e-05j),(0.0003550765264033604-6.343223710603848e-05j),(0.0003859200200199729-8.329058012313257e-05j),(6.229076583401341e-05-1.7543556564456453e-05j),(6.791651160996409e-05-2.2539902629117255e-05j),(7.0716286744196005e-06-2.945693245849939e-06j),(7.713453610546102e-06-3.7439058276586455e-06j),(3.9708501990609174e-07-2.3522259981901536e-07j),(4.324564957375649e-07-2.9910515462586574e-07j),0j
0j,0j,0j,(8.496747944873333e-06-4.148800249374022e-06j),(5.772030272622906e-06-2.385692483268466e-06j),(6.78560132021097e-05+6.911011911723363e-06j),(4.928284540122513e-05+2.197924435228856e-06j),(0.00026796931987591326+1.7925585607100462e-05j),(0.00022422667080613252+1.2770076678319494e-05j),(0.0009493899653893505-3.223737614719069e-05j),(0.000778006813713148-1.1454787832691441e-05j),(0.0019298504958818856-0.00019746531658180227j),(0.001763767951980043-0.00011836061556864037j),(0.003298352884179307-0.0003024307816482152j),(0.0031773441017412937-0.00014722820656427906j),(0.004891050981314229-0.0002509313026533573j),(0.004883254561261737-8.840655377746345e-07j),(0.0063878266272394905+3.351777649483631e-05j),(0.006542509732735013+0.00037601274094492895j),(0.007529645103671937+0.0004704252894805915j),(0.007843573575939124+0.0009194858433305688j),(0.008182374955140516+0.0009182143748356034j),(0.008600060925021694+0.0014469531647431613j),(0.008319154466399721+0.001274609589565366j),(0.008780841305349268+0.0018125469371870016j),(0.007971888736526316+0.001480926976250388j),(0.008452441331616054+0.001959938544649489j),(0.007216018069885869+0.001517650942564159j),(0.007700470380974076+0.0019090903701113244j),(0.006170148891423165+0.0013954229936439324j),(0.006633939927574279+0.0016944432015573675j),(0.004946919771085936+0.0011306996800744741j),(0.005351670071208376+0.0013346257369634368j),(0.003647481739549684+0.0007983866409666166j),(0.00396520594778996+0.0009212199016802326j),(0.0024481247529146554+0.00046764642345022367j),(0.0026845178001946137+0.0005207529533084146j),(0.0014346538607016446+0.00011713657860305185j),(0.0015808861726483113+0.00010359913671582793j),(0.0005829805122029389-8.951424496236173e-05j),(0.0006334038943696307-0.00011964942403881217j),(0.00010759122675239904-2.707124897475585e-05j),(0.00011736747538511531-3.519154764347813e-05j),(1.2839427160133813e-05-4.891522256013e-06j),(1.4025782945028106e-05-6.272850154625983e-06j),(7.592395626122951e-07-4.1669871338846054e-07j),(8.2953674952327e-07-5.343242380972543e-07j),0j,0j
0j,0j,0j,0j,(1.4268828656057605e-05-6.534457004841754e-06j),(9.676925587297515e-06-3.722907553690614e-06j),(0.00010746225587946749+1.2832106861390163e-05j),(7.854857890423433e-05+4.51450111264467e-06j),(0.0004136496494601527+2.618264366287242e-05j),(0.00034842830080743866+1.9794815777507477e-05j),(0.0014266703598877083-3.256029914611017e-05j),(0.0011754660120626124-8.24610091940791e-06j),(0.0028666793783843404-0.00024453774757160967j),(0.0026263863128192758-0.00013781603730283966j),(0.004833459278424115-0.00034934050881481224j),(0.004664015858560083-0.00013352433712211624j),(0.007064161914543441-0.00022066339143059005j),(0.007056619995527543+0.0001318622332956434j),(0.009083384523542685+0.00022764101544600512j),(0.009299518600675823+0.0007086382316219617j),(0.010524577020874308+0.0008615960957901231j),(0.010955561108753004+0.0014807124857734116j),(0.01121936327529948+0.0014687831505745992j),(0.011786937708412881+0.002181359384574731j),(0.01115155627213209+0.0019019861293525335j),(0.011767932953213905+0.0026084303518268035j),(0.010389656533235344+0.002095680404497315j),(0.011015291457760536+0.0027078569188549607j),(0.009091516570302889+0.0020329085901913306j),(0.009706549713250546+0.0025068357576634804j),(0.007432477826917702+0.0017158467575811276j),(0.007993176385380874+0.002041307134712439j),(0.005577312713217076+0.0012518137607778288j),(0.006036698201591838+0.0014535499351615462j),(0.003804776679699789+0.0007608214504664752j),(0.00415932187479563+0.000855328129568456j),(0.0022709351474633505+0.0002186182930076368j),(0.002498144501556699+0.00020584865231787578j),(0.0009498631706335485-0.0001229828151027733j),(0.0010315378777492523-0.00016802803163409855j),(0.00018484431022341375-4.113213440704355e-05j),(0.0002017247426998229-5.421284666666597e-05j),(2.3233326544520878e-05-8.049293925442105e-06j),(2.5415491080558433e-05-1.0429594716439618e-05j),(1.4496113207994268e-06-7.346904897880133e-07j),(1.5887671577984396e-06-9.510166501867284e-07j),0j,0j,0j
0j,0j,0j,0j,0j,(2.3945836455203633e-05-1.0257303213823433e-05j),(1.621558756742249e-05-5.7777295374657365e-06j),(0.0001697957648320394+2.3124754880057044e-05j),(0.00012503636693026436+8.67640750000404e-06j),(0.0006370451107719604+3.730338971130385e-05j),(0.0005403163557343826+3.0236986147823438e-05j),(0.0021330144003279265-2.749512361310939e-05j),(0.0017680798265393746-4.891440678762208e-07j),(0.004228364923476366-0.0002921854228608954j),(0.003884696662888221-0.00015022690341007683j),(0.007019749114673024-0.0003763666191953986j),(0.006787585143655061-8.075435570517555e-05j),(0.01009225188650739-0.00012219483294271567j),(0.010090347388946045+0.00036657402309170904j),(0.012748658550451855+0.0005600527304760318j),(0.013051287305001937+0.0012240459664520568j),(0.014481968140121702+0.0014530469810680657j),(0.015070419042122658+0.0022894810595747057j),(0.015085087843165973+0.002236579173742324j),(0.015842276056381915+0.003171072708688291j),(0.014571250085320358+0.00271703401588166j),(0.015375039375350976+0.0036159610672626768j),(0.013121898580762821+0.00281909343935472j),(0.01392259113629929+0.003559207841480851j),(0.010985838758030554+0.002506352375354455j),(0.011736901867177268+0.003024037637292933j),(0.008414503474736483+0.001904643466844837j),(0.009056890803270318+0.0022291891200076105j),(0.005845328167676766+0.0012057775295741169j),(0.006364984744278638+0.0013664959028033947j),(0.0035584236487210662+0.0003888232547921349j),(0.003906454066238572+0.0003807936542671814j),(0.001534718396750201-0.00016328371264725703j),(0.0016656653544470552-0.00022968214814426602j),(0.0003157323088853679-6.132299330922392e-05j),(0.00034467347480387036-8.223851797792289e-05j),(4.189452083911615e-05-1.310535970619233e-05j),(4.588450761202779e-05-1.7190336761128118e-05j),(2.764116973266318e-06-1.288400751169505e-06j),(3.038360922152143e-06-1.6856958906010196e-06j),0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,(4.0161557947420854e-05-1.6034927610508746e-05j),(2.7144791582155824e-05-8.906155160881606e-06j),(0.0002676881715179655+4.070797679422488e-05j),(0.00019871174839198327+1.603504093855026e-05j),(0.0009786552677706198+5.1509010423601135e-05j),(0.0008357972094616906+4.556981016596853e-05j),(0.0031710897375092084-1.3148230879073794e-05j),(0.00264535471569974+1.3887470509752334e-05j),(0.006187684113879575-0.0003337187244212712j),(0.0057027442046065305-0.00014936443235902508j),(0.010093191166653356-0.00036414358095521095j),(0.009785187378285216+3.298980375911632e-05j),(0.014241363549191302+8.515245718662517e-05j),(0.014259729875253363+0.0007529835615621546j),(0.017624804106525543+0.0010917104335339965j),(0.018052041055536757+0.0019928816753212487j),(0.01955202900602706+0.0022974834500722983j),(0.02034123632512531+0.0033989094311942837j),(0.019782827962455944+0.003247553794560173j),(0.020768218850713737+0.004433102543811387j),(0.01846227445293204+0.0036856147307881676j),(0.019496917811825262+0.004767414030425496j),(0.015914698700739575+0.003491857034047747j),(0.016905372446483196+0.004301823554351274j),(0.012495794091901+0.0027912416018155083j),(0.013368908708376164+0.0033121442722235874j),(0.008865517486808961+0.0018526688675223211j),(0.009605682455223124+0.002121637029360089j),(0.00551480186606271+0.0006628661971416703j),(0.006036924297402027+0.0006679940873637741j),(0.002457197106432992-0.0002071524179498285j),(0.002664366704719807-0.0003036344967876438j),(0.000536012003052931-8.932211452790777e-05j),(0.0005851239952367131-0.00012248153515304327j),(7.528004101564875e-05-2.1078126487166963e-05j),(8.251443699670934e-05-2.804962408392224e-05j),(5.2642470999740415e-06-2.2458111196916045e-06j),(5.802444264833627e-06-2.9740766347914923e-06j),0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,(6.730656751629863e-05-2.4940902730829916e-05j),(4.537964177211359e-05-1.3653907298232405e-05j),(0.00042102161742193096+7.039796257411968e-05j),(0.00031504118804421676+2.867829465050951e-05j),(0.0014994200089600979+6.840628728133945e-05j),(0.0012889638841108303+6.738244520219377e-05j),(0.004683907741775201+1.513771861512155e-05j),(0.003935505836095057+3.4802951262302276e-05j),(0.0089763241681583-0.0003602885140643647j),(0.008305550866292118-0.00012936172615774798j),(0.014350451498575792-0.0002833760016302353j),(0.013960617054114121+0.00024247558940216314j),(0.019812934859182035+0.0004600662982870156j),(0.01988136867544193+0.0013613585908862885j),(0.023924866566759063+0.0018816069349080736j),(0.024519560129268026+0.003078783058372479j),(0.02576700340031217+0.003429375130094586j),(0.02679784781855788+0.00483488173682935j),(0.025176466646448643+0.004467049376096935j),(0.026449002298689222+0.0058877082420764485j),(0.022495436775465304+0.004601504827151612j),(0.023791359927742194+0.005781166339174782j),(0.018200376830449814+0.003909453710117216j),(0.0193734019205247+0.004727169527142587j),(0.013241897049170835+0.0027427331616576064j),(0.014274462606697255+0.0031905781335917816j),(0.008442295980533886+0.0010820394962687489j),(0.009207258738781473+0.0011208180664019614j),(0.0038951957706334804-0.0002474154057378967j),(0.004217408539374581-0.0003842246679085705j),(0.0009041479509494464-0.0001265473300278983j),(0.0009863675025921957-0.00017835780544639404j),(0.00013476563560570678-3.344275259971862e-05j),(0.0001477813862440137-4.523859132006223e-05j),(1.0012480202886588e-05-3.8887077020596675e-06j),(1.106662701986771e-05-5.219852281837583e-06j),0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,(0.00011268656349565973-3.8594502023503826e-05j),(7.582841447558626e-05-2.0855096039218668e-05j),(0.0006602365526302432+0.00011993298409811913j),(0.0004983393526260886+4.933408640735106e-05j),(0.0022900582181321345+8.646366783682472e-05j),(0.0019817830407781885+9.682739391925662e-05j),(0.0068686777439242504+5.972102365282751e-05j),(0.0058237082689985+5.942091794003268e-05j),(0.012896065434350833-0.00035824118297980733j),(0.01199382836554469-7.613718403545096e-05j),(0.020142692251456488-8.573147469459487e-05j),(0.019679266906434092+0.0006033136437365848j),(0.027095712349222256+0.0010632390832516724j),(0.027252793229751614+0.002253648016681088j),(0.03173722336552569+0.0029684415435493254j),(0.032541017798813+0.004515070573515286j),(0.032990985310003995+0.004820649840476253j),(0.03433767766825537+0.006516836925826379j),(0.030863169200050257+0.005643396072790666j),(0.0324752874258392+0.007186643783666642j),(0.02589915616419196+0.005194510338699526j),(0.02745634290764002+0.006382219704106901j),(0.01941317916242043+0.0038914804503726967j),(0.020841921433939408+0.004609808112282012j),(0.012734436097778959+0.0016890124787702033j),(0.013839551102536799+0.001801165916494868j),(0.006105366521383667-0.00027137079526008554j),(0.0065986341456246616-0.0004580903704583293j),(0.0015139598876572418-0.000173525727290732j),(0.001650330334399987-0.0002526236175065698j),(0.00024018048927077642-5.227634238816499e-05j),(0.0002635299484787271-7.19996973323899e-05j),(1.9015993811073766e-05-6.680863616294431e-06j),(2.1078984365306888e-05-9.10849731212791e-06j),0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.00018851555240233914-5.944907250705874e-05j),(0.00012681917767352508-3.1583128766826594e-05j),(0.0010317602129188632+0.00020085275378184866j),(0.0007876809835328554+8.201285867667779e-05j),(0.003484181646270861+0.00010129232413330362j),(0.003038312929267215+0.0001353700522766984j),(0.009995692540339432+0.00011805645925927858j),(0.008567748455313676+9.021949413126805e-05j),(0.018321949879409837-0.00030326925559337107j),(0.017144481728347632+4.224766277287661e-05j),(0.027835302331119582+0.0002795253870932536j),(0.02732047586776634+0.0011585883710574848j),(0.03626292820128857+0.001933373993955235j),(0.03656373382102829+0.003455624949376693j),(0.040966582636103054+0.004342137561830721j),(0.042080554025063284+0.006233662379405568j),(0.04077163802457131+0.006195592511886718j),(0.04252084606382519+0.008052183001123123j),(0.035846181795703196+0.006441021833540388j),(0.03779921730428379+0.00799813880721047j),(0.027854886393719365+0.00526035386445807j),(0.029785658615280257+0.0063137503736873215j),(0.01887267865961567+0.0025216365922901512j),(0.020455800432360904+0.002758249957289243j),(0.009443426199075261-0.00025607242405176824j),(0.010191198135416309-0.0005011197632199881j),(0.002512788889057623-0.00022830295922960438j),(0.002738420364568797-0.00034600973192396755j),(0.0004258625023193037-8.013091361643173e-05j),(0.00046764298304036324-0.00011292194490220602j),(3.6065569576303874e-05-1.1352734061320798e-05j),(4.009474426140332e-05-1.5789250899370562e-05j),0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0003153356612619235-9.103130721447356e-05j),(0.00021208685013685512-4.692195435951867e-05j),(0.001607359964680575+0.00032979152360316475j),(0.0012450215335876379+0.00013521269469945872j),(0.005277506238768544+0.0001014716636597796j),(0.004640478582477047+0.0001873954234843837j),(0.014426445396353012+0.00018709882455820428j),(0.012502246465759991+0.00013625628112236222j),(0.02568605241751517-0.00017728385848190213j),(0.02418156443412743+0.0002334479888257982j),(0.03772033317989541+0.0008291525256061863j),(0.03720977812037341+0.0019049618812915024j),(0.04731677571471634+0.0030730210133017863j),(0.04792956381925434+0.004920736309928278j),(0.051166437104991316+0.005743113335293362j),(0.05275644196574801+0.007848560650141825j),(0.04788692762052702+0.007169351299420358j),(0.05006487184857876+0.009091208255467307j),(0.03898237303456061+0.006664366151598512j),(0.041423014159813+0.008074207890795528j),(0.027432621488301556+0.003596088748715256j),(0.02962419363700825+0.003984983635549847j),(0.014391203144982732-0.00016091182153219028j),(0.015504656397054067-0.0004769241213613698j),(0.004129951520696404-0.00028020697253451263j),(0.004500109706179044-0.0004552996720591193j),(0.0007510882344085629-0.00011899843876094106j),(0.0008251720458208479-0.00017402638005108056j),(6.833019115076522e-05-1.9024123328035504e-05j),(7.615986883763138e-05-2.7141793805230603e-05j),0j,0j,0j,0j,0j,0j,0j,0j,0j
