-10.0,-9.5,-9.0,-8.5,-8.0,-7.5,-7.0,-6.5,-6.0,-5.5,-5.0,-4.5,-4.0,-3.5,-3.0,-2.5,-2.0,-1.5,-1.0,-0.5,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.1449003325365514-0.14052916810903293j),(0.8550990582948685+0.1405304159505062j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.014997699139451717-0.018892913867467172j),(0.014997699139451717-0.018892913867467172j),(0.1449003325365514-0.14052916810903293j),(0.8550990582948685+0.1405304159505062j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.014997699139451717-0.018892913867467172j),(0.014997699139451717-0.018892913867467172j),(0.017965916566283338-0.025907017274260122j),(0.02702714873397701-0.030771477661361325j),(0.11558615376688491-0.09784174814813981j),(0.739512947573934+0.23837189119013855j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.024471670752664938-0.02165164368879066j),(0.024471670752664938-0.02165164368879066j),(0.017464500567826148-0.025648358186639707j),(0.02652573273551982-0.03051281857374091j),(0.026086400869680598-0.03213652744661459j),(0.044208865205067935-0.041865448220817j),(0.1366951532532899-0.08098213741354907j),(0.6028181630113314+0.31935421600641195j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0166249473534826-0.018939267209829858j),(0.0166249473534826-0.018939267209829858j),(0.027358874585622094-0.02795901248654342j),(0.04405053308827844-0.035960897367300466j),(0.02498350074668086-0.03156113190520372j),(0.04280468251906523-0.0411475562480687j),(0.023569444105897987-0.023756328631267417j),(0.06131802503607016-0.04427777908977157j),(0.12026544908047761-0.04020012111712489j),(0.48255287854529344+0.35955410199761195j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.011733056026019744-0.009117625495233933j),(0.011733056026019744-0.009117625495233933j),(0.018356977119918846-0.023616013439864997j),(0.029173665332894783-0.03273609065630615j),(0.03239067315205548-0.03192064991474064j),(0.06517142503136222-0.04763942681357989j),(0.022073392598415516-0.024285997300158194j),(0.0589181258395788-0.04437995846465005j),(0.02560609631707327-0.02545721656989571j),(0.07636677449230313-0.04179696010690563j),(0.11519879524369792-0.027213362739964976j),(0.36735446418480633+0.3867674387791838j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.012039158423413899-0.0031582214008284153j),(0.012039158423413899-0.0031582214008284153j),(0.013129374716631476-0.012001652490455698j),(0.019355238225266864-0.015801865772244884j),(0.021732508352981243-0.025512831863044615j),(0.04274792783838687-0.043602554497083994j),(0.0300712565561074-0.02638582672815936j),(0.08595532843215568-0.0507867674415696j),(0.02408623906470294-0.02649254611470073j),(0.07332322898138016-0.04282090734959388j),(0.02609933474319582-0.018947767425336555j),(0.08965935883102755-0.03306161018034592j),(0.10329583006454202-0.0003707534371881725j),(0.26405881102291007+0.38713812663154057j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.011255859793232443-0.001962119186106867j),(0.011255859793232443-0.001962119186106867j),(0.01354556529746015-0.0053665963326924035j),(0.019773519271191826-0.005465974067289503j),(0.015743297387617716-0.012945464736897179j),(0.027554709611057243-0.020683277734165343j),(0.019238119062676546-0.024326928213687617j),(0.05713688639222128-0.050261310921112586j),(0.031008630893205786-0.02811602512959855j),(0.10278934934321442-0.046822965824154725j),(0.024658486666702943-0.02113548515251631j),(0.08622432119563789-0.03591397640170987j),(0.026265734818039767-0.018666882281607677j),(0.09807625148419198-0.020058073537421j),(0.08927418836187698+0.010044870533252266j),(0.174784903337497+0.37709323866117456j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.008578433181235872-0.001200120957646783j),(0.008578433181235872-0.001200120957646783j),(0.012424517948710394-0.004011605692475096j),(0.018549374116150562-0.0038531295230213613j),(0.015482063619822557-0.006325779084089324j),(0.027322011263719668-0.006964008078407202j),(0.012107139565737196-0.014299000303520002j),(0.03519420308625673-0.02508052789587569j),(0.020532972343869492-0.02619983043192306j),(0.0703456106997053-0.051086535037760415j),(0.03156362774570636-0.024449897433042746j),(0.11732729593047443-0.03746126849917103j),(0.025334345964952983-0.021167213151150763j),(0.09511038413166588-0.02479493907031972j),(0.027680260553879253-0.013442389666636757j),(0.10265954523551209-0.005264294417944251j),(0.07771373916826807+0.024318859219519352j),(0.09707133171488755+0.3527744141891672j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
