-10.0,-9.5,-9.0,-8.5,-8.0,-7.5,-7.0,-6.5,-6.0,-5.5,-5.0,-4.5,-4.0,-3.5,-3.0,-2.5,-2.0,-1.5,-1.0,-0.5,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-5.631437820459886e-05-0.00019860184860642015j),(-5.631437820459886e-05-0.00019860184860642015j),(4.886971608766339e-05-0.003739945100074451j),(0.0003607142856208103-0.0037068606486582696j),(0.026934456379033817-0.018032683957440374j),(0.02385305690842456-0.016240314403562262j),(0.05005755175405113-0.03149659485421331j),(0.041966528005617745-0.02885023083307751j),(0.08203240488166648-0.0479813080272382j),(0.0663221070697632-0.04096236439369095j),(0.06049550750279757-0.04126040727575808j),(0.041064528639078474-0.03365960063336098j),(0.03421673235978877-0.050076888408125214j),(0.017476811647434403-0.03739081053793725j),(0.0005518886653677624-0.02434705735727759j),(-0.011916526514059394-0.012031912663813276j),(-0.0015347637898287779+0.00015972244607188025j),(-0.0013659921959972396+0.0011768444205970969j),(0.00016418258508991035+6.2395863608799e-05j),(3.091225664400064e-06+3.7888430058355654e-05j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-9.004086294638386e-05+8.008865067190635e-05j),(-9.004086294638386e-05+8.008865067190635e-05j),(-0.0007157388903047676-0.0015554705117583967j),(-0.0008194839461681501-0.0013815873238653383j),(0.00968895198855484-0.013306448971749991j),(0.008085126492722753-0.012022945499035669j),(0.019265497806644456-0.02502387613862153j),(0.017740281102815617-0.022000664082005583j),(0.033532219164746836-0.04194842881329894j),(0.027605878572516236-0.03442763738945691j),(0.02890568195544782-0.03789101450512485j),(0.024090043375030335-0.0320050191193157j),(0.015593865625531899-0.04256292168417579j),(0.009642694333607585-0.02995496348806254j),(0.003544707500615993-0.026036578251299403j),(-0.001988924924457613-0.0196957876658351j),(-0.007902190807348367-0.009895372979537135j),(-0.006337935930471733-0.0021397398192684737j),(-0.001350148471908232+0.0008408914977998414j),(0.0001723929450452086+0.0004665145205734833j),(-2.898917025230965e-05+5.8707478627578284e-05j),(3.208016848906304e-05-2.082094780282278e-05j),0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,(-5.7244770557232114e-06-2.614204221123777e-05j),(-5.7244770557232114e-06-2.614204221123777e-05j),(-0.00046024062262518947-0.0004346118123443774j),(-0.0003803953365623555-0.00046811165389682086j),(0.002065150115626177-0.00735867131296887j),(0.0019225135331871431-0.006687666707254961j),(0.0037244747429691256-0.014910463030547026j),(0.0029882961746605765-0.01363889191573843j),(0.009951904645874017-0.026977728456478545j),(0.008659116591214159-0.023798153958363478j),(0.007340782636697511-0.025074481178250875j),(0.0056185480579595045-0.02097011283713515j),(0.003138291770806163-0.030563647737890574j),(0.0016231152423679645-0.024270825455933058j),(-0.002046354575118838-0.0178233954593941j),(-0.0028411185937085724-0.012710861309864423j),(-0.008648273460725026-0.013956534047783587j),(-0.006962956321990982-0.007923396748523725j),(-0.004580348183741308-0.002769065200353134j),(-0.0037006609542339836+0.0013825307363445492j),(8.809596199964658e-05+0.00021131113863494304j),(4.4517920657845405e-05+0.00031912763699744486j),(3.208181693006298e-05-2.572963996844919e-05j),(-1.3432889502623348e-09+4.909539454430964e-06j),0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,(-8.51490830025111e-06+2.346254769859478e-05j),(-8.51490830025111e-06+2.346254769859478e-05j),(-0.0002645676180127617-0.00010273870816861514j),(-0.00027885216202224177-7.171064916919833e-05j),(-0.0003402663268483778-0.0035975149637369488j),(-0.0004061174861452383-0.0032555299691736372j),(-0.0008510393117777681-0.00749464471400033j),(-0.0005741668302549645-0.006808924549337593j),(-0.0007146132519720591-0.014346175925160817j),(-0.0005450165973302254-0.012454791404624946j),(-0.0014699280014367768-0.014284526484550208j),(-0.0009121865590179053-0.012705044381278556j),(-0.004121834424934874-0.016554437207596483j),(-0.0032459185227066904-0.01334712409156131j),(-0.005398241415484687-0.010360340153484367j),(-0.004669078085965128-0.008769208793533084j),(-0.008663492381103333-0.008771608158560252j),(-0.006220211246287795-0.005751185721666562j),(-0.004764266382168084-0.002992166983441621j),(-0.004285510302144449-0.0015410674746639264j),(-0.0028510478462845297+0.0007920665844993065j),(-0.0007949114596932166+0.0009690847755730283j),(-1.88538393663277e-05+0.00032095921714762367j),(0.00010982090464937536-2.4862815607094103e-05j),(-4.388434387361347e-07+1.2861424547048881e-05j),(4.371784957992791e-07-7.95219920822795e-06j),0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,(3.5318759469507885e-07-5.567356228619956e-06j),(3.5318759469507885e-07-5.567356228619956e-06j),(-0.00010488784990201793+8.104967047985407e-06j),(-9.09083640318256e-05-6.1918464930873364e-06j),(-0.0007329794584264681-0.0014226602925934426j),(-0.000655896054644134-0.0013210971631611326j),(-0.0018107233270401384-0.0029259722412787524j),(-0.0017684944811328489-0.002729778567911984j),(-0.002635026376153827-0.006331183461831779j),(-0.00238678651796792-0.0058207304540637975j),(-0.003311376790135624-0.006064348533710684j),(-0.003034706926809987-0.0053210623482010545j),(-0.004908639184964817-0.007842107573703343j),(-0.004323369096650235-0.006721187150943401j),(-0.00482222533060352-0.004137468215182812j),(-0.0040915636394132605-0.0033060292761436295j),(-0.007012662014000241-0.004330146988340511j),(-0.005665535508258086-0.003108523011791895j),(-0.0037167863760848583-0.0009412752949348566j),(-0.002811273591971017-0.0004617604508121735j),(-0.004024952244056611+0.0003881191642088832j),(-0.002260719078446885+0.000725971466738196j),(-0.00082029487246691+0.0004887770765422526j),(-6.887286020302647e-05+0.0008776872167338439j),(6.318563173717491e-05-4.108216405300677e-05j),(4.3821015351103824e-05+3.0092245307432624e-05j),(3.6034806509957035e-08-9.642767156714758e-06j),(4.013428795662738e-07+1.6906700856426208e-06j),0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,(1.1641629523499191e-07+4.894273876837523e-06j),(1.1641629523499191e-07+4.894273876837523e-06j),(-4.052744672344593e-05+1.8120621020411964e-05j),(-4.3238850536892444e-05+2.4393638544061128e-05j),(-0.0005440001553954833-0.0004758412594559418j),(-0.000517487103747178-0.0004287145007713395j),(-0.0012337983699091495-0.0009914607312176864j),(-0.0010961082001331643-0.0009235378748236376j),(-0.0023618542600309673-0.0022243309736509845j),(-0.0021023570287076144-0.001987228714856238j),(-0.0027241516339276068-0.0022288954285048694j),(-0.002378542548178155-0.00210862740320567j),(-0.003696084289212212-0.0026015778617995084j),(-0.003128991185654204-0.002265463036097291j),(-0.003405076514572081-0.001048578099861503j),(-0.0029823897441007847-0.0010313048664415084j),(-0.00439162812105179-0.0009608563808039861j),(-0.003532360732726744-0.0007652344647370091j),(-0.002569060457634466+0.0004969382522753484j),(-0.0022336370162316607+0.00034352771915467065j),(-0.002909304948085037+0.0008211322111389415j),(-0.0019318129343152985+0.000649082813716838j),(-0.0007036576622408779+0.0006282493421472421j),(-0.0006068912524592645+0.0006530217757952738j),(-9.469995734874734e-05+0.0006876540707808585j),(0.0001293338971587068+0.00016625390521404497j),(4.352989677818843e-05+4.7190667918868936e-05j),(2.689016680118522e-06-2.8718152243032727e-05j),(1.5404173262237337e-06+2.850935715360001e-06j),(-1.139181091581611e-06-1.160272896419748e-06j),0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,(5.2761023952489696e-08-1.4970141233840476e-06j),(5.2761023952489696e-08-1.4970141233840476e-06j),(-1.087020480822922e-05+1.3374350892234232e-05j),(-9.025522390282476e-06+9.528307560349172e-06j),(-0.0002941947628648656-9.790556093455459e-05j),(-0.0002704653565699866-9.605723590515762e-05j),(-0.0006916159307089878-0.000141759176843894j),(-0.000674278566675201-0.00013526967216155497j),(-0.0013202415761001548-0.0005487506091617111j),(-0.0012339162003132753-0.0005362624291307656j),(-0.001502324650595425-0.00039373367422491484j),(-0.0014011843280090056-0.0003415564279687855j),(-0.0020990212631636688-0.0006030673120078903j),(-0.0019060356223969514-0.0005443487970740744j),(-0.001692008074415253+0.00017495217376626847j),(-0.0014927678731217265+0.00019215276057909727j),(-0.002383736463077115+0.00023341055852126822j),(-0.002052420513364511+0.0002533432979976937j),(-0.001231613152646802+0.00081647956749349j),(-0.001018114793557517+0.0006950294733212044j),(-0.001748863071846174+0.0009277525116670187j),(-0.0012844449389377026+0.0008082531646447708j),(-0.000275583121154749+0.0006281926448476128j),(-0.00018655745207817279+0.0004858877026314957j),(-0.0003729034638074957+0.0008659914153896191j),(-4.107388874268346e-05+0.0005109661205624366j),(1.5060519872012448e-05+0.00012735193669578606j),(0.00015678954335185605+0.00010426102267997819j),(-5.1292296901605855e-06-2.5406362679379175e-05j),(8.837212781698364e-06+2.1849264306714155e-07j),(-1.5637026905595828e-06-1.5051921282493172e-06j),(4.245738766323227e-07+3.4490543733314134e-07j),0j,0j,0j,0j
0j,0j,0j,0j,(2.7580398298654755e-07+9.05924418276642e-07j),(2.7580398298654755e-07+9.05924418276642e-07j),(-2.107493142190157e-06+6.3927715850086225e-06j),(-2.5988126219711922e-06+7.865751355006134e-06j),(-0.0001354462769435517+7.870590267535832e-06j),(-0.00012844933023923886+1.0651235305009293e-05j),(-0.0002998459534845392+3.3815460704810754e-05j),(-0.0002703702981093056+2.9501246802604335e-05j),(-0.0006631651701525371+1.6096696580463507e-05j),(-0.000601529161118888+2.0103895165608943e-05j),(-0.0007523128994101112+7.149281295692835e-05j),(-0.0006827436635328017+3.977984830720949e-05j),(-0.0010022203893267974+0.00015215392090261952j),(-0.0008806033241671849+0.0001249873910710639j),(-0.0007816307102218545+0.00041984944193590717j),(-0.000716435207189818+0.0003477795825460656j),(-0.00101581808062672+0.0005493675095561122j),(-0.0008694799520457853+0.00046089166645279974j),(-0.000466115012080756+0.0007367056036750466j),(-0.00044688936762042044+0.0006217385516555675j),(-0.0007274367198496528+0.0007664420501264358j),(-0.0005824101068204941+0.0006143071586974903j),(3.282238388011625e-05+0.0005427693179576584j),(-2.851807815324355e-05+0.0004544149543369134j),(-0.0001843985207392134+0.0006552278801768704j),(-9.541920494494383e-05+0.00044466679188998254j),(0.00012342502975862596+0.00010268591770414385j),(7.085922029840287e-05+0.00013944746782949737j),(0.00013171724040843266+9.662833585071502e-05j),(2.8525923904400128e-05-2.5726960639470146e-05j),(1.3356762658200924e-05+2.27474261657263e-06j),(-6.02907733447475e-06-4.202827612859225e-06j),(7.714437467875676e-07+3.621038985338369e-07j),(-3.46890711124252e-07-1.718302127133e-08j),0j,0j,0j
0j,0j,0j,(-6.405101832822185e-08-3.708049586510956e-07j),(-6.405101832822185e-08-3.708049586510956e-07j),(2.456169806961624e-07+2.703905942884386e-06j),(4.044654735230566e-07+1.8350595593034453e-06j),(-5.077736747194053e-05+2.568264402029752e-05j),(-4.737536930660902e-05+2.2718135988831458e-05j),(-0.00011269070364049889+7.927538946930863e-05j),(-0.00011333833894520817+7.598147564641133e-05j),(-0.0002512433099969095+0.00011078248262448565j),(-0.00024282587805057285+9.800724514806266e-05j),(-0.00026612877494168946+0.00017452420025618732j),(-0.0002555176518664379+0.00016961666952564506j),(-0.0003968257007240578+0.00021230070944499525j),(-0.00037428630022678255+0.00019517137675827744j),(-0.00023044233164374166+0.0003096297024411844j),(-0.00020821737692281787+0.00029248902059520577j),(-0.0003702075139401023+0.0004068405732092075j),(-0.0003330177601723477+0.00037383562397458466j),(-7.105488109187635e-05+0.0004153252053958604j),(-5.845882345577906e-05+0.0003717019482359622j),(-0.00024338120490966663+0.0004939944265006806j),(-0.00019063269264422197+0.0004311748828260669j),(0.00013094292089534356+0.0002959871339965181j),(0.00010972905949640247+0.0002440235051170482j),(-4.209663125078696e-05+0.00042287824132255885j),(7.947590282629034e-06+0.0003185913869114291j),(0.00014946154510037365+4.756302713066398e-05j),(0.00010772384568993885+3.729315465544403e-05j),(0.00011088538122027051+0.00018092197350671232j),(9.414962731274135e-05+5.367591419935854e-05j),(7.1753660708170445e-06-6.033758714783445e-06j),(3.612484695160364e-05-1.4249539487669707e-05j),(-7.092455467648207e-06-2.9967426699676205e-06j),(1.847533928609143e-06-5.972074710195805e-07j),(-4.952314113955534e-07-5.472434380660627e-09j),(1.48347847320616e-07-1.1721465044893834e-08j),0j,0j
0j,0j,(8.909328861232675e-08+1.654953422775399e-07j),(8.909328861232675e-08+1.654953422775399e-07j),(5.531613570583179e-07+8.870218485236371e-07j),(4.979186502305336e-07+1.243449911708084e-06j),(-1.6124154544407074e-05+1.8178094696451033e-05j),(-1.5300393284569752e-05+1.7959795942935275e-05j),(-3.2227847299339355e-05+4.227466295405748e-05j),(-2.7847791807808556e-05+3.919592946789201e-05j),(-8.767928476716052e-05+9.087446062306833e-05j),(-7.885349018502252e-05+8.599091279131947e-05j),(-9.47853420535303e-05+0.00011187455840147445j),(-8.747194119064182e-05+9.883662038204965e-05j),(-0.0001236165041312656+0.00016624180620365174j),(-0.00010948058246544198+0.00014848503506000876j),(-5.674725599301363e-05+0.0001835307822955421j),(-5.674232869294579e-05+0.00016295818325845715j),(-7.698543623623258e-05+0.00024174086236270365j),(-6.800027489990246e-05+0.00021058651435383764j),(4.735921513886085e-05+0.0002221764742895943j),(3.212421068176208e-05+0.0001993480949648834j),(-1.5334225146229482e-05+0.0002614472448923668j),(-1.64292880302823e-05+0.0002214094552804669j),(0.00014522974267477652+0.00014210965243611782j),(0.00011295069013202184+0.000130080230038892j),(4.7148720362132544e-05+0.00021200570526888862j),(3.847503451888927e-05+0.0001701276292085925j),(0.00014358983929051912+1.842070958161948e-06j),(0.0001042781513851216+1.91574399056717e-05j),(8.57867036363386e-05+0.00011776565041113425j),(6.225048327988209e-05+7.395410324079513e-05j),(2.4610440422882612e-05-4.58798785896365e-05j),(2.3246583035814964e-05-6.683443727709827e-06j),(3.6268414110076646e-05-1.2353562514318117e-05j),(-7.712454110119655e-06-7.84941314168512e-06j),(2.991496717821245e-06-1.2821647945641233e-06j),(-1.723209978430478e-06+5.660701860210892e-07j),(2.1030831243590105e-07-5.8087415466599546e-08j),(-6.196183759457719e-08+4.6372081301269267e-08j),0j
0j,(-3.586226120699213e-08-7.986037114186875e-08j),(-3.586226120699213e-08-7.986037114186875e-08j),(2.9214282503563716e-07+2.6276981516437954e-07j),(2.8480459481390925e-07+7.97336948498893e-08j),(-2.9891309987986067e-06+9.595271134376656e-06j),(-2.8696829058895756e-06+8.740155197469658e-06j),(-4.168303664672191e-06+2.570644861958133e-05j),(-5.501451129010976e-06+2.5126675326105113e-05j),(-1.5993540262779336e-05+4.777871933326464e-05j),(-1.7511625129611967e-05+4.461164270503184e-05j),(-8.830305390554081e-06+6.192551037360526e-05j),(-9.920014421567554e-06+6.089306719363635e-05j),(-2.333229377745105e-05+8.187883142147902e-05j),(-2.4719592791562838e-05+7.767551207335014e-05j),(1.648210223937561e-05+7.809435627038194e-05j),(1.627284397137074e-05+7.541137880528739e-05j),(4.5243189538646805e-06+0.00011136430466851044j),(3.608316612738815e-06+0.00010493444720787018j),(5.972568316969405e-05+7.851994019276648e-05j),(5.6515110735287324e-05+7.336036790744988e-05j),(3.289232222969109e-05+0.00011765997815331222j),(3.2535782632852066e-05+0.00010619993407333412j),(8.996203345096451e-05+3.8683872936346995e-05j),(8.076778076488099e-05+3.394625920319992e-05j),(5.161011528462376e-05+9.48137909156512e-05j),(5.033237253181655e-05+7.65384744498842e-05j),(8.276351660565407e-05-2.1459958710490792e-05j),(6.776831402485486e-05-1.7979673204759765e-05j),(5.796522962810372e-05+6.301644262774404e-05j),(4.9909691772409666e-05+3.6140649620679775e-05j),(2.057966472305771e-05-4.618646707701838e-05j),(1.4141157351116776e-05-3.1381831906934605e-05j),(4.571906130780195e-05+9.463583844315976e-06j),(1.932997732279018e-05-1.1642761246801399e-05j),(-6.971265996109082e-06-1.2463821913913501e-06j),(2.916942595741596e-06-7.2817945008565894e-06j),(-1.8698222759444488e-06+9.5351962076497e-07j),(4.037857274819844e-07-4.0112471154806e-07j),(-8.705491100326299e-08+7.467854190657875e-08j),(2.509263121908066e-08-2.8309561557682918e-08j)
