-12.0,-11.5,-11.0,-10.5,-10.0,-9.5,-9.0,-8.5,-8.0,-7.5,-7.0,-6.5,-6.0,-5.5,-5.0,-4.5,-4.0,-3.5,-3.0,-2.5,-2.0,-1.5,-1.0,-0.5,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0
0j,(-0.00015372713970218907-7.501434846166372e-06j),(-6.043727219848827e-05+3.0178435374961084e-05j),(-0.0005048408469451897+0.000696440442808138j),(-0.00010354449853865201+0.00038089941802202517j),(0.00017225246541512256+0.0022499244121998684j),(0.0003510694498520001+0.0011182689467881448j),(0.0009790246100178249+0.0044982482690388475j),(0.0013664202393047296+0.0025309407881160136j),(0.002686870977319243+0.007554485374867558j),(0.003285544577585039+0.004636082519020491j),(0.005219112023320158+0.01089821250784821j),(0.0062181990924175855+0.007373232321198313j),(0.008473728278188725+0.014289347150810035j),(0.010183506276049503+0.010580324849798711j),(0.012256711414911046+0.017443313470643203j),(0.015051938605406627+0.014034779423221878j),(0.016313367431488885+0.02012702572405127j),(0.020571332696506593+0.017477352441058212j),(0.020354207782451436+0.022139812371775286j),(0.026377820201532506+0.020613866428557462j),(0.02404962425756821+0.023307198160634653j),(0.031991949029666206+0.023136218773754713j),(0.027026917901148834+0.02351177647717819j),(0.03683210032071136+0.024771080402523224j),(0.028902774827139002+0.022734589667474384j),(0.0402596322284161+0.025338739139323024j),(0.029345728304732355+0.0210783194139628j),(0.0416592657359258+0.02481804239119889j),(0.02814831542036172+0.018761264471109318j),(0.04059082625771206+0.023389053131463156j),(0.025295918069438067+0.01608743978775334j),(0.03696287424040042+0.021348792479890025j),(0.021032158424826683+0.013388810147918208j),(0.031049768965173405+0.01897337087269117j),(0.015891296692572904+0.010911709666641905j),(0.023496769260653264+0.016540448873177214j),(0.010595385937554345+0.008682955938330284j),(0.015484068944786801+0.014161508412400855j),(0.0058217409311891516+0.006558934086350031j),(0.008288099843407455+0.011398466008712721j),(0.002137370523459865+0.004473179870799914j),(0.002540752135428762+0.007991769465427151j),(3.2934728988511e-05+0.0024863407559884885j),(-0.0009663752665672794+0.004637433482931229j),(-0.0005016844769228935+0.0008531657685952432j),(-0.0014826126166341746+0.0016997629687756069j),(-0.00032902569519712154+3.3903896577253145e-05j),(-0.0007759626996520045-0.00037620871158381824j)
0j,0j,(-0.00021416506612834438+2.2676245932373686e-05j),(-7.658163568654475e-05+5.509860978635408e-05j),(-0.0005318113712768411+0.0010222403341019958j),(-6.054739104990323e-05+0.0005258130748406726j),(0.0005838472098679575+0.00284239536349094j),(0.0006391539707729636+0.0013810047271930075j),(0.0019742028803417717+0.005481399105003944j),(0.002151517374961784+0.002963455146299447j),(0.004627678915188782+0.008908667812224788j),(0.004864534338927314+0.005203295149437481j),(0.008291183470479944+0.012478264062450848j),(0.008877857431107245+0.007989689193019291j),(0.012779261933602622+0.015889253375039627j),(0.01413823839116112+0.011099154731887832j),(0.017762382204615818+0.018816936280296855j),(0.02039632969626914+0.014260399993004302j),(0.02284107604728813+0.02101599395375204j),(0.027235452352832673+0.017179349539565937j),(0.02757644406880399+0.02230445432845035j),(0.03408150542154683+0.01955710810593948j),(0.03149047196734087+0.022572392839931975j),(0.04022586494423049+0.021138601130006145j),(0.03410064053003229+0.021823938637763128j),(0.044881224831579636+0.02177050697580724j),(0.03499271366323155+0.020198013677833717j),(0.04727973354163443+0.02146879840070692j),(0.033903381874216425+0.017954826944705182j),(0.04685539937511601+0.02045116690615055j),(0.030797917527316636+0.015437364439879838j),(0.04343087141601757+0.0190229633088557j),(0.025947465160453386+0.013002442122705911j),(0.03722693859343921+0.017440586859101388j),(0.019967855324516576+0.010881792808091127j),(0.028919622995135952+0.015949974516231806j),(0.013689733920743753+0.009026493167606486j),(0.01984426226796727+0.014522178210213958j),(0.007891326028261267+0.007189655452667995j),(0.011388270074775117+0.012442894290788516j),(0.003260692807826113+0.005223769777951209j),(0.004239526077708684+0.00934154678399556j),(0.0004386129926270165+0.0031234151450544104j),(-0.00044002085187742614+0.005941364154844353j),(-0.0004934057533687305+0.0011824258882397456j),(-0.0015547821625050437+0.0024415653873342625j),(-0.000429502447616556+0.00011137320031168467j),(-0.0011049964190800404-0.00034229787882221994j),0j
0j,0j,0j,(-0.0002907477650786321+7.777396486743062e-05j),(-9.277295927673835e-05+9.244373395182824e-05j),(-0.0004995960542056266+0.001455610009077964j),(2.4100990968111348e-05+0.0007024489891357679j),(0.0011988752990094607+0.0035209737319464077j),(0.0010373573443417338+0.0016589257669210361j),(0.0033622186871957063+0.006542053358568994j),(0.003173135161787986+0.0033549859887112327j),(0.007208385839732082+0.010212871132154076j),(0.006835405327882517+0.005621452526201563j),(0.012234274623832728+0.013811788222397153j),(0.012095757302057074+0.008276135591142231j),(0.018115776640206336+0.016959126185151108j),(0.018784427090581753+0.011034849275914605j),(0.02433141940789929+0.01931910486462944j),(0.02647269606625463+0.01358960329098965j),(0.03028655800815558+0.020684315369599776j),(0.03450910011990402+0.015651006406065888j),(0.035364997215395835+0.02096334748602279j),(0.042054869891673244+0.016991261993132004j),(0.038958739657426675+0.02019670565841312j),(0.048156392543668464+0.01750389203246315j),(0.04054806348695454+0.018573119358875942j),(0.051867037551342456+0.017267990029184076j),(0.03979284660317763+0.01640681078745505j),(0.05246116430166487+0.016562628838898818j),(0.036619431746396376+0.014090047207713284j),(0.04963052752794462+0.01572008868439832j),(0.03131296331248006+0.0120110566011279j),(0.04349194160695186+0.014996871757643927j),(0.024564205745998876+0.010383612272845205j),(0.034719008108549575+0.01461780928051122j),(0.017307942275170848+0.009066741061576117j),(0.024778240125131704+0.014380610922012989j),(0.010421995789412098+0.007687713817720411j),(0.015115087318194873+0.013243033097749633j),(0.004729092217072083+0.0059879893788410896j),(0.0064560558563801496+0.010711207316006567j),(0.001044181975839879+0.003854123720520465j),(0.00042482245696108626+0.0074637278785741005j),(-0.0004262113825921061+0.0016010689693872601j),(-0.0015010545476919145+0.0033896091793933817j),(-0.000547115756156143+0.0002343913235449749j),(-0.001534508108227683-0.00023091386030219213j),0j,0j
0j,0j,0j,0j,(-0.00038352236671517165+0.00017021670738290052j),(-0.00010696589073659416+0.00014592047053884035j),(-0.0003685425037128187+0.0020121407606886054j),(0.00016103372982935227+0.000911494042929953j),(0.0020751708947848806+0.0042684367979889575j),(0.0015586840050211795+0.001950734529699839j),(0.005250208107744403+0.007627304491722251j),(0.004444868716145023+0.003684151885247254j),(0.010525972005483716+0.011335967204265435j),(0.009216891350382672+0.0058424682643323424j),(0.017113007120526862+0.014672297556118255j),(0.0158728099567457+0.008140619002438365j),(0.024448974486954395+0.01718651605420026j),(0.024062051789507263+0.0102464022797495j),(0.03176191043155771+0.01859614449233049j),(0.03309818585395208+0.011857574734824752j),(0.038232972318515204+0.018822751836068217j),(0.042027779422822396+0.01277057291821384j),(0.04309072930613016+0.017961596350209195j),(0.049719574701118+0.012941300599855422j),(0.04567848646637056+0.016271296600467406j),(0.0550245354267715+0.012543721924817008j),(0.04555146760506162+0.014138748805297708j),(0.057023317506088744+0.011952554243993427j),(0.042571279592069265+0.012022367602035785j),(0.0552264489363825+0.01156001952763507j),(0.03701622517738271+0.010354796001953673j),(0.04958839753981213+0.011660757643473902j),(0.029637906545723448+0.009334371403741737j),(0.04073870020408426+0.01248405008872682j),(0.02146381918765527+0.008716376099443755j),(0.03023390572677771+0.01362865670990057j),(0.013465338374363627+0.007981316634366391j),(0.019499298187004365+0.013684220225982723j),(0.006610890575723489+0.006724049515024206j),(0.009275224536117626+0.012030075035139884j),(0.0019099451980906664+0.004669139023929129j),(0.001738512475935021+0.00919477587349767j),(-0.00026948292442928695+0.002123094811642317j),(-0.0012489806720150255+0.004569411274749795j),(-0.0006782615400114859+0.00042127399884028935j),(-0.0020816339367183633+3.4936753944282798e-06j),0j,0j,0j
0j,0j,0j,0j,0j,(-0.000490490705028636+0.0003161361529721458j),(-0.00011688810089680762+0.00022091980052776593j),(-9.06379418878596e-05+0.0027027198898689573j),(0.00036219034916324354+0.0011615214007169143j),(0.0032716314492268086+0.0050576924819313515j),(0.0022301954975540586+0.0022733395730990978j),(0.007745564150533957+0.008635804428565326j),(0.0060025721955061975+0.003956992403183804j),(0.014646421293752989+0.01210331621254393j),(0.012057313947355826+0.005832688208906199j),(0.02290378021631069+0.014791151574768182j),(0.02022362548381971+0.007496069406593049j),(0.03158983722322837+0.01626025321389035j),(0.029886467796096754+0.008609883269214968j),(0.03964775989793491+0.016388472214985374j),(0.04001993884895544+0.008965013707497931j),(0.04606363842964012+0.015339741125988042j),(0.049323520027260453+0.00857642293864224j),(0.04999739667476828+0.013469529573070408j),(0.05642694560174267+0.007740945918696612j),(0.05086052318208741+0.01126699689911741j),(0.06018515622464842+0.0069726501486719935j),(0.04841550103038053+0.009284325045373805j),(0.05987604915218355+0.0067738360648751635j),(0.042904599639169566+0.008021519625384181j),(0.05522979049477511+0.0075371922552725625j),(0.03511694331042862+0.00767372724871992j),(0.04678333310901367+0.009541255381971543j),(0.026153174026822223+0.007889933228417698j),(0.03612255344894448+0.012174845428042818j),(0.017066960428961185+0.007987714885955007j),(0.024547013096928017+0.013641970511425062j),(0.00897915473398068+0.007374936491063922j),(0.012779220242777084+0.0132062247414764j),(0.0031069196035750104+0.00554792162586173j),(0.0036311038084447657+0.011102769829727408j),(1.7386529223100658e-05+0.002761165335023585j),(-0.0007039697094183181+0.005996925343439365j),(-0.0008144632991109174+0.0006955836418390446j),(-0.00275990556213908+0.00042479120738828004j),0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,(-0.0006073823789712993+0.0005370550156891553j),(-0.0001187121594832752+0.00032686100259759837j),(0.00039024177764693246+0.0035373891951383757j),(0.0006540967584778882+0.001473162371386405j),(0.00484768947206309+0.005857929929031106j),(0.0031199529997709193+0.0026512566047229673j),(0.01091896871380514+0.009419906822434335j),(0.00794314358140588+0.004180883367444645j),(0.019572284071380636+0.012312966563152328j),(0.015452722183290014+0.005531908077916529j),(0.029453377185427322+0.0139144949485865j),(0.025171075685513588+0.006225831026399382j),(0.03917668356440361+0.013975809926962422j),(0.03612547997595462+0.006008883870611886j),(0.04742436834073388+0.012664898510149203j),(0.04688813061252372+0.004918710593932025j),(0.05308317973136617+0.01047070255390757j),(0.05586524018706811+0.003376150591951341j),(0.05536084239286298+0.008026165631388525j),(0.06165629876689874+0.002078114758865076j),(0.053873269812304385+0.006022899983065184j),(0.06325779155473876+0.001704673479628908j),(0.04878828162763382+0.00506748724713315j),(0.06011665478232403+0.0028306686120520928j),(0.040899027469681146+0.005378947378943456j),(0.052624900886033686+0.0058514030479676305j),(0.03135074972838773+0.00651253792599244j),(0.04231634851980369+0.009958617226472066j),(0.021262946164744737+0.007615861672525294j),(0.030232582058951928+0.012989888071587928j),(0.011909291303379095+0.007866500346444835j),(0.01704183627631242+0.014125987030519696j),(0.004716567233741087+0.006455202752745109j),(0.0062509503800030584+0.013125900158469947j),(0.0004871147778584017+0.0035248122021530664j),(0.0002531784145120328+0.007671229234892336j),(-0.0009397238568798615+0.0010868572418457098j),(-0.0035743774863237275+0.001120408093948442j),0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,(-0.000726099701785639+0.0008639154102825476j),(-0.00010244891449444712+0.00047901591337804817j),(0.001146756957223947+0.004531551614819619j),(0.0010974662945536717+0.0018680135123379721j),(0.006870128865637914+0.0066412629107515464j),(0.004352113682861854+0.003078388978100924j),(0.014772463744866748+0.009825861256879481j),(0.010430714383775491+0.0043000113013970335j),(0.025220114824556383+0.011783301717898025j),(0.019515976767573315+0.004797934167138976j),(0.03648344170924972+0.01189828715578735j),(0.03068607436230596+0.004159941648315749j),(0.04674220020185075+0.010349972871329676j),(0.042532359054744326+0.0023808688693965135j),(0.05450369406942347+0.007699247157369371j),(0.053277876681684905-4.174327709890278e-05j),(0.05867114553166101+0.004783780572353036j),(0.06124410039004222-0.002215911443979623j),(0.05863835705485172+0.002503347927446162j),(0.06509904409765213-0.0032069973635472527j),(0.05444757290069877+0.001638473909737068j),(0.0639567359282049-0.0021493209235027436j),(0.04685328792860439+0.002482325866989724j),(0.058012900726180275+0.001561345860547242j),(0.03700798260836481+0.004531338693120522j),(0.048648169777150085+0.00696698151820206j),(0.026075945951264976+0.006771117464046494j),(0.03649200484303977+0.011611169692456883j),(0.015475572299637875+0.00810638183035515j),(0.02212154453861976+0.014655239294803998j),(0.0068296167329552895+0.007337286519888789j),(0.009760735992997866+0.01516310217111506j),(0.0012068341515701078+0.004418021514001947j),(0.001767203888390656+0.00956498929228017j),(-0.001026866400204051+0.0016310371612694966j),(-0.004514106071427364+0.002207311164997306j),0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,(-0.0008285560000753047+0.0013429315491095993j),(-4.441215354017733e-05+0.0006960535423710574j),(0.0022885956789166348+0.0057035403682931165j),(0.0017951261418468003+0.0023359891492528073j),(0.00942707275511049+0.007383796490435085j),(0.006083554499218762+0.0034678760633715133j),(0.01925295105892983+0.009762507010617297j),(0.01363337290976165+0.004129994332246556j),(0.03144185428256234+0.010421537230949011j),(0.024276876915599474+0.0033908028562467446j),(0.04367513538181485+0.008787829944879663j),(0.03658599070972866+0.0011500438366243864j),(0.05385180926312218+0.005654431308820599j),(0.048761025336586675-0.002123635772454237j),(0.06040674086297369+0.002032848663808852j),(0.058868568901083246-0.005405635837671386j),(0.06239302534260979-0.0008778021785358431j),(0.06519692568955977-0.00745672993986224j),(0.05964358531082386-0.0020114082932201393j),(0.0664850215390655-0.006993675557988687j),(0.052824197045170544-0.0009102115215439893j),(0.0626872918725779-0.0030854242723740493j),(0.04305169321407483+0.001929740464346939j),(0.054914312087556864+0.003252834444819162j),(0.031510928673318894+0.005362641812861489j),(0.04321770505480867+0.009413988788612037j),(0.01974642990941823+0.007984469697656645j),(0.028053426245693753+0.014643087442607826j),(0.00954373180321652+0.00811858615270383j),(0.014329878522087504+0.017064295531160067j),(0.0022605393530995134+0.005436112772178974j),(0.004006682059730456+0.011612676673404437j),(-0.0010325951644500628+0.002370303931632428j),(-0.005540969491886545+0.0038384100581568548j),0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.0008729784739131068+0.002038987105077141j),(9.862127999109311e-05+0.0009901165040745671j),(0.003985053101151937+0.007049462878478503j),(0.0028652325120378545+0.0027954028680953476j),(0.012645375844735447+0.008056454320022067j),(0.008432777496410868+0.0036277994782057264j),(0.02433609505680478+0.009243792154958482j),(0.017588076773310517+0.003369162764735639j),(0.038107181865787064+0.008258403429122855j),(0.029566534861541663+0.0010948183091918j),(0.05079156339143374+0.004797718283500044j),(0.042566558531496226-0.002729089376631936j),(0.060197824682160006+0.00033484584850887667j),(0.05455583819889687-0.007098619997377001j),(0.06481742798302774-0.003599262507397766j),(0.06342451339417574-0.010530733791446143j),(0.06412835077701376-0.0055070511115947116j),(0.06747930442326046-0.011212887256424008j),(0.05863631108622933-0.004600805880526273j),(0.06639256987676388-0.007743401446546853j),(0.04938335897594346-0.0012554765512388468j),(0.06088023570136612-0.0010464616738687902j),(0.03755053102214476+0.0033142994363906126j),(0.05025553347579679+0.006350635109594259j),(0.024778418491772175+0.007375915744783405j),(0.034840050646324866+0.013928559996537936j),(0.012959858057894498+0.008699068823271669j),(0.02012203433459236+0.018621045294336634j),(0.003751655649192014+0.006561853524225508j),(0.007158249655659428+0.013696881649417502j),(-0.0008909789318216415+0.0033518574256541237j),(-0.006573548244668914+0.006208795255668875j),0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.000774371022638585+0.0030291089537513387j),(0.00038519536878842516+0.0013512566087277265j),(0.0064650415886543175+0.008493687911613342j),(0.0043714659766454006+0.0030840995469966714j),(0.01670671542784472+0.008600379038155869j),(0.011383636039381492+0.003314175216901425j),(0.030135284803835573+0.008327886436283774j),(0.022095453464905986+0.0017780815893379998j),(0.04518513993842243+0.0053855748275973905j),(0.035093836735264256-0.002043491209991293j),(0.057710163806777445+0.00019778637937135498j),(0.04842708574978862-0.0071385548426793006j),(0.06558109303823263-0.005070264567282293j),(0.05971842499974217-0.011985955250618078j),(0.06764340514146672-0.008352389206989113j),(0.06676594829046104-0.014273627347864647j),(0.06409557101554819-0.008283341006051426j),(0.06889015166819407-0.0119695485461199j),(0.055877591989112234-0.004913756341866628j),(0.06628894880565106-0.005692489655863535j),(0.04414976108985588+0.0005802622233377859j),(0.05740465688628443+0.002439602465254866j),(0.0306088470079032+0.006148242884909198j),(0.04244126751958159+0.012350928643841517j),(0.017177271307004877+0.00895364409855134j),(0.02727623581474707+0.019559340682738555j),(0.005805752558487702+0.007760786499196363j),(0.011415003000397776+0.015633675177821427j),(-0.0005050550046819973+0.004624984530834351j),(-0.007464489009051755+0.009560757141644114j),0j,0j,0j,0j,0j,0j,0j,0j,0j
