0,-1,1,-2,2,-3,3,-4,4,-5,5,-6,6,-7,7,-8,8,-9,9,-10,10,-11,11,-12,12,-13,13,-14,14,-15,15,-16,16,-17,17,-18,18,-19,19
(1+0j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(0.039607256752482264-0.0007639621997505801j),0j,(0.9603930786048479+0.0007617825705587811j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(-0.015485112296839961+0.007742510679026276j),(0.05509280961715772-0.008507677681185032j),(0.03585528732406585-0.00047706200852820017j),0j,(0.9245380062397314+0.0012365963955128126j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(0.04659010175972564-0.0068771412325529j),(0.0013814867008909994-0.0020838632051062536j),(-0.026219557718085294+0.01414164696092431j),(0.053711494543846154-0.006423683731083045j),(0.036455373492342104-0.003994466141297915j),0j,(0.8880829731970113+0.005228911152851672j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(0.0015472480723475593-0.004744096888190101j),(0.04642453969346325-0.004216727175043887j),(0.0449492767984684-0.009781652583579312j),(0.00424029704667505-0.008158185617236031j),(-0.03471313363321684+0.019927985302464958j),(0.04947150374046342+0.001735144414619326j),(0.034765253704078146-0.0021025653849280597j),0j,(0.8533179618967749+0.007329421611936419j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(0.04509645540094629-0.007947702367752957j),(0.007861713971487789-0.01509146223634653j),(0.0014003222630286044-0.00657790326645633j),(0.04280346715580283+0.002717231584027859j),(0.0430050388203531-0.006318245029767298j),(0.0024392529148120653-0.006352920525528846j),(-0.0429525374717041+0.024142922882809788j),(0.04703252870401875+0.008088606324854856j),(0.03271323943422985-0.003633994434048706j),0j,(0.8206050111350223+0.01096139292690023j),,,,,,,,,,,,,,,,,,,,,,,,,,,,
(0.011679309657794333-0.02093966732797155j),(0.04127921728013691-0.0020988670727136445j),(0.0429684073036461-0.004973603364011128j),(0.005712494277900447-0.011938836013195685j),(0.001437191251561244-0.007922381111600228j),(0.03953050072889205+0.008303717452213723j),(0.03990044968338811-0.007368901928464796j),(0.0022435575003559713-0.001802047242914634j),(-0.05013939946708665+0.02787717181740447j),(0.04478902055205641+0.009890999613474342j),(0.03222612726966546-0.0026943169739246007j),0j,(0.7883791494439855+0.01365381021854487j),,,,,,,,,,,,,,,,,,,,,,,,,,
(0.039722920845353296+1.587246853517983e-05j),(0.009611983092966193-0.017052690420790762j),(0.014925139314826464-0.025928554396254182j),(0.03737998706441427+0.0030155510465385512j),(0.03951645417163563-0.006141699603225527j),(0.0051492774674789-0.003734386827238775j),(0.0018213968848749243-0.009149440799956852j),(0.03662481511492649+0.010236399014617398j),(0.039360595557208826-0.006117680412455679j),(0.003359199097881703+0.0008834875659997607j),(-0.057273496397028105+0.03129991809157036j),(0.04142967031072816+0.009007781845660118j),(0.03010667423406069-0.0026860347229628718j),0j,(0.7582727332320984+0.016337983985798187j),,,,,,,,,,,,,,,,,,,,,,,,
(0.012853375199883907-0.02152404820702004j),(0.03648177711145617+0.004487759050066878j),(0.0364019770898706-0.0013003085415636032j),(0.008258605734662687-0.005745770811593778j),(0.018039942375705206-0.030769394631640287j),(0.03427068138160899+0.005027267400154748j),(0.038641411598936914-0.004842020161039154j),(0.006318639061689047+0.0017511004660958093j),(0.0025407852786537943-0.010424931172052423j),(0.03366517834168824+0.00936900150614827j),(0.03651995882135505-0.005499385025285332j),(0.0037791146011444477+0.0013012567527298513j),(-0.06368641274248199+0.034112722824402766j),(0.03765034630005659+0.0077067809403311635j),(0.029515587960635976-0.00260279170952417j),0j,(0.728757414511769+0.018939009159052105j),,,,,,,,,,,,,,,,,,,,,,
(0.03340227151477541+0.003062879178751505j),(0.010959459515691519-0.007552863427526864j),(0.01585332136822065-0.025886744638284373j),(0.03378093913813666+0.006295165276230308j),(0.03549628345533869-0.0007909290630391465j),(0.009008725660464402+0.002446485432956433j),(0.021185368748403998-0.03481996345470176j),(0.03158038870844468+0.004332075076453279j),(0.03570825215627026-0.004166263303086142j),(0.006636987625104074+0.0031996544587450004j),(0.0033526688475979454-0.011757878482606314j),(0.030807044489574883+0.007470792375548822j),(0.035514445686209185-0.005370222512847054j),(0.0031151294793330545+0.0009933220728203201j),(-0.06968490767843406+0.036879641021821494j),(0.034535041005012285+0.006713683462394342j),(0.028036937387215452-0.002083385036612147j),0j,(0.7007207265168534+0.021020687832838607j),,,,,,,,,,,,,,,,,,,,
