 (1.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (3.704130459846408565e-06-2.998543170677441566e-06j), (-4.023310982070283444e+03+1.923581460029938626e+03j), (-9.943120706609943254e-05-1.521921502241456187e-04j), (2.004191807834934745e-04+2.505393805869617611e-05j), (2.693834747809801074e-05+8.668818103143527908e-05j), (2.094340621244451484e+02+3.198922825786473823e+02j), (5.166583985677916169e-05+5.229753047608455877e-05j), (5.621893400342013378e-05-3.029194501326023663e-05j), (7.581254368711720334e-05+4.773296184562983229e-05j), (4.362461534820905484e+01-2.667890137253468311e+03j), (2.861964255689499891e-05+7.190649249743671185e-05j), (-1.676842374977120375e-04-2.898558272750182871e-04j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-8.471352954560297180e-06-8.259429068232951397e-05j), (2.510249183702660503e+03-3.291407926242654014e+01j), (5.036267078509113143e-05-2.722812086974337351e-05j), (-2.437502873874803792e-05+9.333183313954677735e-05j), (-3.713727786525252236e-05+2.727516076369940976e-05j), (9.402780625478908405e+02-2.904677128277067823e+03j), (1.635022466256550052e-04+4.835468496150991351e-05j), (-5.733403749003672026e-05+5.713694150487571335e-05j), (1.116638754518856585e-04+7.334248643548174703e-06j), (-2.471620511995527067e+02-2.338992322751842039e+03j), (1.056638565339075564e-04-1.862563164995355576e-05j), (7.309088690517292640e-05-1.874402346435280042e-04j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (1.698590102557082576e-05+5.824165596399119425e-05j), (1.542451154210671973e+02+8.918961150532701367e+02j), (1.931095713371978591e-04-6.175648427917971510e-05j), (-9.737940900911453129e-05+8.092487819450078674e-08j), (-6.993583175398052019e-06-2.723448899229908624e-05j), (-2.547850514345445561e+02-6.440774695662553313e+02j), (4.125311849249462443e-05-6.572032675351182208e-05j), (5.621284824183124328e-05-7.430439309126261501e-06j), (6.011538691425633355e-05-9.971476604484458370e-06j), (-5.002788472407919471e+02+1.843366407300938818e+03j), (-1.455016158513011367e-04-4.324878550475518403e-05j), (-8.671334273213076658e-06+3.434969185459047625e-05j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.225433744041985137e-05+7.393824356323447757e-05j), (7.036385976286993775e-05+3.141999639381864106e-05j), (-1.380795460557372116e-04+7.050343118230592009e-06j), (0.000000000000000000e+00+0.000000000000000000e+00j), (2.663359545723735492e-05-1.714319485355589279e-05j), (-1.876265820185993403e-04+3.558251971778555751e-05j), (9.855219430643141938e-05+1.951363087844926007e-04j), (0.000000000000000000e+00+0.000000000000000000e+00j), (2.844653435344908065e-05-4.910032000787320126e-05j), (-4.684628229155339215e-05-1.087040921287637054e-04j), (-5.162267265764314939e-05-1.699636855155092384e-04j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-3.152015143380681550e-05-1.649452474872858872e-05j), (8.378266601005115077e-05+7.076887969124104555e-05j), (2.196308184042542402e-05-1.344474837820331263e-05j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (4.557686483995414603e-05+4.385345294558167130e-05j), (5.728398563961693477e-05+3.227148760766103186e-05j), (-4.664551440609396559e-05-2.242961177661377385e-04j), (7.188855359350426397e+02-3.661673005428810939e+02j), (9.999506036700450684e-01+1.498173800782756853e-05j), (5.419933097255678922e-05-7.974822307440640934e-06j), (-8.233613625981547554e-05-1.098902266623447567e-04j), (-5.987934925836726734e+02-1.058308934711658367e+03j), (4.091309272914669411e-05-9.886269516593628286e-07j), (1.000017310022786043e+00+1.197665403455220106e-05j), (2.241388124917862812e-05+4.201433339040164483e-05j), (-1.877013746189068570e+03-5.726566060576641348e+02j), (4.610628259279661134e-05-3.005087324512220395e-05j), (1.626069870128763861e-04+1.206361174477570201e-05j), (9.999138644698735146e-01-1.081325525559977433e-04j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.442276813545983503e-05-8.952390835164966546e-05j), (-1.034930154401963017e-04+1.017147100659783078e-05j), (8.100832929639742224e-05-8.624045238694456991e-05j), (4.714718657043387793e+03-5.909699875390421084e+02j), (2.819991440050289587e-05+3.790252988325707465e-05j), (2.922885330650949585e-05+7.687638678201109979e-06j), (7.292534857772367605e-05+3.696571888933024226e-05j), (-2.864008228659617089e+03+1.074354601135869558e+02j), (-4.166921354810583121e-05-5.848409292032829665e-05j), (-9.067216097689448855e-06-7.679188976986777381e-05j), (6.277356418557211129e-05+5.713057103763672197e-05j), (1.298417685303984626e+03+1.833031544565139711e+03j), (-2.169206834057099692e-05+5.667694913405448367e-05j), (-2.429404144781658205e-05-6.879249870084029890e-06j), (4.510166648511862100e-05+1.159822861452867139e-05j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.056999862701288148e-06+5.519130567310108254e-05j), (1.350377992222819847e-04-2.519752110096206641e-05j), (8.038625624923556134e-05-4.605907940597472969e-05j), (1.929884170185602898e+03-9.194687801920975971e+02j), (1.076228193919440940e-05-2.126730417070239715e-05j), (-6.166345160936719406e-05+2.459433002481366558e-05j), (-3.013497982625060886e-05+3.837430806689250736e-05j), (6.084353086364155843e+02-1.075552551626703007e+03j), (6.784436223313150712e-05+1.883716919159995215e-05j), (-3.048934425895213435e-05+8.368356919302203886e-05j), (-8.166623783911369612e-06+7.134250733264008669e-05j), (2.929674878852683264e+02-1.424558659723258529e+02j), (4.614104239521732556e-05+8.063865387020702571e-05j), (3.274731135856933550e-05-1.063402040929370273e-05j), (-1.391508423572272051e-04+6.766462667406377828e-05j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-9.085136556269587905e-05-1.572013501179268802e-04j), (-1.203858857440501879e+03-7.611433914689522453e+02j), (-4.736323687558236770e+02-9.791841867332202582e+02j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.027018520595707857e-04+4.383002282150779810e-05j), (-1.237444919912349405e+03+6.508114756993314813e+02j), (-2.798961218646105635e+02+1.387252163731667679e+03j), (0.000000000000000000e+00+0.000000000000000000e+00j), (4.102944724567408565e-05+1.068700886347654733e-04j), (-2.875790147451994585e+02+1.091813840489990355e+02j), (3.013820100727996760e+03-2.880786654179732068e+03j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-5.221016692200400685e-05-3.902151319542250804e-06j), (-1.887837026530544108e+03-1.529813495737664425e+03j), (1.608279626609548814e+03-1.877394850822562603e+03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (2.034251708519504171e-05+2.290995852909926024e-05j), (-6.832812786562376459e+02+4.404221170360511906e+02j), (4.180976487268541746e+02-1.715148432253450892e+03j), (-1.101828836994638483e-04-1.890741599550536031e-05j), (-1.047922698698724637e-05-1.517934647188770429e-04j), (9.657782988339205588e+01-1.410950111279938483e+03j), (1.923856163078130066e+03+4.672990990773222393e+02j), (1.529058283959404678e-04+1.374518292089500077e-04j), (-3.568917724706468511e-05+8.607387414957085817e-05j), (-7.388277852970192043e+02+3.829599623183343056e+02j), (-1.332650083086468612e+03+1.222536743936393350e+03j), (1.213196836382641981e-04+6.230615776745148347e-05j), (9.270992447470552454e-05+1.723001103179304773e-04j), (5.601841278179808370e+01+2.550064206903478521e+02j), (-1.500158303707810546e+03+4.572492164069973342e+02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (6.487798505578045707e-05-6.638529871064490558e-05j), (3.834331724764021487e+02+5.628417971103971240e+02j), (-7.957744315623674538e+02-3.267820929315362832e+02j), (2.049255822076160010e-05+5.631365271517064385e-05j), (1.000019574079009210e+00+5.425987710559119744e-05j), (1.392053510339132117e+03-4.896019449713820677e+02j), (-5.691864585482903749e+02+2.115288360854470284e+03j), (-2.197453943914177759e-04+2.356780088270477581e-05j), (7.200777004203171613e-05-2.587668798140778227e-05j), (-1.408996425675244666e+02-5.103365870912452351e+02j), (1.272887436921938615e+03-1.225656819410379967e+03j), (8.934840946192966634e-05-8.283473028449173320e-05j), (-4.828492153829734579e-05+1.189221601894046800e-05j), (-3.043767405572984330e+02-3.349564941328919303e+03j), (1.163671682872976817e+03-1.517602899539098644e+03j)
