,-10.5,-10.0,-9.5,-9.0,-8.5,-8.0,-7.5,-7.0,-6.5,-6.0,-5.5,-5.0,-4.5,-4.0,-3.5,-3.0,-2.5,-2.0,-1.5,-1.0,-0.5,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0
5.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.007769556269703145+0.02327874339342277j),(0.007205549806716166+0.003727892926419401j),(0.031030786379428923+0.011734386110490736j),(0.01982727884294337+0.005941199473211443j),(0.06041133339724103+0.006530546268863156j),(0.04385553230767048-0.0032963775234196653j),(0.06546533086390927-0.009625753340821736j),(0.05585333416164444-0.013025725142735423j),(0.07741196466029655-0.014797072991131277j),(0.07107230602171573-0.014722044018460547j),(0.08408980776229195-0.019377850151954038j),(0.07749315021846087-0.016546644328416616j),(0.0719278793013412-0.00935828565765326j),(0.07846612457367749-0.011334990264590195j),(0.05397375730050836+0.0035393460200281177j),(0.07191856080369677+0.000696195662314966j),(0.0336965783980144+0.007588720487487549j),(0.05557679406762507+0.016163424478578648j),(0.011331525300906331+0.013235760745732851j),(0.021606263499103523+0.019644164376124804j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
5.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0034282039245288214+0.017913414427394452j),(0.0043413397183718425+0.005365343143771008j),(0.02404521454691306+0.012576554042647613j),(0.014191172602923423+0.0028855493276419555j),(0.04718872910814844+0.00965659937544302j),(0.033049766325899836+0.002814869888891528j),(0.06219392076998683-0.0029343655218537594j),(0.04712701203643384-0.009987858337612489j),(0.07296734415585387-0.012033538435834617j),(0.0602975553857544-0.015789908040290044j),(0.08307294618759706-0.018261101777788846j),(0.07208831557773847-0.015839558911138068j),(0.07345746104344414-0.012483320077311039j),(0.07596295594346189-0.013422007618346485j),(0.05964752752443203-0.0035767904942360326j),(0.07279211575119189-0.004219055960351355j),(0.04036695454798421+0.0028249815149910635j),(0.06524825643144194+0.005460261866907932j),(0.023408771848599602+0.007252350232530591j),(0.04349966122785036+0.02214694784992457j),(0.006489826441763059+0.0034462224782930016j),(0.015116034741800542+0.016198072532468535j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
6.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.00027392725247794126+0.014493344573561285j),(0.0037023076833810945+0.003420046666334489j),(0.018131050165579112+0.011750525886544686j),(0.010255434198766395+0.006191344244014828j),(0.03813387818218163+0.009495561631264783j),(0.02324593158686847+0.0030464661786454867j),(0.05399199489461064-0.00023325225141958966j),(0.041251600153590945+0.00011356452643676874j),(0.06532293230526366-0.009694660542574111j),(0.05477102050474566-0.01232684726438202j),(0.07627807701449943-0.014610832929068836j),(0.06709233725544902-0.01944020277555496j),(0.07257359860178511-0.015957624363855623j),(0.07297199806111315-0.012365256995266522j),(0.06415344580841784-0.007820992635745734j),(0.07145702220926611-0.009177717114200273j),(0.0499002011165771-0.002689593340651364j),(0.06325880960507677+0.0012957977453620362j),(0.03602717945613152+0.002827480865202458j),(0.052629561288859886+0.009885461460507686j),(0.017506270520906766+0.006974683678507295j),(0.032483211967107566+0.01861862148690396j),(0.009398256970208532+0.005147588721300161j),(0.005718027423225705+0.01104966707818571j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
6.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.002418054441269022+0.010575094433320331j),(0.0021440862987809777+0.003918274500429389j),(0.012875913913429366+0.01140304120299874j),(0.008957435809072373+0.003767488905886183j),(0.03099159603267105+0.011549155617622911j),(0.017397632302764685+0.004137445906995449j),(0.044563021553638706+0.005043876425046251j),(0.032674818959435074-0.0022308144127942972j),(0.05975385511376627-0.007088254545441688j),(0.04682053767066939-0.002493035003982491j),(0.07043382723044446-0.010685013203413184j),(0.06061532966915808-0.01625279336096882j),(0.0711958956539352-0.017230885393991813j),(0.06846998910085297-0.01816709948787455j),(0.06661436825422054-0.009866637863806415j),(0.07051107908457802-0.010319674642013985j),(0.054916206294619144-0.0075728272498574835j),(0.06644097017439746-0.004294544239620206j),(0.04272735498905544-0.00013783548161510934j),(0.05655850997465126+0.004261155693460379j),(0.02770467253200547+0.0030474957664322847j),(0.04243123277014312+0.01381271097031278j),(0.01701926211837863+0.006532098449191396j),(0.024862201489595732+0.017234159393719285j),(0.0021330271959035456+0.0031783611757335547j),(0.003585067463609107+0.007871346999000356j),0j,0j,0j,0j,0j,0j,0j,0j,0j
7.0,0j,0j,0j,0j,0j,0j,0j,0j,(-0.0028834503722038342+0.007401512418186737j),(0.0004654384711583003+0.0031735562235300973j),(0.009407063399841306+0.011086852465967727j),(0.005613051702393382+0.0042344726126639426j),(0.024186061451724177+0.011756472491632612j),(0.01576294560408692+0.0035599154596402645j),(0.03549904679732922+0.005198697398752184j),(0.02646152375117589+0.003982418224765382j),(0.053677309465435745-0.0021134499976169386j),(0.038751211147000066-0.0072062817359606415j),(0.06675210815049054-0.005588053636445646j),(0.05050218526475842-0.007590260760497978j),(0.06908251969735325-0.015437702438885651j),(0.06272829840313693-0.018046586056361322j),(0.06705283658680394-0.012572767005874022j),(0.06803103680917356-0.015461438118001932j),(0.05881904394687181-0.00971993802936369j),(0.06660788946998468-0.008172946643755601j),(0.04909607073694354-0.0050817517806922485j),(0.06007220727458381+0.000649291511730732j),(0.036480852428629286+4.197287935284273e-05j),(0.04778220753556745+0.007266828849279394j),(0.02476496874188405+0.005805086899598267j),(0.03468533602906906+0.014539864341911572j),(0.010109154804694596+0.004505601396824514j),(0.016885876506608114+0.015906993249549695j),(0.0021661316120332548+0.0011768026316329367j),(0.0014189224958220204+0.006694563514556264j),0j,0j,0j,0j,0j,0j,0j,0j
7.5,0j,0j,0j,0j,0j,0j,0j,(-0.003406045829074986+0.005024291906812533j),(0.0005226350178235657+0.002377259150102598j),(0.006572979783877586+0.010453571658021623j),(0.003299543485157912+0.003806823781721861j),(0.017856703755504497+0.01205495829156985j),(0.01194249760362585+0.003935995324406276j),(0.030766938201357102+0.007022017984834908j),(0.02049513915507797+0.0017364919568543516j),(0.047143818480364155+0.0010740842743014896j),(0.03299509179730312+0.0007948610535847401j),(0.057455379826663114-0.004045725929099963j),(0.048047880299055976-0.008748565700018947j),(0.06425093797555517-0.011663496929804245j),(0.055333469082109066-0.011364658783932238j),(0.064212701511206-0.01394411859641239j),(0.06556843580481644-0.0166751367784622j),(0.0602890953351804-0.012303490681540399j),(0.06656099327284903-0.012877863108242836j),(0.05367805093295143-0.007623576737836506j),(0.062025953538280824-0.005630874666722316j),(0.043054229346188314-0.001990928337781788j),(0.05349857846283639+0.0026820630769938056j),(0.03195690569466941+0.002792709479979401j),(0.040590306112999096+0.010279243551248787j),(0.017953283053727117+0.004803364896344068j),(0.026841032233832215+0.014242062083059056j),(0.007473955545274814+0.004022019376629221j),(0.01157790989821255+0.01306178570323272j),(0.0009422930227873769+0.001376612495454284j),(0.0004765492387871299+0.005317954970596228j),0j,0j,0j,0j,0j,0j,0j
8.0,0j,0j,0j,0j,0j,0j,(-0.003095342730868742+0.0029361478956173945j),(-0.0003106852717072628+0.00208813836592479j),(0.003965339788644589+0.008974819600906693j),(0.0031302908817358874+0.0038559981551872674j),(0.012911489314124466+0.012013067061513906j),(0.008244840471799965+0.0038487064764965184j),(0.025541579290039335+0.008586160815750865j),(0.017167837305284508+0.0023717524453564206j),(0.04010674976006725+0.004410381921567235j),(0.027532246843499433-0.001599851351496226j),(0.05173195146645926-0.001448681606515052j),(0.038718513740392306-0.0018022622795823182j),(0.0599729425976186-0.009428824477739236j),(0.05232565224510491-0.010983550406166144j),(0.062450948921139365-0.011246820604183428j),(0.05709516973219237-0.014062070152420994j),(0.06128521500907291-0.014356900162799955j),(0.06457233938241877-0.014621656084950524j),(0.05663849938727084-0.009612749114750928j),(0.06360054827215211-0.010888686951814702j),(0.04676540638265659-0.004771797231250499j),(0.05831445491567041-0.002849990319259908j),(0.037750823255972524+0.00034653336090103995j),(0.04770470985785524+0.005128244950920947j),(0.023979659160589233+0.003605678747485188j),(0.034563754738593584+0.011476971236642168j),(0.015192883248158004+0.007169627141036526j),(0.019122122473729408+0.011094463132522709j),(0.004834055674682901+0.003293825927325187j),(0.0076859638043401115+0.011144569906739284j),(0.0006246084249888796+0.0015829082605375952j),(-0.0001480940484599985+0.003735032488856989j),0j,0j,0j,0j,0j,0j
8.5,0j,0j,0j,0j,0j,(-0.002550258994403504+0.0018248510746627807j),(-0.0005450765532514291+0.0011112934530663533j),(0.002039245717926684+0.00737966944611548j),(0.0016154357691759672+0.0036832539209394537j),(0.009450480342734576+0.010750780271544984j),(0.006591318740179017+0.005118255562181333j),(0.020079309609264264+0.008656800023031267j),(0.013707069546680902+0.003778044269432208j),(0.03326797594504661+0.006400921977840083j),(0.024006524989870978+0.0003810295709141383j),(0.04445964831203777+0.0009762143709382375j),(0.03480457063414976-0.0040248162300835j),(0.054751246274595246-0.005453411015813907j),(0.04393979924770316-0.005777869666845857j),(0.05814866524296723-0.010769285638496669j),(0.056627575769634855-0.011461181321225455j),(0.05879462129407456-0.013911270436924623j),(0.059585742066957555-0.01450756848940312j),(0.05696223995441758-0.011773635207621638j),(0.06424860237821899-0.01246054013944455j),(0.0494776766668268-0.008127313224364194j),(0.060888257162482466-0.007532937713458007j),(0.04247689185539436-0.00398699396893285j),(0.0535883764001765+0.001483619659459445j),(0.02946720108697839+0.001119701215121127j),(0.04221691393288275+0.007614384335936184j),(0.020635118451662608+0.006047159522063233j),(0.02912133654732528+0.012599472538027767j),(0.00995293393933161+0.003099393968879094j),(0.014003227826246524+0.01128887501021271j),(0.003577684881186356+0.003567582763444166j),(0.004732786828418103+0.009159885894670514j),(0.0002457790063506549+0.0009166056976519133j),(-0.00039391767018907685+0.0028184171800854133j),0j,0j,0j,0j,0j
9.0,0j,0j,0j,0j,(-0.0019537680217997524+0.0009346874666493806j),(-0.00059647634056822+0.0008901678632962527j),(0.000551814428571393+0.006234594349038057j),(0.0009423849541796673+0.0022563763980474917j),(0.007241619182399344+0.00977065138979397j),(0.0038243341480385454+0.004663346826226544j),(0.016607543590229774+0.009584608469402301j),(0.010063161770236091+0.004190273669807354j),(0.02765328812546947+0.008648542441899672j),(0.01932178300407965+0.0015302294247934913j),(0.039786443760525314+0.003192175270273309j),(0.02867988635371288-0.0018351616476969175j),(0.050909744972608764-0.003048234675854425j),(0.03864617308080489-0.006430283798367927j),(0.05530275708190876-0.008266894759461914j),(0.04678566064972373-0.008280452902223028j),(0.0595130556621594-0.012890256441947821j),(0.055909120010276016-0.012482362566996377j),(0.058620743957694225-0.01324333262534397j),(0.05792670849263294-0.013038223592290819j),(0.0536572724980692-0.01118582183060044j),(0.06006851890706893-0.00940223619076655j),(0.0473358186944199-0.006349905570921747j),(0.056029222093736335-0.005169945156351774j),(0.03610790368777128-0.0019532104799641647j),(0.04694764125938839+0.004556475663150707j),(0.027020263631095717+0.00359630675652762j),(0.03583147123584741+0.010065153726587905j),(0.01639706135813614+0.003529472921707862j),(0.022677043106305368+0.012169343690596067j),(0.007532019317704919+0.003388277330532241j),(0.010048887785157735+0.011468174442693565j),(0.002364828043114515+0.004077524577101299j),(0.0026137370985654346+0.005998972301643346j),(0.0002198150657653876+0.0008232184175625337j),(-0.0006137549580241457+0.0019951759769563137j),0j,0j,0j,0j
9.5,0j,0j,0j,(-0.0015189885853471995+0.00035963530448674384j),(-0.00043479592747133473+0.0005750654060075034j),(-0.0004257170668688913+0.005158631958316292j),(0.0003811320691517196+0.001966121008829136j),(0.0046809041029318805+0.008565822151932112j),(0.003503166769399354+0.0034611764094156392j),(0.01253353828939886+0.009482642727795093j),(0.007898377478977092+0.004765243137206266j),(0.022411816301439375+0.01002795219653741j),(0.01530469953856021+0.0028107735705561747j),(0.03449807874109325+0.005846575472293777j),(0.024610221708822096-0.0011242791635040492j),(0.04608752135303387+0.0011731684748774152j),(0.03350214103046425-0.006056970250696793j),(0.05204999995145077-0.004796219249269557j),(0.041898970959861434-0.009901077147365333j),(0.05835232636219276-0.009268276394459382j),(0.047946214665954966-0.011902949487041903j),(0.058883626229280166-0.012474658472640223j),(0.055646216357200164-0.013251280566075265j),(0.055528394410933476-0.011621691910790679j),(0.05605535279629978-0.01260269047952822j),(0.05124526944855266-0.007524526499821985j),(0.05615880704080628-0.008227848493922534j),(0.04157981022876999-0.0034843979460354437j),(0.050557049943568785-0.0036388534835042896j),(0.03271264133377161+0.0018900688863924958j),(0.04125508602373238+0.006262588548094601j),(0.022948408702518703+0.0023896181824036135j),(0.029280158094273794+0.01120497194432832j),(0.012743294332026513+0.003854163939897984j),(0.01746577969706594+0.011703479774157302j),(0.004589851899314538+0.0057703957244705315j),(0.007823861466198342+0.009775317564831274j),(0.0011143282659391237+0.0022829986935483616j),(0.0017191513929438362+0.004539176371952606j),(-0.00014003780870923405+0.0005853166383273657j),(-0.00047372322861459666+0.0014098606060637111j),0j,0j,0j
10.0,0j,0j,(-0.0010730393291220452+9.08372515662395e-05j),(-0.00044594381407195034+0.0002688007446068478j),(-0.001108512431981939+0.003944528283825049j),(0.00024801967908775796+0.0017891888348841025j),(0.0026867827943607603+0.007141256554292329j),(0.002375285812279353+0.003390710560334575j),(0.009111675232543534+0.008037382590865543j),(0.00692501351206431+0.004906467355544411j),(0.017736386446538067+0.010179723391886223j),(0.012573783511858854+0.004613392730118533j),(0.028922530628963147+0.007144340229760378j),(0.02088020490687801+0.0015129088457703059j),(0.040166685586232084+0.002080424442036508j),(0.030531024987739002-0.002031572828526999j),(0.047150698775780736-0.004164727102949439j),(0.03840140897372731-0.006688497987718032j),(0.05376296535238518-0.007234761245201663j),(0.04648819292310118-0.011934701391686951j),(0.05660801284720158-0.009830008560549918j),(0.05022183172985572-0.014547698873900344j),(0.056344731513971666-0.012777222484868183j),(0.05482983627036261-0.012095790469294154j),(0.05229917977845809-0.009563253498604688j),(0.05500146578623782-0.01056402585975647j),(0.044882741476033695-0.005759809653401883j),(0.052855675792855474-0.005952445642553363j),(0.036981962796359985-0.001245543381480947j),(0.04628765017289297-0.0005030911668033471j),(0.028951269280121244+0.0022162925553845963j),(0.03525217087811408+0.0064360199850385475j),(0.017860444538202676+0.004186027692636455j),(0.024162983879353513+0.010873095595784357j),(0.008417145544807188+0.005619056791606772j),(0.01363833113379124+0.01185487456745073j),(0.003515811404889737+0.0034111516841582477j),(0.00542231727073955+0.008647144381814655j),(-0.00022599955356888073+0.00217889039359854j),(0.0018051192659033917+0.002945611027909709j),(-4.443798814558457e-06+0.00036394090363455747j),(-0.0004692874206218746+0.0010459134573590435j),0j,0j
10.5,0j,(-0.0008129830620022165-0.0001077090070037176j),(-0.00026006061403403797+0.00019854889283170478j),(-0.0014428630164225764+0.003062946764063863j),(-0.00011158338095502499+0.0011503963191250453j),(0.0014722916675649774+0.005953095308325205j),(0.0014625274016398695+0.0029773356827827893j),(0.006935997140715439+0.007510951232018217j),(0.004550988544456278+0.003917107485652691j),(0.01483550607672988+0.009579771442347063j),(0.009825916863679458+0.005506365144996068j),(0.02428406003115354+0.008291556368930163j),(0.01721230171981871+0.003466070214414285j),(0.03416172265276226+0.004849243552695122j),(0.026885428573270073-0.0012556784303356854j),(0.043275385063438025-0.0017141947434107338j),(0.03440621845227716-0.004482394304295795j),(0.050169048560649444-0.005341445234165025j),(0.04199534471167492-0.008581941213613518j),(0.05459716860666002-0.010023985463166662j),(0.04849901918590721-0.011740891444725j),(0.05499490046637247-0.012862007312478605j),(0.05157161532663699-0.014463112932788194j),(0.053970882147706116-0.010239002968948856j),(0.05315784999850116-0.01142034903624437j),(0.04762167259696403-0.008106622195105974j),(0.05226226195411422-0.008217402095205146j),(0.04112409950499345-0.004643348930138412j),(0.048713547918037586-0.0025547304712801797j),(0.03422788440794761-0.00014924829993379234j),(0.041010942318863236+0.001862514237602242j),(0.022540684456464385+0.0027192641470569993j),(0.03057171048039892+0.00790284011356454j),(0.013005612489650813+0.004871876769696683j),(0.01957449619771579+0.011620286002814858j),(0.006647255257464683+0.005473524116245006j),(0.010506878467207813+0.009792534778218112j),(0.001988529857551456+0.0035712840658484323j),(0.003207730945674678+0.007254759605049994j),(0.000806863622240929+0.0008169870361451153j),(0.0009938154510393878+0.0024925583960185515j),(-5.5377496083848176e-05+0.0003583882568573998j),(-0.0004139144549542471+0.0006875182941393678j),0j
11.0,(-0.0005590781164399767-0.00019153736224522268j),(-0.0002539033039987191+8.383013287677548e-05j),(-0.0015237474667233637+0.002224123485707663j),(-0.00017917376324897932+0.0010373733344581108j),(0.00033245892523063304+0.0048294871412596614j),(0.0010282604590453597+0.0022739967611912293j),(0.0052089927817826655+0.007262959190999771j),(0.0031895639325424645+0.0032253070468243297j),(0.011496344064246763+0.009311531386980341j),(0.007890184371719603+0.004185307192648988j),(0.020263115408980327+0.0099022304020623j),(0.013846904430508376+0.00389555636754762j),(0.02963863268096582+0.006471863377013713j),(0.021735402274091025+0.0018433803138935172j),(0.039531837645004224+3.447537587806453e-05j),(0.030628939180736902-0.0030044903607758973j),(0.04634680176107195-0.002753955569025723j),(0.03822832017117226-0.00707009166765053j),(0.05238801807824739-0.008346309315126964j),(0.04420452684356688-0.010259810333543045j),(0.054298022442934774-0.012072376044519103j),(0.049195862682555956-0.0125306486167883j),(0.05316511941316384-0.011265577426550308j),(0.05237708245578015-0.013436833753948907j),(0.04928263532751376-0.009895080306386325j),(0.05149659857527512-0.009632035203032064j),(0.044028780898112664-0.006137039014962278j),(0.04935730763256194-0.0067237827703680005j),(0.039515715723153905-0.003684197429336546j),(0.043425626751773444+0.0009798581391957505j),(0.030008355004717387+0.002083960253473685j),(0.0335432472297589+0.002497755411875458j),(0.018600927627036523+0.004543502786401548j),(0.024976320080263594+0.00823130176962358j),(0.011205777426389972+0.005558460454859959j),(0.015015990860613075+0.011535371444116434j),(0.004609202339219769+0.00439621241673614j),(0.007886152571325937+0.008967607973485508j),(0.0019361127979486048+0.0022225853264485626j),(0.0020784216814313554+0.005849172064500446j),(0.0005883551253356122+0.00088421613396908j),(0.00035006772515900773+0.00196672554328821j),(-4.5423938454539104e-05+0.00019637130735357129j),(-0.00036849806038527207+0.0004911397173741496j)
