 (1.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (5.268632579316936404e-01+2.192906481481796122e-01j), (-3.045639392042728821e-01-1.908954082822741927e-01j), (1.426451176712864033e-01+1.100058400883247717e-01j), (4.731379665988524330e-01-2.192908285504523991e-01j), (1.658399322311793489e-01-4.328935172085859352e-03j), (4.567091016624376387e-02-3.897700427135186718e-02j), (3.377324129237336235e-03-8.222479845469450599e-02j), (6.981466843072115999e-03-2.120978771242092165e-01j), (-3.163276419123492444e-02-5.193060248031773282e-03j), (3.330798044606270158e-02+2.288759328012051342e-01j), (-1.025579139933366357e-01+1.399601303630434446e-01j), (-1.579271502577692457e-02-1.607644939195840561e-01j), (-1.240460660088696793e-01+3.363390662540124976e-02j), (9.691036842526923323e-02+1.108439072970920647e-01j), (8.943578085906522812e-02-2.965285971138392068e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.472019693605208963e-02-9.385964392290778446e-02j), (4.542206998885725544e-01+3.532161573162478363e-01j), (-2.983031657860406999e-02-8.611060035089286580e-02j), (-1.472019694222462954e-02+9.385964392920063959e-02j), (1.016067758178906821e-01-3.501571392702976238e-02j), (-3.896550908880817843e-02-2.567208301499490988e-02j), (1.277746537203114721e-02-3.118429288749423600e-01j), (1.380274907707709255e-02-4.456502772636640186e-01j), (5.113287142672009317e-02-7.706207689111770065e-02j), (-1.971679030266885180e-01+2.462529588448374163e-01j), (-1.602487084427278718e-01+9.872748953535118166e-02j), (-7.046464238974481376e-02+1.485564592644792424e-02j), (8.932549533073130821e-02-1.504069195706215223e-01j), (2.665502993784369945e-01+9.770057156180657343e-02j), (2.454083674249859237e-01-1.119471730307891461e-01j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.332677640483870829e-01+8.867567716677263179e-02j), (1.177373121096023101e-02+1.379107782102335922e-01j), (3.023307412250245130e-01+3.942119747384043027e-01j), (1.332677640577387135e-01-8.867567715073072787e-02j), (-8.461304131197029677e-02+1.293379628549678195e-01j), (-2.057103641901437685e-01-3.137583216675222109e-01j), (-1.467948036902010089e-01-2.211255462962840590e-01j), (1.652810461590216995e-01+6.936988389211272421e-02j), (1.879203169988348798e-01-6.142380172446369052e-02j), (1.571067486028469573e-01-9.248628625192917285e-02j), (-1.010335006177364991e-01-2.226058940539138997e-01j), (1.493884940846234854e-01+1.519797443891776900e-01j), (7.584962332309627686e-02+1.097199584501234171e-01j), (3.480286372750489576e-01-2.132717325161120892e-01j), (-2.101387806182097584e-01-9.750481927149992623e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (4.731379665993020178e-01-2.192908285175621252e-01j), (3.045639392042724936e-01+1.908954082837434896e-01j), (-1.426451176199020621e-01-1.100058401254262325e-01j), (5.268632579524749060e-01+2.192906481379006400e-01j), (-1.658399322621750827e-01+4.328935157250995112e-03j), (-4.567091011127840522e-02+3.897700431108008789e-02j), (-3.377324129765795456e-03+8.222479842424879060e-02j), (-6.981466877347994142e-03+2.120978771171991573e-01j), (3.163276419063724282e-02+5.193060230562719301e-03j), (-3.330798043415176407e-02-2.288759328180213215e-01j), (1.025579140089007135e-01-1.399601303442915279e-01j), (1.579271501303485675e-02+1.607644939037830012e-01j), (1.240460659791438047e-01-3.363390661366701118e-02j), (-9.691036844962436225e-02-1.108439072339200415e-01j), (-8.943578083942566037e-02+2.965285971732924825e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.091698482158753730e-01+2.095082284915283921e-01j), (2.679645328298932982e-01+4.415381130765284878e-02j), (1.561714835260849255e-01+1.236593560188784316e-02j), (-1.091698482344546639e-01-2.095082284876105538e-01j), (3.210714668949010142e-01+1.602800347385507362e-01j), (8.113796129832410997e-02-2.513489058779970753e-01j), (-1.732326766079423097e-01+1.693313169175331145e-01j), (-6.981234131993196979e-02+5.625360922279428605e-02j), (2.544722844492380495e-02-8.177011065557721059e-02j), (1.085730733893712219e-01+8.183135244644113016e-02j), (3.463781078700836069e-01-3.097099923987146619e-01j), (-7.292844518303900903e-02+3.010661442670899829e-02j), (1.918579177051796258e-01-2.016877052379012492e-01j), (-2.239092014787577578e-01+3.751653309215107202e-01j), (-2.069795443270553217e-02-8.990322034052217193e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-7.715939556514085640e-02-4.452833458812163053e-02j), (-1.845756937886118207e-02+5.829545698629111372e-02j), (-9.930159596157932256e-02+2.093568458084979766e-01j), (7.715939559487447474e-02+4.452833457640503062e-02j), (3.262887465473296444e-01-3.929188153129556382e-01j), (2.907472076991207688e-01+3.183026140854685604e-01j), (-6.626049030736001766e-02+1.659723271120946420e-01j), (1.946184597739394340e-01-2.429220066607573891e-01j), (3.608675629608786850e-01-2.445551340908605487e-02j), (1.692357086080426287e-01+7.531446164536000076e-02j), (-6.449881911172494764e-02-1.641296914511558847e-01j), (-1.671368440551186940e-01+3.205734309214049171e-02j), (1.141444181086164467e-01-8.281692449364195380e-03j), (-8.679124232231309743e-02-1.787252875473583913e-01j), (-2.634731404738868132e-01+6.312542702692254537e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-4.419071426007411402e-02-1.097137516683128200e-01j), (-5.834493219885536486e-02+4.380685258848956293e-02j), (9.651613168276609867e-02+7.338120264349951710e-03j), (4.419071425103782841e-02+1.097137516931065288e-01j), (2.057773818357772622e-01+4.688045724276698745e-02j), (3.195456090142811956e-01-1.519716293905443438e-01j), (1.092674285144546072e-02+3.724201235347802119e-01j), (1.888438520262892828e-01+2.295557276467863617e-01j), (-1.117594480353406305e-01-3.998365920552924835e-01j), (-2.242868582682371881e-01-6.007458884648387426e-02j), (6.679817483942879219e-02+3.213555328461989435e-01j), (3.522038474671719478e-04-8.767534230566559339e-02j), (3.736331631539736159e-02-1.385677595402959872e-01j), (3.131480561331604906e-01-1.490328863206030752e-01j), (6.871440975316191885e-03-2.789275703984083199e-01j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (4.254670530709268872e-02+3.390561849584078913e-01j), (2.216938535903412999e-01-4.800199257848252951e-03j), (-1.651457650444752290e-01-1.899424131076147271e-01j), (-4.254670530985371624e-02-3.390561849585039811e-01j), (1.916041847036753787e-01-2.115814210221836356e-02j), (1.038916612518779869e-01+1.886380087615876500e-01j), (3.571973725240385478e-01-2.320501032021579368e-01j), (1.259220286643158992e-01+2.114457568105733987e-01j), (4.681965630595616434e-02-2.160214835328900518e-01j), (2.080644037237972810e-01-1.934135382696859362e-01j), (3.651888512384959926e-04+6.718292569606078291e-02j), (3.051913154423013461e-02+2.686519128585974636e-01j), (-9.671880746555851227e-02+2.261087639997504395e-01j), (3.552107819936332206e-02-1.331520897269108938e-01j), (1.624648174322410599e-01-1.239303605952168791e-01j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (5.623127966424112077e-03+1.733809850268046293e-01j), (1.068991602082084436e-01-1.839432250767996380e-01j), (7.973361213831464678e-02-1.112869742283773000e-01j), (-5.623127978042936036e-03-1.733809850300472022e-01j), (-2.582004496397067306e-01-3.562008311699207952e-01j), (-1.180454336898574541e-01-9.206445424691601931e-02j), (-5.921593817514161917e-02+1.557863573097279242e-01j), (2.378325275201893796e-01+1.443287289753055792e-02j), (4.371486439941880686e-01+3.235097827656698843e-01j), (-1.758976194306593466e-01-9.623488342802732909e-02j), (3.133717763324849193e-01+1.942780319458819738e-01j), (1.372939665272327435e-02-5.347093458832113261e-02j), (9.790088290455263575e-02-1.084280840995628520e-01j), (1.611395749756392437e-01-1.371640675248061471e-02j), (2.288769859160967035e-01-2.179147578668221355e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (2.438214082061041996e-02-5.017357987588602630e-02j), (6.139884372444238958e-02-2.317223743635898545e-02j), (-2.472240768002284539e-01-1.793060615641775268e-01j), (-2.438214082018692538e-02+5.017357989793008038e-02j), (-8.972560975597909660e-02-1.049399720390775670e-02j), (5.579010096810014391e-02-2.857202057922278993e-01j), (-3.736915054308750928e-02+2.275822072591933160e-03j), (2.061949739815852334e-01+1.790763732859215196e-01j), (4.895476996900628708e-02-1.285676506145476405e-01j), (4.481615122203527757e-01+3.252988349863200623e-01j), (-1.319959685843773156e-01-5.703741768002527218e-02j), (1.375871121051450985e-01-4.286535392219096297e-01j), (2.417366031844464525e-01+4.853092479016782312e-02j), (-9.087132479332627995e-04-1.473596219654900175e-01j), (2.092717245703284434e-01+2.281641733718621501e-01j)
