 (1.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (4.879194684932561810e-01+7.413121002080375055e-02j), (-1.546311588540494886e-01+8.222414513287976123e-02j), (-9.840598134715132506e-02+2.340591645614398808e-01j), (5.120805315096059740e-01-7.413121002290827544e-02j), (1.553384092001399985e-01-1.127418651379752806e-01j), (3.431148080646932025e-03+4.007300879416710732e-02j), (1.440705055753249697e-02-9.865358272852897681e-03j), (-9.595887102389520640e-02-7.504964982103852489e-02j), (-2.925979895488270421e-02-6.075422182175639618e-02j), (1.946826874992771128e-01-1.874622566231620158e-01j), (-8.108035367394640647e-02+7.242987477160127419e-02j), (-9.746694049579610053e-02+2.015106357444358953e-01j), (1.753335967367815051e-01-8.959603612372653292e-02j), (-2.657487607227904808e-02-3.913156724394846742e-01j), (3.648099645468775437e-02+8.076466262664519502e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (7.203401436604944807e-02-1.783553441044405941e-01j), (1.670538251467047486e-01+7.200135257029686986e-02j), (8.536871888482720772e-02+1.869532564323916346e-01j), (-7.203401436391099200e-02+1.783553441072579515e-01j), (3.417766764910880606e-01-5.967229256635458307e-02j), (-3.990919383108493951e-02+1.080551808372078593e-01j), (2.121124100557298664e-01-3.161927775046717848e-01j), (9.047515765998719039e-02-2.723796690370094975e-01j), (-1.442415771305169125e-01+2.998377341287802311e-01j), (-2.423167112102629084e-01+1.829106444346658977e-01j), (1.046063919699573436e-01-1.152887745154282245e-01j), (1.555258725818651211e-01+1.538351891186751641e-01j), (-1.543630853748937937e-01+1.054915207637512342e-01j), (1.611013526911108662e-01-9.112569708866331830e-02j), (5.058361358374761224e-02+3.780760289826048948e-01j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.316784394281959036e-01-4.233288680602101395e-02j), (-2.522404653514460915e-02+2.222680362054528791e-01j), (8.083706790742162251e-03+1.767288666999960456e-01j), (1.316784394250244405e-01+4.233288680037962382e-02j), (1.960494522930412986e-01-1.317273994115120139e-01j), (-5.211353401317266043e-02+2.293737138081468618e-01j), (3.426706378076764536e-02-3.229398968118533247e-02j), (1.254283421381637564e-01-6.444767542434752181e-03j), (3.120680218132020345e-01-1.182492403956248855e-01j), (1.523710232659254149e-01+1.929899015056658618e-01j), (-4.254404290994073801e-02+5.851921818542831222e-01j), (6.377784443216596988e-02+1.238443330788174396e-01j), (-3.206201232768500220e-01-1.188819168937314992e-02j), (9.755285923891392208e-02+2.047394895604184861e-01j), (-5.272391842992083660e-02-2.421644089721503856e-01j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (5.120805315007277425e-01-7.413121002587368114e-02j), (1.546311588601532450e-01-8.222414512705256140e-02j), (9.840598135254036150e-02-2.340591645577832780e-01j), (4.879194684952886107e-01+7.413121002217100408e-02j), (-1.553384091860843530e-01+1.127418651383020609e-01j), (-3.431148082299928775e-03-4.007300879311441466e-02j), (-1.440705055418329585e-02+9.865358262755363761e-03j), (9.595887102249137102e-02+7.504964981548462033e-02j), (2.925979895252864282e-02+6.075422181275353523e-02j), (-1.946826875158541859e-01+1.874622566280663705e-01j), (8.108035367486468581e-02-7.242987477410932351e-02j), (9.746694050896445582e-02-2.015106357487809197e-01j), (-1.753335967479358326e-01+8.959603612858836608e-02j), (2.657487607813764294e-02+3.913156724596463798e-01j), (-3.648099646156524600e-02-8.076466262179314570e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-7.113094052396527756e-02-7.095282602770081049e-02j), (2.715800491092089097e-01+2.360433285197317266e-01j), (2.833138925961906085e-01+1.976239429385329149e-01j), (7.113094052461325922e-02+7.095282602954641749e-02j), (-1.889719316389390502e-02+2.307847337492394124e-01j), (-2.937090192371809572e-01-1.012740820638931005e-01j), (-5.475923250427004035e-02+3.501335295126462022e-02j), (-8.741446831157555220e-02+9.686544623262149933e-02j), (3.739628326193882302e-01-1.239437567122198963e-01j), (2.814366920962415031e-01-7.314447756835090741e-02j), (1.359118746836065518e-02-2.933564238745983710e-01j), (-1.537845258987217134e-01+2.174309488789595568e-01j), (1.032108042434021489e-01+8.966097258532397876e-03j), (-3.809094026407419675e-02+2.411866211220396738e-01j), (-6.545403381062665782e-02+2.967399285500371131e-01j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-4.684791885003585649e-02+1.327274456685515469e-01j), (-2.238494695791985178e-01+1.218763324009517063e-01j), (-4.842325167025342270e-02-7.414761724438684309e-02j), (4.684791885201766704e-02-1.327274456685401394e-01j), (1.056776052467433002e-01-2.753218965315007982e-01j), (5.140741265174710029e-02+4.417159314771649248e-01j), (5.001419273844594227e-02+1.181336026796915295e-01j), (3.047823466421147320e-01+4.262873305711933902e-01j), (1.679714694115211349e-01+2.719779741184098487e-01j), (-3.891608472176658756e-02-4.925815727586009551e-02j), (4.455952774288129969e-02-2.401581713223184533e-01j), (5.544450504415785602e-02+2.447704822579614345e-02j), (1.902948190779615301e-01+2.427393056713254282e-01j), (-8.850871174685429055e-02+8.911386562563174130e-02j), (-1.243777764836703076e-01+1.262346791218845465e-01j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (4.862687194476912611e-02-1.109757912113056438e-01j), (1.701540519967252307e-01+2.257956397365588896e-01j), (-1.533378945690819228e-01-2.517920213148399644e-01j), (-4.862687193623906751e-02+1.109757912045942208e-01j), (-9.966096338571388269e-02+4.283281017003875424e-01j), (1.315223813324224722e-01+2.666049836109783966e-01j), (-8.003313250726953876e-02-2.562207080646216606e-01j), (-2.122283357540066806e-02+2.962471937464253302e-01j), (3.857860385779371404e-02+2.141782815257502540e-02j), (2.427988757371935327e-02+1.777640391909096063e-01j), (2.901578876830138709e-01+9.183308362436767847e-02j), (5.495443097655200448e-02+2.034043802045635285e-01j), (2.149765314064481514e-01-1.793773403851346981e-01j), (4.106887602834789763e-02-2.702659895381631650e-01j), (1.416854849659295035e-01-1.319086535876605182e-01j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.065395749370610760e-02-1.510452556214731124e-01j), (-1.893012618941476155e-01-2.318560418046164140e-01j), (1.239867406838103536e-01+3.548255503764754376e-02j), (1.065395748863108907e-02+1.510452556190663154e-01j), (-2.057612515450968904e-01+1.988945916883254894e-01j), (-8.058805680293024132e-02+1.370677180314926451e-03j), (-8.312684811091032577e-02-7.453143300440993879e-02j), (1.941535531008021787e-01-1.452176811885594054e-01j), (-9.550084085874759043e-02+2.810531811014927439e-01j), (3.178316436226761299e-01-1.901201961592662304e-01j), (-9.364540312793580290e-02+2.268954974670625568e-01j), (4.889413694027042179e-01+9.317326711575130149e-02j), (2.876271151347273847e-01+6.261616521318727133e-03j), (1.058160189655928639e-02+1.138755999433030686e-01j), (-2.383524749046745383e-01+4.845513792034535777e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-3.084561378993849745e-01+8.421219728727070974e-02j), (3.778908614167090368e-02-1.664774172921915651e-01j), (-1.527786871827019888e-01+2.644857693285520006e-01j), (3.084561379021107941e-01-8.421219728404129301e-02j), (-2.430990878340279771e-01-1.384307932224970034e-02j), (1.088991718922216120e-02+1.402933072998459492e-02j), (2.646534857992304812e-01+2.581998577951550300e-01j), (2.832865120990085001e-02-2.806570337028219120e-03j), (-1.622972856434622968e-01+1.953063342236778521e-01j), (7.111639534565721010e-02+1.029731975956039158e-01j), (3.119457902215327927e-01-8.891749637953359417e-03j), (-7.118359477474106578e-03+1.380992663947704369e-01j), (3.890427830759482508e-02-2.247158713850118672e-01j), (8.797345423003194442e-02+1.920289268380089287e-01j), (4.236707229974862043e-01+5.645182890381841845e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (2.794119922931879718e-01+2.270903785492789373e-01j), (6.150898839529106432e-02+2.033994497759072928e-02j), (-3.568432404065553787e-02+7.080210211684988264e-02j), (-2.794119923021685103e-01-2.270903785459481294e-01j), (2.863785499986563066e-01+4.230675644777805861e-02j), (-9.682724398769378127e-02+2.297347833675667320e-02j), (-2.928357338401373355e-01+3.277452121803851037e-01j), (-1.738611158983378313e-01-2.419181252192934006e-01j), (4.012423403768505120e-02+6.547554214843907816e-02j), (-9.488822640914100492e-02+2.252333934855506870e-01j), (1.536854697389393454e-01+5.497356686193818898e-02j), (1.808619401959327966e-01+1.465231300373351087e-01j), (3.424704167107797681e-01+5.667072172774444139e-02j), (4.672281801537836454e-02+2.336412284513594839e-01j), (1.132239859204723087e-01-1.344102415286303753e-01j)
