 (1.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (9.442670177259609998e-01-1.395349384382720687e-03j), (1.144256636495029691e-02+9.329071414825114428e-02j), (-9.608487474974143974e-03-1.400017619201981631e-02j), (5.573298227363306795e-02+1.395349384620307330e-03j), (-9.258670367066768048e-02-7.453480971954914991e-02j), (-9.092419853869965207e-02-1.090928382276165967e-02j), (-8.138824072593916353e-03-4.304506449233649890e-02j), (-1.332514735142118628e-02-6.978440967824054222e-04j), (-2.388607590808291756e-02-5.691395500557665244e-02j), (-9.261218469303963974e-02+1.582943896435280023e-02j), (2.058410014981591415e-02-1.757939064252060733e-03j), (6.158397477847749046e-02+8.408837385881773319e-02j), (1.468413528235312793e-01-6.190631423324873678e-02j), (-7.865805555991702003e-02+5.017581935274623151e-02j), (-7.835518638834057525e-02-8.572992763214108691e-02j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (-4.803544380682456261e-02+1.183512051102307144e-01j), (6.824328917938897732e-01+8.154380141727296527e-02j), (-1.814061265203558981e-01-6.531474250357863220e-02j), (4.803544380786759632e-02-1.183512051111725305e-01j), (-2.684084253380945029e-01+1.862300648535884784e-02j), (-8.383648153918291102e-02+3.770171609594061279e-02j), (-2.389305461613687454e-01+1.445183588037903498e-02j), (-6.028610182438196019e-02-7.768197780409277775e-02j), (-1.184462861774003908e-02+2.505425492670725757e-03j), (-3.051046080648396330e-01-1.052167862358319855e-01j), (-5.685295084675234811e-02+5.161709778085854516e-02j), (-2.221633162565055664e-01-1.235018595904907313e-01j), (-1.568559886043086327e-01+7.753721409769248618e-02j), (-1.495090067115256161e-01+1.816559391433243964e-01j), (-1.493988977017063069e-01+1.640976034428762165e-01j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (-1.114950943567200037e-02-1.260217453556179701e-03j), (-1.391020818558248995e-01+2.229197611303831983e-02j), (7.389743455650069626e-01+2.970297434498500033e-01j), (1.114950943529242205e-02+1.260217453088668255e-03j), (-1.335604765375772995e-01+4.341113098656272651e-02j), (-4.827439796371427172e-02-2.850250099850780428e-02j), (-1.490409298376304537e-01+1.140564121446143997e-01j), (-1.615530124238279408e-01-8.177152504760885898e-02j), (-1.025326204997078355e-01+4.031918978227058692e-02j), (5.612288316922398046e-05+5.346220290607178738e-02j), (-1.935224974278286214e-01+6.014261773859394533e-02j), (-2.839198528914188557e-01+4.634294736075558752e-02j), (-1.070115512395743429e-01+3.695868314883382633e-02j), (-1.521683797309381081e-01+9.296247940053700698e-02j), (-2.568133979698397074e-01-7.299015807262587696e-02j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (5.573298227491303714e-02+1.395349383267918859e-03j), (-1.144256636701625370e-02-9.329071414834504139e-02j), (9.608487473555886102e-03+1.400017619275854656e-02j), (9.442670177262355580e-01-1.395349382350489316e-03j), (9.258670367050113315e-02+7.453480972214701628e-02j), (9.092419854220477882e-02+1.090928382442278577e-02j), (8.138824073628536659e-03+4.304506449084292974e-02j), (1.332514735106210199e-02+6.978440958926865681e-04j), (2.388607591062725730e-02+5.691395500522028472e-02j), (9.261218469155751976e-02-1.582943896321077279e-02j), (-2.058410014678941496e-02+1.757939065224511585e-03j), (-6.158397478003398845e-02-8.408837385651020402e-02j), (-1.468413528205394780e-01+6.190631423357308150e-02j), (7.865805555762950263e-02-5.017581934966212909e-02j), (7.835518638649870138e-02+8.572992763215153689e-02j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (9.694580550532552743e-02-2.129672378548068401e-02j), (-8.508067756073052490e-02+1.638273941639682013e-02j), (-6.829899986037668569e-02-9.130659559796339142e-02j), (-9.694580550453521517e-02+2.129672378698716645e-02j), (7.477875076546662836e-01+1.115185549494350226e-01j), (-1.176487858588062263e-01+1.584028223055089155e-02j), (-2.726269346348233480e-01+6.605575836948585078e-02j), (-1.847136083930837891e-01+7.327007222894514615e-02j), (-8.570019181556073895e-02+5.468484732250079861e-02j), (-2.706731814191210006e-01-6.978295560732881986e-02j), (-2.124990064953278246e-01-1.514536488569862838e-01j), (-1.482733066069777950e-01-1.104778712235787719e-01j), (-1.585796470019578408e-01-1.181668825327246986e-01j), (-6.823827457697781429e-02-9.845128696644694921e-02j), (-1.190929586347800294e-02+1.074300207238451516e-01j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (4.504417668809965192e-02+2.846222246718450172e-03j), (-2.077872849410842548e-01+5.201167065897804864e-02j), (-1.890554192624445407e-01-8.344559460323186517e-02j), (-4.504417668873143127e-02-2.846222246324118035e-03j), (-1.414887670806915243e-01+6.865246218437223713e-02j), (7.813438471632767612e-01+8.944677060197060714e-02j), (-2.126650124987767010e-01+6.895849267537974836e-02j), (-1.090390506403552257e-01+1.765751764664029444e-03j), (-2.597724445430711349e-01-1.287506618572493711e-01j), (-3.102793353061203060e-03-4.805010705594302267e-02j), (-2.006040573360779247e-02+7.824054462927260145e-02j), (-6.985977284003337673e-02+1.533261397211443944e-01j), (-1.132863442455760150e-01-3.973927945616859830e-02j), (-2.389354549477022416e-01-5.820534322286823048e-02j), (-2.412058095182176981e-02+7.396933335412621269e-02j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (3.174192321089235047e-02+4.005551750610929218e-02j), (-9.859738927156846966e-02+2.371905702491106105e-02j), (-1.438417361921155713e-01+1.104046003150061100e-01j), (-3.174192321059010613e-02-4.005551750664373273e-02j), (-1.108492062795869149e-01+1.200916046490824174e-01j), (-8.136415217878341377e-02+1.230428625074605764e-01j), (7.484823895572401131e-01+4.254471770752443760e-03j), (-2.558918774892685599e-01+9.762047453408578823e-02j), (-1.631647947122218667e-01+4.929657502873580066e-02j), (-1.268549447120506379e-01-4.896437059933002323e-02j), (-2.163416893417160480e-01-8.165248869865943115e-03j), (7.253116181291180409e-03-8.947859691297904705e-02j), (-2.402421348300675663e-01-2.161137412365898847e-03j), (-1.460886911794568310e-01-1.079047117599488126e-01j), (-1.706772855335124128e-01+2.134940432578994185e-01j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (1.813739400761231468e-03+3.626457286568850885e-02j), (-1.864872766831759676e-01-7.349817884488753228e-02j), (-7.417128676638798379e-02-1.218172621082553586e-01j), (-1.813739400236503638e-03-3.626457286622940951e-02j), (-1.179958966678387733e-01+1.990211478186221516e-01j), (-1.670754505095186637e-01-2.734171025905087274e-02j), (-1.996885252059266494e-02+8.573160521590716954e-02j), (7.809668118382372404e-01+1.777249818812592919e-01j), (-6.601075513247532667e-02-1.020715825934410265e-02j), (-2.471948273683167649e-02+8.292447160333572820e-02j), (-1.888925587359233382e-01-1.081706401609062868e-01j), (-1.689249695793994255e-01+5.768519101208898631e-02j), (-1.481960660176294131e-01-1.176112072091893279e-01j), (-2.689320062915943610e-01+3.490569363768145084e-02j), (-6.393547188313079832e-02+2.803510556658001668e-02j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (-2.472850161458423762e-02-6.842667496153129192e-02j), (-2.774250058630848281e-01+4.540231306217191315e-02j), (-1.946665362285423251e-01+6.396340583666351720e-03j), (2.472850161367420169e-02+6.842667496100962587e-02j), (-1.684304891535484960e-01+1.502807339064759218e-01j), (-1.056903257647743774e-02-4.545144299489341233e-02j), (-1.147027363041342729e-01+6.404642644753098801e-02j), (-1.814929192679909931e-01-3.531732059337495955e-02j), (7.797220959508496252e-01+1.938538587965560611e-01j), (-1.296065716654333233e-01+3.351912792915930778e-02j), (-1.172038981879732766e-01+1.725846674063335334e-02j), (-5.429008389196664230e-02+4.120458277708179823e-02j), (1.076354155835407417e-01+5.415046353771289095e-02j), (-2.331875912213203783e-01-6.337313421710309702e-02j), (-1.039459622860068044e-01+4.485708169830908421e-02j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (3.536226501573529191e-02+6.407333163518598440e-02j), (-2.458202338382627777e-02+6.059592113743995923e-02j), (-3.036172372815085785e-01-2.837427721354941756e-02j), (-3.536226501479127621e-02-6.407333163411006727e-02j), (-4.106234394883686439e-02+2.645283249304706402e-02j), (-2.290228376971861213e-01-2.730273558834272682e-02j), (-1.392562505789072536e-01-7.319656645897372471e-02j), (-2.762584569067719764e-01+9.728683521665044964e-02j), (-1.118190664199939510e-01+1.033926981944978951e-01j), (7.230513076074703838e-01+1.953474272807397272e-01j), (-6.363339525588111723e-02-5.931646481309737345e-02j), (-2.987468977381315116e-01+4.480142214023441483e-02j), (-6.183803638772562145e-02-9.069351316756560366e-02j), (-6.253791246151714500e-02+1.549307081124124130e-01j), (-5.258010221062299483e-02+1.403446075962705257e-02j)
