 (1.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-0.000000000000000000e+00+0.000000000000000000e+00j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (9.619824743192201266e-01+1.179640113065975326e-01j), (-2.141219670587722959e-02-1.261761153651369538e-02j), (1.564899146077497125e-02+2.661099657237686600e-02j), (3.801752568320686254e-02-1.179640113061233841e-01j), (1.894383057756181959e-02+7.917938279054438644e-02j), (1.876721400161098646e-02-4.617961793568636786e-02j), (-1.206462226663570017e-02-2.603996122761433746e-02j), (-3.462624609169358270e-02+1.907308087008623837e-02j), (-8.918890683126415309e-03-1.445726148500159694e-02j), (-6.970212443207290942e-02-5.243608264246500672e-02j), (-2.002939083961773059e-02-7.461814641940428539e-02j), (-1.664593154046641044e-02+3.472402949583255904e-02j), (-9.281270116310032237e-02+1.221093782131910154e-03j), (1.192230340436953306e-02+5.261090213182712666e-02j), (7.296994498892275804e-02-6.672216395131267894e-03j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (2.401797679736369581e-02+4.650902014589536337e-03j), (8.100381308720282503e-01+1.039052448043716464e-01j), (-8.438455004019176919e-02+7.188108792126285396e-02j), (-2.401797680117367245e-02-4.650902018486589157e-03j), (-1.085972144508976084e-01+1.026935876289563065e-01j), (-2.530418933427170947e-01+4.324325988969024426e-02j), (-1.706755149141450101e-01+1.289656751149893116e-02j), (-2.368779515979280437e-01-3.196852792806006288e-02j), (-1.999718948172753141e-03-6.063513077471748003e-02j), (-7.375219348433344202e-02-1.323641970546021555e-02j), (-6.993396313507167783e-02+1.522565609533679531e-01j), (-1.384274938710061686e-01-5.178536421464487172e-02j), (-3.598650464182284736e-02+1.283612825358110832e-01j), (-1.697572832083985850e-01+2.679731244093879264e-02j), (-1.944162745197695330e-01-2.390181679849753132e-02j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (-2.339185978148865253e-02+2.904285769522945565e-02j), (-2.128286292900288257e-01+5.897025643213762991e-02j), (7.889973916904545748e-01+2.352759471885539910e-01j), (2.339185978232333901e-02-2.904285769854609081e-02j), (-1.753914157424241171e-01+1.510535845026956814e-01j), (-1.972556880289446368e-01+4.838057083136398928e-02j), (-1.195443761770298846e-01+1.312520961932520658e-01j), (-7.815866300609453088e-02-7.091974505725814892e-02j), (-9.362486642913554757e-02+1.096359445484866996e-01j), (-7.601556075307436267e-03+1.155007850008712145e-01j), (-7.433463508176794965e-02+4.505019356224200522e-02j), (-1.040561024729693695e-01+5.381440142253673953e-02j), (-7.047487464588815531e-02+8.695459941928501690e-02j), (-2.114436969762608365e-01-4.144713246717460220e-02j), (-1.057189600698747040e-01-8.656798030146078959e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (3.801752567761147727e-02-1.179640113070855867e-01j), (2.141219671351958162e-02+1.261761154304456671e-02j), (-1.564899146094653887e-02-2.661099656446727288e-02j), (9.619824743239048237e-01+1.179640113095103832e-01j), (-1.894383057282764821e-02-7.917938277585337414e-02j), (-1.876721400891790542e-02+4.617961794995256719e-02j), (1.206462227955844638e-02+2.603996124078088864e-02j), (3.462624609085034749e-02-1.907308086200868932e-02j), (8.918890687704156273e-03+1.445726150079641205e-02j), (6.970212443543585823e-02+5.243608265091553866e-02j), (2.002939084094531447e-02+7.461814642808979603e-02j), (1.664593154650211015e-02-3.472402948511567333e-02j), (9.281270116130997672e-02-1.221093764143700924e-03j), (-1.192230340122343510e-02-5.261090212096040941e-02j), (-7.296994497961667436e-02+6.672216402892975837e-03j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (-7.057725944141547691e-02+7.214261238028182865e-02j), (-1.349784129100920771e-01+9.813178831618973863e-02j), (-1.098833928670373827e-01+1.209002903355967662e-01j), (7.057725943919512801e-02-7.214261237969553375e-02j), (8.255541390215179742e-01+1.154636002867044930e-01j), (-4.020161949048099009e-02+6.417115225776454102e-02j), (-1.935587034676503060e-01-4.249013761080343288e-02j), (-1.968432912848292193e-01-5.979032486520749479e-02j), (-9.457461711384196335e-02+1.232465109788498728e-02j), (-5.934358390515836329e-02+1.962922584084505484e-01j), (-1.171385399888509871e-01-1.898767397990724914e-02j), (-1.920519116914005675e-01-2.646070225838628720e-02j), (-1.310849419745807320e-01+9.966623110532545071e-02j), (-1.037831178325120673e-01+4.328636491971160627e-02j), (1.440105782980887969e-02+1.033909181428646629e-02j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (-8.140783277267495815e-03-4.285989182389537966e-02j), (-3.561484753383524493e-02+1.414883531196323430e-01j), (-2.704050637580791838e-02+6.359453372597863308e-02j), (8.140783279308956566e-03+4.285989182593470670e-02j), (-2.305475311645905079e-01+7.019834870210955868e-02j), (7.973276274802052477e-01+1.329546440028002707e-01j), (-7.049152738271036167e-02-5.093700996408320747e-02j), (-1.615648186774888695e-01+5.699646285165204523e-02j), (-7.490976497476983798e-02-8.700827417851528245e-02j), (-1.349472483386928712e-01+1.638719801724899394e-01j), (-7.542247083125261375e-02+1.268651730574263115e-01j), (-2.909420189668946444e-01-1.883568400492008701e-02j), (-8.513890976927400434e-02+1.396840496215438765e-01j), (-2.629888724452415089e-02+1.737733220009089752e-02j), (-1.135586690178905650e-01+1.266708701292156292e-01j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (-3.319092883167236441e-02-1.624673678328741530e-02j), (-4.887001053926559591e-02+7.100362154838016360e-02j), (-1.337348701334367118e-01+1.484450046406598778e-01j), (3.319092882455742383e-02+1.624673678090910248e-02j), (-4.456769277710916077e-02+1.451364483558208185e-02j), (-1.412070796315025856e-01-2.432890303736066906e-02j), (7.984704392320260968e-01+2.308199429285784365e-03j), (-1.668393409300471530e-01+5.085325531134111954e-02j), (-2.031351931704527825e-01+1.901672007629717498e-01j), (-1.073471686378466988e-01-2.324678822257265909e-02j), (-7.984672306958631727e-02+1.079311626061152940e-01j), (-7.259098108034607588e-02+1.462626387210291257e-01j), (-2.358171167704453952e-01+1.525573229330637881e-01j), (-1.231843810899009017e-01+1.501849352231147960e-01j), (1.590864452015648689e-02+9.035181519632015656e-02j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (-3.945190040824587963e-03+5.369265281646022625e-02j), (-1.484915617086755152e-02+1.049371511238604560e-01j), (-1.368596722756705852e-01-4.851017921259847057e-03j), (3.945190038589383753e-03-5.369265282066980338e-02j), (-3.027219405488365198e-02+5.798591171452769505e-02j), (-1.064819493815079010e-01+1.133378090828128654e-01j), (-1.162682164012117381e-01+7.323337317278141856e-02j), (7.940077465885750918e-01+2.483568559716444746e-01j), (-5.618863136150401005e-02+3.296388151124898802e-02j), (-1.539542648052278362e-01+1.168733418591398100e-02j), (-2.411629282109239714e-01+6.135988939335849934e-02j), (-1.851803783309250440e-01+1.271949184848762127e-01j), (-5.948154670201333261e-02+1.669869844668978309e-01j), (-1.793970757413193562e-01+9.766031186040925738e-02j), (-7.379587492943251448e-02+7.534310824556833541e-02j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (-1.735095670259003894e-02-1.335146708823337948e-02j), (-2.022645986303967802e-01-4.230864510173462656e-02j), (-1.463084461505411993e-01+7.663740933637029629e-02j), (1.735095669687077707e-02+1.335146708847640556e-02j), (-7.168244746288547631e-02+2.828446024827258737e-02j), (-7.581490809299472333e-02-1.069306702144451199e-01j), (-5.499568797831538153e-02+1.421723429087093371e-01j), (-1.590522690452965127e-01+1.905827707189722969e-02j), (8.457661523624038225e-01+4.288896221668352104e-02j), (-1.717310753450909944e-01+4.713076711881439285e-04j), (-4.941531124193163788e-02+1.664331590459866284e-01j), (-9.627142454526657622e-02+1.829165482223273353e-01j), (-6.089896519256061957e-02+9.259431570583167778e-03j), (-1.550743094012755341e-01+9.521982051162566907e-02j), (-2.403032353399064958e-02+5.936434729580076022e-03j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (6.975105755425287102e-02-4.206296141082468965e-02j), (-1.720967965578474312e-01+7.022304176793536454e-04j), (-2.898144294186544845e-01+4.457536761782132650e-02j), (-6.975105755568210275e-02+4.206296140847484016e-02j), (-2.069067530758402773e-01+1.074460311129405571e-01j), (-1.319787978809425499e-01+1.296632939356737735e-01j), (-1.357458332433580661e-01-9.346581309466614473e-02j), (-6.772496545097439480e-02-1.777072983507201401e-02j), (-4.437906195993572556e-02+3.826032787209229791e-02j), (7.614555459560894413e-01+2.694830776037119291e-01j), (-4.236381502250943093e-03+7.968346320270212543e-03j), (-1.477688111575460421e-02+8.663358641396795568e-02j), (-1.539093470882166859e-01+3.911439329414634954e-04j), (-1.827106911198437267e-01+9.143000840942910878e-02j), (-1.205759702846408432e-01+8.269755548560198122e-02j)
