 (1.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (2.457230245322967466e-01+3.483324300254685146e-02j), (-2.300626272152080931e-01-7.345396063627993195e-03j), (-1.405489242310776765e-01-1.492185696930041217e-01j), (7.542768371697938790e-01-3.483014668963370364e-02j), (-1.367350907883131857e-02+1.312831167263340260e-01j), (-4.775625777389570781e-02+9.765454165045936441e-02j), (-3.992193572371289384e-02-1.299880180942483004e-02j), (1.332340954568289049e-01+4.533834486156652910e-02j), (-3.093370318395022994e-02-4.444466003287113852e-03j), (1.802034340281070401e-01-8.443561607895409826e-02j), (-1.571077121726532078e-01+9.470718728833814326e-02j), (1.137472202181208647e-01+2.119128502052612384e-01j), (1.031958588909677177e-01-2.415425490231886962e-01j), (-3.359758015010517324e-02-6.834235162336652070e-02j), (1.383508445711638911e-02+1.240468369688338124e-01j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.853708261165282201e-01-8.723742471899308126e-02j), (-3.453427869356509583e-01+2.730580112530262005e-01j), (-1.289697759404624146e-02-1.917350286928612701e-01j), (-1.853708262245613581e-01+8.723742460124464526e-02j), (-1.457181603920122137e-01+1.132523693624321731e-01j), (-2.070069871080103818e-01+6.861127639156582025e-02j), (-3.849502566158712336e-01+1.454305590262298387e-01j), (6.235998263759545690e-02+1.259842700703910912e-01j), (1.486625203429304543e-01+2.507449324097528187e-01j), (3.179634928186503284e-01-2.036657752328751778e-02j), (1.520308353283811587e-01-3.310229366666552625e-02j), (1.123202009320967490e-02-1.920105953526553971e-02j), (-1.730876103370502794e-01+1.686323490019296101e-01j), (2.303276186591024233e-01+2.798688464465323156e-01j), (9.804625742048241055e-02-6.331996187069137416e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.714993582665187699e-01-1.764302879337639463e-01j), (-7.291425404685555889e-02+1.721301880830150843e-01j), (-2.727714619890708181e-01+6.096161699796859290e-02j), (-1.714993581121115607e-01+1.764302879317314332e-01j), (1.262907795260793942e-01-2.853531663346043912e-01j), (1.600285415136592504e-01+2.522481123170955963e-01j), (7.081498338075695176e-02-6.491547174089698502e-02j), (-1.274819073681372934e-02+2.944777118960608675e-01j), (-2.667976110069561479e-01+6.553856663855443798e-02j), (-1.596011633561450482e-01+2.667657180910654180e-02j), (-1.165557445321043495e-01-3.750452915216099803e-01j), (2.605090816804543352e-01+2.303437537971596005e-01j), (-3.900029509791636678e-02-1.466322333845481579e-02j), (-1.346751631193607579e-01+1.202402180450967001e-01j), (-3.836446505044210421e-04+2.682805197820723464e-01j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (7.542768371675561134e-01-3.483014681384417888e-02j), (2.300626270874179813e-01+7.345395946932098928e-03j), (1.405489241499333075e-01+1.492185699352975292e-01j), (2.457230247030036951e-01+3.483324318104898815e-02j), (1.367350928673272126e-02-1.312831164222189040e-01j), (4.775625815345577174e-02-9.765454118551172846e-02j), (3.992193554634827085e-02+1.299880163972213717e-02j), (-1.332340955224985690e-01-4.533834553234485087e-02j), (3.093370361700511009e-02+4.444465855627953779e-03j), (-1.802034339021921228e-01+8.443561609827583692e-02j), (1.571077123350725357e-01-9.470718734609669121e-02j), (-1.137472204312054841e-01-2.119128496925915262e-01j), (-1.031958592462334234e-01+2.415425491317638729e-01j), (3.359758014310072760e-02+6.834235169869461168e-02j), (-1.383508447110953603e-02-1.240468369034226775e-01j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.392810611638281848e-01+2.457059056290154253e-01j), (4.271845818612240303e-02-9.267327189543286825e-02j), (-9.672664903898672839e-02-9.665305326072834435e-02j), (1.392810612819907756e-01-2.457059054815955157e-01j), (-2.396008688942714016e-01+1.774449774310982719e-01j), (1.950341777147984457e-01+2.514553664485030815e-01j), (3.278264775487337718e-02+1.227434800096459805e-01j), (-3.115685131936369312e-01+1.756068969955370540e-01j), (1.262500541479323057e-01-1.506892137503277815e-02j), (-5.788081593643551459e-02+2.906760995954182913e-01j), (2.982376109833296055e-02-2.153513804420397193e-01j), (7.428120265548687762e-02+1.156606309147932971e-01j), (5.006354995943373271e-02+3.214418230583069302e-01j), (-7.979989171341250742e-02-1.130162459653720995e-02j), (4.166668305354079282e-01-1.449999188780708992e-01j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.052988530798514205e-02-4.242758574223802481e-02j), (-3.799383372559358985e-02+2.493866257336220527e-02j), (3.563640306774973343e-01+2.356300235843151458e-01j), (2.052988562949148790e-02+4.242758592917438010e-02j), (1.092478607234346893e-01+1.839203059555195030e-01j), (-3.041665656879217750e-01+7.427356102308051156e-02j), (-3.013587167631132449e-02-6.903207084082548829e-03j), (-3.568788607192669438e-01+1.129862984256865127e-01j), (-8.746689974505238163e-02+1.988469407075187448e-02j), (3.267343505933234526e-02-1.150799288872498410e-02j), (-9.730312771087103185e-02+1.229315579653781770e-01j), (6.012545144449038537e-01-4.534765137306055738e-02j), (4.282142892538344514e-02+2.039079955705914438e-01j), (7.614288963926628406e-02-2.221811010955267174e-01j), (-1.683443289033115797e-01+4.236403393017131036e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.462471868385103735e-01-1.497440208975949882e-03j), (4.533118037868398842e-01-7.552095783557910384e-03j), (1.209364920291168405e-01-4.456502407302061208e-02j), (-1.462471869223125054e-01+1.497440108716497015e-03j), (1.494181804877343228e-02+3.257387245092097094e-01j), (-8.441371437753275586e-02+1.037252600868789343e-01j), (-4.418520068986938054e-01+3.040459671496875127e-01j), (9.043425919334999175e-02-1.064570694844762105e-01j), (-1.492474051476610220e-01+7.457728506720817663e-02j), (-1.742553330159028468e-01+1.384103632535536865e-01j), (-1.168494899764314365e-01+2.633473672318203951e-02j), (2.939385939540868631e-02+1.702127937730339990e-01j), (1.858918798028009189e-01-2.800658087488706038e-01j), (-2.097319245494600748e-01+1.460401401221801121e-01j), (4.311798327075919146e-02+4.413599130449153557e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-9.127964965976717582e-02-2.414045092782447083e-02j), (5.175093561747502041e-02+1.814439197787125202e-02j), (-2.586726615848033983e-01+3.757959050502354126e-01j), (9.127964929372481273e-02+2.414045084837233152e-02j), (-1.160325158056767746e-02+2.333517224352879837e-01j), (-1.772421066625053110e-01+2.478122192027024384e-01j), (2.046456248255352217e-01-2.026920398326866046e-01j), (-2.653018990619400094e-02+2.634321163177893305e-02j), (2.066940573887361410e-01+3.975077901395412394e-01j), (-3.952297133606508944e-02+1.361011625260533930e-01j), (2.813302875423150939e-01+7.365178282786420672e-02j), (-1.116726493588153790e-01-4.519003376602501176e-02j), (2.307939785461058657e-01-4.398216542216915742e-02j), (-1.075220758494608714e-01+2.876043789796156047e-01j), (-2.632615158890413976e-01+2.385506847194875449e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.009678137649324681e-01-1.450321887183555480e-01j), (1.348716071576047115e-01+2.212506587825291415e-01j), (9.533212776132314603e-02-1.859386684130634113e-02j), (1.009678136698687889e-01+1.450321889397663266e-01j), (1.329538203569965993e-01+3.668162623283118262e-01j), (2.024114280408256528e-01+1.104891461992213025e-01j), (1.000017598331254115e-01-1.820602600808068072e-01j), (-7.877781547709017396e-02-7.049054983868205393e-02j), (-3.299685885210326131e-01-2.568435355607753823e-01j), (3.216951968103000103e-01+3.946796037742027197e-02j), (-4.955018882613677206e-02+1.327837984247754732e-01j), (-1.955719587136135473e-01-2.104680382166065553e-02j), (-2.931384883271714870e-01+2.451640490448095955e-01j), (-2.027387610409902841e-01+2.605910618325550931e-01j), (-2.650014583673892653e-03+8.666658642297012105e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-6.352102410691888579e-02-4.248119835215009854e-02j), (-4.049557127922832067e-01+5.224456707648569842e-02j), (1.313791542238820775e-01+3.333147069773175208e-01j), (6.352102404601166208e-02+4.248119843450928051e-02j), (3.084076906449821354e-01-5.311532871558189567e-02j), (-8.706342516226626971e-02+6.947815939075430158e-02j), (-4.124711410703271047e-02+2.406205261598189371e-01j), (3.104189094430382934e-01+6.284733414912456635e-03j), (-1.732934853683502641e-01-1.595597221672062083e-01j), (-2.557572061687282683e-01+2.771394227252677589e-01j), (1.002665277854946912e-01+1.976257908156639487e-01j), (-1.855198236658853472e-01+1.145273276942340157e-01j), (1.613045515094588545e-01+2.043253656172480948e-01j), (1.040256091239310544e-02-1.415022008228133434e-02j), (2.458801971462616087e-01-6.338422225872177018e-02j)
